Transaction Date,Merchant Name,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.11.17,BookShop Stock,"1,500.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.11.17,Amazon web services,"1,118.65 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.11.17,Amazon UK Marketplace,"1,084.47 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.11.17,CORNFLOWER LTD,"1,052.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.17,FITZWILLIAM MUSEUM,"1,033.42 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.11.17,BookShop Stock,"1,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.11.17,BookShop Stock,925.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.11.17,ROYAL MAIL,824.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.11.17,FOUR POINT,813.61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.11.17,BUNZL CLEANING & HYGIE,667.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.11.17,BookShop Stock,665.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.17,MACFARLANE GROUP UK LI,663.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.11.17,ROYAL MAIL GROUP,631.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.11.17,GMC PUBLICATIONS,563.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.11.17,FOUR POINT,508.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
