CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,1179,89.5%,138,10.5%
P01-Avon&Somerset,16,88.9%,2,11.1%
P02-Bedfordshire,6,100.0%,0,0.0%
P03-Cambridgeshire,24,96.0%,1,4.0%
P04-Cheshire,15,100.0%,0,0.0%
P06-Cleveland,22,100.0%,0,0.0%
P07-Cumbria,9,90.0%,1,10.0%
P08-Derbyshire,8,66.7%,4,33.3%
P09-Devon&Cornwall,22,84.6%,4,15.4%
P10-Dorset,9,69.2%,4,30.8%
P11-Durham,16,100.0%,0,0.0%
P12-DyfedPowys,7,87.5%,1,12.5%
P13-Essex,31,88.6%,4,11.4%
P14-Gloucestershire,7,87.5%,1,12.5%
P15-GreaterManchester,79,94.0%,5,6.0%
P16-Gwent,4,80.0%,1,20.0%
P17-Hampshire,21,70.0%,9,30.0%
P18-Hertfordshire,23,92.0%,2,8.0%
P19-Humberside,8,100.0%,0,0.0%
P20-Kent,38,84.4%,7,15.6%
P21-Lancashire,35,94.6%,2,5.4%
P22-Leicestershire,9,100.0%,0,0.0%
P23-Lincolnshire,2,66.7%,1,33.3%
P24-Merseyside,23,82.1%,5,17.9%
P25-Metropolitan&City,343,89.8%,39,10.2%
P26-Norfolk,7,87.5%,1,12.5%
P27-Northamptonshire,24,96.0%,1,4.0%
P28-Northumbria,36,94.7%,2,5.3%
P29-NorthWales,13,100.0%,0,0.0%
P30-NorthYorkshire,15,93.8%,1,6.3%
P31-Nottinghamshire,10,76.9%,3,23.1%
P32-SouthWales,14,93.3%,1,6.7%
P33-SouthYorkshire,27,96.4%,1,3.6%
P34-Staffordshire,10,55.6%,8,44.4%
P35-Suffolk,13,92.9%,1,7.1%
P36-Surrey,10,100.0%,0,0.0%
P37-Sussex,38,92.7%,3,7.3%
P38-ThamesValley,38,88.4%,5,11.6%
P39-Warwickshire,0,0.0%,1,100.0%
P40-WestMercia,20,95.2%,1,4.8%
P41-WestMidlands,44,91.7%,4,8.3%
P42-WestYorkshire,74,86.0%,12,14.0%
P43-Wiltshire,9,100.0%,0,0.0%
