Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Rochdale Pharmacy,Rochdale Pharmacy,AAH CUSTOMER SERVICE,0001553982,"73,270.47"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Oldham Pharmacy,Oldham Pharmacy,AAH CUSTOMER SERVICE,0001553983,"160,285.54"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,North Manchester Pharmacy,North Manchester Pharmacy,AAH CUSTOMER SERVICE,0001553984,"245,447.56"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Bury Pharmacy,Bury Pharmacy,AAH CUSTOMER SERVICE,0001553985,"53,710.80"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Benson Viscometers,Estates and Facilities,ABBOTT LABORATORIES,0001547095,870.80
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547095,"1,355.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547095,"6,356.19"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547095,"7,633.21"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547095,"9,767.34"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547096,179.95
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547096,372.19
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Oxoid,Estates and Facilities,ABBOTT LABORATORIES,0001547096,477.06
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Sarstedt,Estates and Facilities,ABBOTT LABORATORIES,0001547096,500.00
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547096,"1,321.92"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547096,"1,456.35"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547096,"1,865.04"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Laboratory Consumables,Estates and Facilities,ABBOTT LABORATORIES,0001547096,"2,283.03"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547096,"2,586.96"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547096,"3,072.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547096,"3,700.69"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547096,"4,555.32"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547096,"5,426.22"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547096,"5,442.59"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547096,"5,686.50"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,ProLab,Estates and Facilities,ABBOTT LABORATORIES,0001547096,"7,583.66"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547096,"9,102.14"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547096,"19,687.84"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547097,"8,573.36"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547097,"10,525.33"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547097,"87,818.41"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001547100,"69,063.07"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001553800,"-32,732.70"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001553800,"-22,661.10"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001553805,"60,156.64"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001553809,195.21
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Oxoid,Estates and Facilities,ABBOTT LABORATORIES,0001553809,524.98
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001553809,652.80
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,HAIN,Estates and Facilities,ABBOTT LABORATORIES,0001553809,"1,198.04"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001553809,"1,258.92"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001553809,"2,311.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Sarstedt,Estates and Facilities,ABBOTT LABORATORIES,0001553809,"2,474.42"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001553809,"6,073.08"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001553809,"8,043.88"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,ProLab,Estates and Facilities,ABBOTT LABORATORIES,0001553809,"8,196.03"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Laboratory Consumables,Estates and Facilities,ABBOTT LABORATORIES,0001553809,"15,058.51"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001553809,"17,104.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001555508,"31,960.93"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001555508,"35,227.19"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Reagent,Estates and Facilities,ABBOTT LABORATORIES,0001555508,"119,799.08"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/01/2016,Oldham Pharmacy,Oldham Pharmacy,ABBVIE LTD,0001556827,"26,363.83"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/01/2016,Rochdale Pharmacy,Rochdale Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001552232,"4,821.53"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/01/2016,Bury Pharmacy,Bury Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001552232,"5,393.91"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/01/2016,North Manchester Pharmacy,North Manchester Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001552232,"27,581.43"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/01/2016,Oldham Pharmacy,Oldham Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001552232,"33,850.03"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/01/2016,Oldham Pharmacy,Oldham Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001556812,"13,068.25"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/01/2016,North Manchester Pharmacy,North Manchester Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001556812,"19,677.34"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/01/2016,Bury Pharmacy,Bury Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001556812,"20,486.33"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Bury Pharmacy,Bury Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001559058,"3,018.67"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Rochdale Pharmacy,Rochdale Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001559058,"12,043.15"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Oldham Pharmacy,Oldham Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001559058,"18,100.35"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,North Manchester Pharmacy,North Manchester Pharmacy,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,0001559058,"18,966.46"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Bury Pharmacy,Bury Pharmacy,ALLOGA UK LTD,0001554464,31.99
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,North Manchester Pharmacy,North Manchester Pharmacy,ALLOGA UK LTD,0001554464,"2,450.27"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Capital Investment Loan 1,Capital Investment Loan 1,ALLOGA UK LTD,0001554464,"33,654.41"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/01/2016,M & S Equipment,Capital,ANETIC AID LTD,0001550428,"3,866.40"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/01/2016,M & S Equipment,Capital,ANETIC AID LTD,0001550428,"12,938.40"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/01/2016,M & S Equipment,Capital,ANETIC AID LTD,0001550428,"15,120.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Agency Consultant,Integrated & Community Service,BARDOC LTD,0001550024,"28,122.88"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Professional Fees,Estates and Facilities,BARTON KENDAL,0001559033,"27,012.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/01/2016,Reagent,Estates and Facilities,BECKMAN COULTER U K LTD,0001550244,"34,091.58"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/01/2016,Reagent,Estates and Facilities,BIOMERIEUX UK LTD,0001552599,"102,176.51"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Brookson - Brookson Fee,Brookson - Brookson Fee,BROOKSON HEALTHCARE SERVICES LLP,0001559165,"53,341.82"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Brookson - Brookson Fee,Brookson - Brookson Fee,BROOKSON HEALTHCARE SERVICES LLP,0001559166,"70,493.08"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,Brookson - Brookson Fee,Brookson - Brookson Fee,BROOKSON HEALTHCARE SERVICES LLP,0001559167,"81,337.64"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/01/2016,Rates,Estates and Facilities,BURY MBC,0001551155,"64,090.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/01/2016,Professional Fees - Capsticks,Corporate Services Other,CAPSTICKS,0001551597,"38,333.33"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/01/2016,Professional Fees,Corporate Services Other,CHILDCARE VOUCHERS LIMITED,0001557213,"2,358.17"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/01/2016,Child Care Vouchers,Child Care Vouchers,CHILDCARE VOUCHERS LIMITED,0001557213,"98,257.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Miscellaneous Expenditure,Integrated & Community Service,COMMUNITY INTEGRATED CARE,0001553012,"37,774.93"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,38.71
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Surgery,DESOUTTER MEDICAL LTD,0001558559,72.58
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Surgery,DESOUTTER MEDICAL LTD,0001558559,110.18
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,184.03
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,245.38
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,287.28
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,575.42
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,710.21
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,812.16
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,817.34
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,817.34
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,817.34
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,845.64
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,886.46
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"1,031.62"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"1,161.22"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"1,223.42"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"1,334.88"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"1,428.84"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"1,976.83"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"2,084.83"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"2,084.83"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"2,147.90"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"2,480.54"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"2,984.26"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"3,067.20"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"3,768.77"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"3,768.77"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"8,899.20"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"9,815.04"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,M & S Equipment,Capital,DESOUTTER MEDICAL LTD,0001558559,"12,809.66"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/01/2016,Periodics & Publications,Corporate Services Other,ELSEVIER LTD,0001551570,"56,462.62"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,North Manchester Pharmacy,North Manchester Pharmacy,EVOLUTION HOMECARE SERVICES LTD,0001553764,"75,191.74"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/01/2016,North Manchester Pharmacy,North Manchester Pharmacy,EVOLUTION HOMECARE SERVICES LTD,0001555252,"63,096.03"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/01/2016,North Manchester Pharmacy,North Manchester Pharmacy,EVOLUTION HOMECARE SERVICES LTD,0001555770,"50,263.57"
Department of Health,The Pennine Acute Hospitals NHS Trust,28/01/2016,North Manchester Pharmacy,North Manchester Pharmacy,EVOLUTION HOMECARE SERVICES LTD,0001557562,"63,406.04"
Department of Health,The Pennine Acute Hospitals NHS Trust,21/01/2016,PACS Support & Maintenance,Corporate Services Other,G E MEDICAL SYSTEMS,0001555335,"89,133.77"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001554012,"1,224.93"
Department of Health,The Pennine Acute Hospitals NHS Trust,14/01/2016,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001554012,"49,783.44"
