DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_KG,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation ,NotAcceptable2,ReasonForRefusal,NoOfConsignments
2017-07-12,2017,Q3,Jul,12,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,19023010,Dried,150,2650,Human consumption,Satisfactory,no,2. Destruction,Satisfactory,Not Satisfactory,Yes,GM rice,notsatisfactory,-,destruction,"6. Other, create RASFF notification",1
2017-08-04,2017,Q3,Aug,4,2017-10,GH,"Tilbury, P",GH,Ghana,GB,GB,15119099,Other,97,705,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-07,2017,Q3,Sep,7,2017-10,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,960,24000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Human consumption,-,-,1
2017-09-12,2017,Q3,Sep,12,2017-10,IN,"Felixstowe, P",IN,India,GB,GB,9081100,Neither crushed nor ground,4,100,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-13,2017,Q3,Sep,13,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,190230,Other pasta,1300,15600,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,GM rice,satisfactory,Human consumption,-,-,1
2017-09-13,2017,Q3,Sep,13,2017-10,JP,"Felixstowe, P",JP,Japan,GB,GB,10063092,Round grain,662,11376,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-134,satisfactory,Human consumption,-,-,1
2017-09-13,2017,Q3,Sep,13,2017-10,JP,"Felixstowe, P",JP,Japan,GB,GB,10063092,Round grain,662,11376,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-137,satisfactory,Human consumption,-,-,1
2017-09-13,2017,Q3,Sep,13,2017-10,JP,"Felixstowe, P",JP,Japan,GB,GB,19049010,Obtained from rice,662,11376,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-134,satisfactory,Human consumption,-,-,1
2017-09-13,2017,Q3,Sep,13,2017-10,JP,"Felixstowe, P",JP,Japan,GB,GB,19049010,Obtained from rice,662,11376,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-137,satisfactory,Human consumption,-,-,1
2017-09-13,2017,Q3,Sep,13,2017-10,TR,London Gateway,TR,Turkey,GB,GB,8062090,Other,1600,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-09-13,2017,Q3,Sep,13,2017-10,IN,London Gateway,IN,India,GB,GB,9042200,Crushed or ground,680,17000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Human consumption,-,-,1
2017-09-14,2017,Q3,Sep,14,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,1630,20375,Human consumption,Satisfactory,no,1. Re-dispatching,Satisfactory,Not Satisfactory,Yes,Ochratoxin A,notsatisfactory,-,redispatch,4. Chemical contamination,1
2017-09-14,2017,Q3,Sep,14,2017-10,CN,"Felixstowe, P",CN,China,NL,GB,12024200,"Shelled, whether or not broken",800,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-14,2017,Q3,Sep,14,2017-10,TR,Liverpool,TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-09-15,2017,Q3,Sep,15,2017-10,TR,Belfast City Council (CED),TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-09-15,2017,Q3,Sep,15,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062090,Other,1600,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-09-15,2017,Q3,Sep,15,2017-10,CN,"Felixstowe, P",CN,China,NL,GB,12024200,"Shelled, whether or not broken",780,19500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-15,2017,Q3,Sep,15,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,20081919,Other,720,18000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Human consumption,-,-,1
2017-09-15,2017,Q3,Sep,15,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,20081919,Other,720,18000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B2,satisfactory,Human consumption,-,-,1
2017-09-15,2017,Q3,Sep,15,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,20081919,Other,720,18000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin G1,satisfactory,Human consumption,-,-,1
2017-09-15,2017,Q3,Sep,15,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,20081919,Other,720,18000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin G2,satisfactory,Human consumption,-,-,1
2017-09-15,2017,Q3,Sep,15,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,20081919,Other,720,18000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-15,2017,Q3,Sep,15,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,20081919,Other,240,6000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-18,2017,Q3,Sep,18,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,19023010,Dried,150,2700,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,GM rice,satisfactory,Human consumption,-,-,1
2017-09-18,2017,Q3,Sep,18,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,19023010,Dried,350,6300,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,GM rice,satisfactory,Human consumption,-,-,1
2017-09-18,2017,Q3,Sep,18,2017-10,TR,London Gateway,TR,Turkey,GB,GB,20081919,Other,4,4000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-19,2017,Q3,Sep,19,2017-10,TW,"Felixstowe, P",CN,China,GB,GB,19023010,Dried,5850,13163,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,GM rice,satisfactory,Human consumption,-,-,1
2017-09-19,2017,Q3,Sep,19,2017-10,JP,"Southampton, P",JP,Japan,GB,GB,21039090,Other,565,8393,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-134,satisfactory,Human consumption,-,-,1
2017-09-19,2017,Q3,Sep,19,2017-10,JP,"Southampton, P",JP,Japan,GB,GB,21039090,Other,565,8393,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-137,satisfactory,Human consumption,-,-,1
2017-09-19,2017,Q3,Sep,19,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,8042090,Dried,300,3600,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-20,2017,Q3,Sep,20,2017-10,AR,London Gateway,AR,Argentina,NL,GB,12024200,"Shelled, whether or not broken",20,25080,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-20,2017,Q3,Sep,20,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",760,19000,Feedingstuff,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Feedingstuff,-,-,1
2017-09-20,2017,Q3,Sep,20,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",760,19000,Feedingstuff,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B2,satisfactory,Feedingstuff,-,-,1
2017-09-20,2017,Q3,Sep,20,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",760,19000,Feedingstuff,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin G1,satisfactory,Feedingstuff,-,-,1
2017-09-20,2017,Q3,Sep,20,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",760,19000,Feedingstuff,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin G2,satisfactory,Feedingstuff,-,-,1
2017-09-20,2017,Q3,Sep,20,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,19023010,Dried,550,9900,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,GM rice,satisfactory,Human consumption,-,-,1
2017-09-20,2017,Q3,Sep,20,2017-10,TR,Belfast City Council (CED),TR,Turkey,GB,GB,80620,Dried,1680,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-20,2017,Q3,Sep,20,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",760,19000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-20,2017,Q3,Sep,20,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,8022200,Shelled,360,9000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-20,2017,Q3,Sep,20,2017-10,CN,"Felixstowe, P",CN,China,NL,GB,12024200,"Shelled, whether or not broken",760,19000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-21,2017,Q3,Sep,21,2017-10,BR,London Gateway,BR,Brazil,GB,GB,12024200,"Shelled, whether or not broken",20,25000,Feedingstuff,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Feedingstuff,-,-,1
2017-09-21,2017,Q3,Sep,21,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,9022000,Other green tea (not fermented),30,750,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-21,2017,Q3,Sep,21,2017-10,TW,"Felixstowe, P",CN,China,GB,GB,19023010,Dried,5850,13163,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,GM rice,satisfactory,Human consumption,-,-,1
2017-09-21,2017,Q3,Sep,21,2017-10,TR,"Bristol, P",TR,Turkey,GB,GB,8062030,Sultanas,1630,20375,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-21,2017,Q3,Sep,21,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062090,Other,1630,20375,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-09-21,2017,Q3,Sep,21,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,20081919,Other,160,4000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-21,2017,Q3,Sep,21,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,8131000,Apricots,1680,21000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,sulphites,satisfactory,Human consumption,-,-,1
2017-09-22,2017,Q3,Sep,22,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,20081919,Other,20,15000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-22,2017,Q3,Sep,22,2017-10,IN,"Felixstowe, P",IN,India,IT,IT,9042200,Crushed or ground,987,3124.2,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-22,2017,Q3,Sep,22,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,2808,19656,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-09-22,2017,Q3,Sep,22,2017-10,IN,"Felixstowe, P",IN,India,GB,GB,12074090,Other,100,800,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Salmonella spp.,satisfactory,Human consumption,-,-,1
2017-09-22,2017,Q3,Sep,22,2017-10,IN,"Felixstowe, P",IN,India,GB,GB,12074090,Other,100,800,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Salmonella spp.,satisfactory,Human consumption,-,-,1
2017-09-22,2017,Q3,Sep,22,2017-10,IN,"Felixstowe, P",IN,India,GB,GB,9042200,Crushed or ground,260,6500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,8131000,Apricots,960,12000,Human consumption,Satisfactory,no,1. Re-dispatching,Satisfactory,Satisfactory,Yes,sulphites,notsatisfactory,-,redispatch,4. Chemical contamination,1
2017-09-25,2017,Q3,Sep,25,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,8131000,Apricots,800,10000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,8131000,Apricots,320,4000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,8131000,Apricots,480,6000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,20081993,Almonds and pistachios,210,504,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,IN,"Felixstowe, P",IN,India,GB,GB,9042200,Crushed or ground,640,16000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,JP,"Felixstowe, P",JP,Japan,GB,GB,10063094,Medium grain,2400,24000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,IN,"Felixstowe, P",IN,India,GB,GB,9042200,Crushed or ground,248,4960,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062090,Other,1680,21000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,22,21960,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,22,21980,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,22,22020,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,22,22000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,22,21980,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,22,21960,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,22,22040,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,22,21940,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,22,22060,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",20,17000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",800,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,ET,Heathrow,ET,Ethiopia,GB,GB,9041200,Crushed or ground,150,1500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,ET,Heathrow,ET,Ethiopia,GB,GB,9041200,Crushed or ground,150,1500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,1600,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-09-25,2017,Q3,Sep,25,2017-10,IR,"Southampton, P",IR,Iran (Islamic Republic Of),GB,GB,80620,Dried,1600,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24920,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24900,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24740,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24800,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24880,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24840,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24960,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24960,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25240,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25100,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24780,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24940,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24940,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24960,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25080,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24920,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24520,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24960,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25100,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25260,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25040,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,IN,London Gateway,IN,India,GB,GB,12074090,Other,80,2000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Salmonella spp.,satisfactory,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,IN,"Felixstowe, P",IN,India,GB,GB,9081100,Neither crushed nor ground,40,160,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",800,20000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-26,2017,Q3,Sep,26,2017-10,CN,"Felixstowe, P",CN,China,NL,GB,12024200,"Shelled, whether or not broken",780,19500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-27,2017,Q3,Sep,27,2017-10,IN,"Felixstowe, P",IN,India,GB,GB,904220019,Other,1550,6510,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-09-27,2017,Q3,Sep,27,2017-10,IN,"Felixstowe, P",IN,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),400,10000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Human consumption,-,-,1
2017-09-27,2017,Q3,Sep,27,2017-10,IN,"Felixstowe, P",IN,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),400,10000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B2,satisfactory,Human consumption,-,-,1
