Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,115,109.61,308,296.48,683,661.11,641,611.55,166,160.39,,,1913,1839.14,121,119.52,,,61,59.21,28,25.15,210,203.88,2123,2043.02,"£6,664,609","£56,606","£46,320","£17,544","£1,387,499","£610,067","£8,782,645","£1,269,871","£161,992","£1,431,863","£10,214,509",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,307,286.5,207,204.03,1404,1364.7,289,283.72,83,82.71,19,18.46,2309,2240.12,260,260,12,12,6,6,0,0,278,278,2587,2518.12,"£6,708,538","£76,354",£0,"£20,888","£1,027,764","£656,865","£8,490,409","£2,079,055","£500,000","£2,579,055","£11,069,464",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,92,78.5,331,314.8,609,591.9,995,969.1,171,158.8,0,0,2198,2113.1,68,61,0,0,109,106.7,0,0,177,167.7,2375,2280.8,"£8,103,513","£99,211",£0,"£13,950","£1,026,211","£746,940","£9,989,824","£1,275,055","£63,633","£1,338,688","£11,328,512",
Health Education England,Special Health Authority,Department of Health,92,80.74,564,516.91,496,452.39,347,325.47,988,329.22,0,0,2487,1704.73,135,101.74,11,6.69,12,5.06,1,0.02,159,113.51,2646,1818.24,"£6,311,176","£307,291",£0,"£2,052","£763,902","£520,652","£7,905,072","£608,024",£0,"£608,024","£8,513,096",
Health Research Authority,Special Health Authority,Department of Health,8,6.29,73,69.93,24,20.38,25,21.8,3,2.6,0,0,133,121,8,5.71,1,0.26,0,0,0,0,9,5.97,142,126.97,"£362,416",£0,£0,"£3,184","£42,745","£27,485","£435,830","£24,825",£108,"£24,933","£460,763",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,18,16.96,33,32.69,8,7.2,4,4,0,0,63,60.85,2,2,0,0,1,1,0,0,3,3,66,63.85,"£210,179",,,,"£42,755","£24,104","£277,039","£24,573","£48,120","£72,693","£349,732",The HFEA currently has 4 vacancies 
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,2,7,7,23,22.75,8,6.8,5,4.6,0,0,45,43.15,0,0,0,0,0,0,0,0,0,0,45,43.15,"£173,953",£0,£0,£0,"£17,528","£17,042","£208,522",£0,"£7,114","£7,114","£215,636",
Medicines & Healthcare Products Regulatory Agency,Executive Agency,Department of Health,110,105.81,198,190.13,441,430.31,324,314.4,142,127.29,0,0,1215,1167.94,34,22.15,1,1,4,2.7,0,0,39,25.85,1254,1193.79,"£4,293,385","£45,966","£18,299","£21,490","£823,106","£402,300","£5,604,546","£257,249",£0,"£257,249","£5,861,795",
Monitor,Executive Non-Departmental Public Body,Department of Health,21,21,43,42.38,75,73.9,192,186.09,47,44.6,0,0,378,367.97,13,13,35,32.6,12,10,0,0,60,55.6,438,423.57,"£1,926,928",£0,£0,£0,"£485,704","£201,953","£2,614,585","£556,689","£985,712","£1,542,401","£4,156,986",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,9,6.65,84,80.2,236,220.99,196,182.9,58,52.79,2,2,585,545.53,14,12.29,0,0,30,27.11,0,0,44,39.4,629,584.93,"£1,965,140","£12,336",£0,£0,"£255,862","£179,712","£2,413,049","£235,988",£0,"£235,988","£2,649,038",
