Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/07/2016,Central Telecommunications Services,"Finance, Commercial & Digital Transformation - Digital Directorate",VODAFONE LTD,64531,8.26,FCDT Devolved Admin-Central Telecommunications Services,MK3 5JP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/07/2016,IT Services,"People, Strategy and Higher Education - Communications Directorate",WILLIAMS LEA LTD,70562,4132.66,Digital Media-IT Services,EC1M 4NA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/07/2016,Printing,"People, Strategy and Higher Education - Communications Directorate",WILLIAMS LEA LTD,70562,1989.49,PSHE Devolved Admin-Printing,EC1M 4NA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/07/2016,Central Telecommunications Services,"Finance, Commercial & Digital Transformation - Digital Directorate",VODAFONE LTD,74056,63.72,FCDT Devolved Admin-Central Telecommunications Services,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/07/2016,Central Telecommunications Services,"Finance, Commercial & Digital Transformation - Digital Directorate",BRITISH TELECOMMUNICATIONS plc (BT),91088,255.19,FCDT Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/07/2016,Central Telecommunications Services,"Finance, Commercial & Digital Transformation - Digital Directorate",BRITISH TELECOMMUNICATIONS plc (BT),91088,508.23,FCDT Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/07/2016,Central Telecommunications Services,"Finance, Commercial & Digital Transformation - Digital Directorate",BRITISH TELECOMMUNICATIONS plc (BT),91836,73.91,FCDT Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/07/2016,Telecoms Equipment,"Finance, Commercial & Digital Transformation - Digital Directorate",ACTION ON HEARING LOSS LTD,134333,1962.88,FCDT Devolved Admin-Telecoms Equipment,PE2 6XU,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2016,Professional Subscriptions,Economics & Markets - International Trade & Export Control,BRITISH EMBASSY,137863,0.78,E&M Devolved Admin-Professional Subscriptions,75383,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2016,Professional Subscriptions,Economics & Markets - International Trade & Export Control,BRITISH EMBASSY,137863,20874.06,E&M Devolved Admin-Professional Subscriptions,75383,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2016,Computer Consumables,"Finance, Commercial & Digital Transformation - Digital Directorate",ACTION ON HEARING LOSS LTD,138378,4.96,FCDT Devolved Admin-Computer Consumables,PE2 6XU,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/07/2016,Telecoms Equipment,"Finance, Commercial & Digital Transformation - Digital Directorate",ACTION ON HEARING LOSS LTD,138378,453.59,FCDT Devolved Admin-Telecoms Equipment,PE2 6XU,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/07/2016,Financial Advice and Services,Business and Science - DISABLED - AVAILABLE FOR FUTURE USE,BARCLAYS BANK PLC,143795,43507.69,Management Costs ICR Monetisation-Financial Advice and Services,E14 4BB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/07/2016,Economic Consultancy & Research,Business and Science - Infrastructure and Materials,CRU International Ltd,144136,19860.00,MRI: Sponsorship-Economic Consultancy & Research,WC2A 1QS,VENDOR,,,
