,,,,,,,,,,,,,
Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount,Total Inv Amount,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,AAH HOSPITAL SERVICE,ASC3060,"23,594.65",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,,,"4,718.93","28,313.58 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,,ASC3063,"27,333.29",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,,,"5,466.66","32,799.95 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,,ASC3077,"37,814.80",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,,,"7,562.97","45,377.77 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,,ASC3078,"43,785.47",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,,,"8,757.10","52,542.57 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,,ASC3079,"38,672.47",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,,,"7,734.50","46,406.97 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,,ASC3086,"45,645.25",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,,,"9,129.05","54,774.30 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,DRUGS,PHARMACY,,ASC3114,"40,279.28",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,DRUGS,PHARMACY,,,"8,055.86","48,335.14 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,DRUGS,PHARMACY,,ASC3125,"20,865.23",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,DRUGS,PHARMACY,,,"4,173.05","25,038.28 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,,ASC3133,"21,045.11",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,,,"4,209.03","25,254.14 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,,ASC3149,"26,734.86",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,,,"5,346.98","32,081.84 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,ASC3159,"28,742.20",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,,"5,748.44","34,490.64 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,ASC3196,"38,682.27",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,,"7,736.46","46,418.73 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,ABBOTT LABORATORIES LTD,4328771,"5,920.53",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,"5,245.98",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,"3,947.04",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,"3,747.12",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,"2,466.85",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,"2,001.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,748.66",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,648.74",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,416.80",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,184.11",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,049.20",0.00 ,,,,,
