"Department Family","Entity","Date","Expense Type","Expense Area","Supplier","Transaction Number","Amount","Invoice Number"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","Blood Products","BLOOD TRANSFUSION SERVICE","NHS BLOOD & TRANSPLANT",12924685,219541.33,"802567"
"Department of Health","Portsmouth Hospitals Trust","27/05/2011","CAPD Fluids","RENAL PD UNIT","BAXTER HEALTHCARE LTD",13028594,83721.75,"001382762"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Capital Non Pay Costs","Balance Sheet","BT GLOBAL SERVICES",12869967,3644.79,"0790045064"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Capital Non Pay Costs","Balance Sheet","GE HEALTHCARE CLINICAL SYSTEMS (UK) LTD",12712977,70181.57,"5595391"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Capital Non Pay Costs","Balance Sheet","TAYLOR MADE COMPUTER SOLUTIONS LTD",12854805,29000,"SIN028254"
"Department of Health","Portsmouth Hospitals Trust","24/05/2011","Capital Non Pay Costs","Balance Sheet","TRUSTMARQUE SOLUTIONS LTD",12902910,32265.41,"XMLSINV2148789"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Commercial Sector","B`STOKE DIALYSIS","FRESENIUS MEDICAL CARE LTD",12869968,47941.78,"1060016929"
"Department of Health","Portsmouth Hospitals Trust","06/05/2011","Commercial Sector","CHANDLERS FORD DIALYSIS","FRESENIUS MEDICALCARE RENAL SERVICES LTD",12924582,78469.68,"1060016934"
"Department of Health","Portsmouth Hospitals Trust","10/05/2011","Commercial Sector","CHANDLERS FORD DIALYSIS","FRESENIUS MEDICALCARE RENAL SERVICES LTD",12924583,45869.22,"1160001780"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Commercial Sector","HAVANT DIALYSIS","RENAL SERVICES OPERATIONS LTD",12901682,119955.04,"495"
"Department of Health","Portsmouth Hospitals Trust","27/05/2011","Commercial Sector","HAVANT DIALYSIS","RENAL SERVICES OPERATIONS LTD",12972472,123901.92,"496"
"Department of Health","Portsmouth Hospitals Trust","27/05/2011","Commercial Sector","SALISBURY DIALYSIS","RENAL SERVICES SALISBURY OPERATIONS LTD",12996174,49726.92,"75"
"Department of Health","Portsmouth Hospitals Trust","10/05/2011","Computer Maintenance","EDM IMPLEMENTATION","BLUEWARE INC",12940150,31500,"9473"
"Department of Health","Portsmouth Hospitals Trust","24/05/2011","Computer Maintenance","EPR DEVELOPMENT DISTRICT","ISOFT PLC",12955276,9298,"SI005992"
"Department of Health","Portsmouth Hospitals Trust","24/05/2011","Computer Maintenance","EPR DEVELOPMENT PHT","ISOFT PLC",12955276,148621,"SI005992"
"Department of Health","Portsmouth Hospitals Trust","06/05/2011","Computer Maintenance","ICT SERVICES DISTRICT","TAYLOR MADE COMPUTER SOLUTIONS LTD",12924577,18103.79,"SIN028655"
"Department of Health","Portsmouth Hospitals Trust","06/05/2011","Computer Maintenance","ICT SERVICES PHT","TAYLOR MADE COMPUTER SOLUTIONS LTD",12924577,18103.79,"SIN028655"
"Department of Health","Portsmouth Hospitals Trust","24/05/2011","Computer Maintenance","RADIOTHERAPY PHYSICS","ELEKTA LTD",13023610,36934.63,"208100270"
"Department of Health","Portsmouth Hospitals Trust","27/05/2011","Computer Software/License","ICT SERVICES DISTRICT","ASSET ADVANTAGE LTD",13044285,25237.45,"CC11445005"
"Department of Health","Portsmouth Hospitals Trust","27/05/2011","Computer Software/License","ICT SERVICES PHT","ASSET ADVANTAGE LTD",13044285,36056.17,"CC11445005"
"Department of Health","Portsmouth Hospitals Trust","20/05/2011","Drugs","Renal senior team","POLAR SPEED DISTRIBUTION LTD",12996151,61253.6,"0000126133"
"Department of Health","Portsmouth Hospitals Trust","20/05/2011","Drugs","Renal senior team","POLAR SPEED DISTRIBUTION LTD",12996173,54460.32,"0000123978"
"Department of Health","Portsmouth Hospitals Trust","27/05/2011","Drugs","Renal senior team","POLAR SPEED DISTRIBUTION LTD",12996190,49050.72,"0000127550"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","Equip Maint Contracts","NUCLEAR MEDICINE PHT","NHS SUPPLY CHAIN",12911569,86470.81,"2012000059"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","Equip Maint Contracts","QAH MAIN X-RAY","FUJI PHOTO FILM UK LTD",12903181,41822.62,"CM319"
"Department of Health","Portsmouth Hospitals Trust","17/05/2011","Equip Maint Contracts","RADIOTHERAPY","VARIAN LTD",12964332,78987,"602095808"
"Department of Health","Portsmouth Hospitals Trust","10/05/2011","External Consultancy Fees","EDM IMPLEMENTATION","BLUEWARE INC",12940150,85000,"9473"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","External Consultancy Fees","PROCUREMENT SERVICES","ADVISORY BOARD COMPANY",12896943,25000,"712781"
"Department of Health","Portsmouth Hospitals Trust","31/05/2011","FM Computer Contracts","EDM IMPLEMENTATION","IBM UK LTD",12996206,51994.92,"7305110069"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","FP10S","FP10S TO RECHARGE","NHS BUSINESS SERVICES AUTHORITY",12924662,58226.76,"PHS1000027439"
"Department of Health","Portsmouth Hospitals Trust","31/05/2011","Laboratory Reagents","BLOOD SCIENCES","BECKMAN COULTER UK LTD",12988931,34272.04,"1223242"
"Department of Health","Portsmouth Hospitals Trust","24/05/2011","Legal / Prof Fees","COMPANY SECRETARYS TEAM","MILLS & REEVE LLP",12955261,34845.47,"BIRBIL749608V11"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Limbs","LIMBS","OTTO BOCK HEALTHCARE PLC",12901765,26419.32,"231000151"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Med & Surg Maint Contract","CT-NON PAY","NHS SUPPLY CHAIN",12812965,81473.11,"2012000057"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Med & Surg Maint Contract","CT-NON PAY","NHS SUPPLY CHAIN",12812969,73761.49,"2012000060"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Med & Surg Maint Contract","CT-NON PAY","NHS SUPPLY CHAIN",12812979,175781.73,"2012000061"
"Department of Health","Portsmouth Hospitals Trust","24/05/2011","Miscellaneous Expenditure","BUSINESS INTELLIGENCE","DR FOSTER LTD",13028751,26190,"0001007497"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","NHS payables - Current","Balance Sheet","NHS SUPPLY CHAIN",12907166,149866.99,"1012006305"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","NHS payables - Current","Balance Sheet","NHS SUPPLY CHAIN",12947835,168663.56,"1012010559"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","NHS payables - Current","Balance Sheet","NHS SUPPLY CHAIN",12947836,116993.29,"1011102686"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","NHS payables - Current","Balance Sheet","NHS SUPPLY CHAIN",12947837,185639.37,"1012001919"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","NonNHS Trade Pybls Curr","Balance Sheet","NHS PROFESSIONALS LTD",12893185,80742.93,"13948070"
"Department of Health","Portsmouth Hospitals Trust","04/05/2011","NonNHS Trade Pybls Curr","Balance Sheet","NHS PROFESSIONALS LTD",12893188,61445.93,"13948150"
"Department of Health","Portsmouth Hospitals Trust","10/05/2011","NonNHS Trade Pybls Curr","Balance Sheet","NHS PROFESSIONALS LTD",12893203,69793.41,"13948242"
"Department of Health","Portsmouth Hospitals Trust","13/05/2011","NonNHS Trade Pybls Curr","Balance Sheet","NHS PROFESSIONALS LTD",12907128,104334.37,"13948334"
"Department of Health","Portsmouth Hospitals Trust","17/05/2011","NonNHS Trade Pybls Curr","Balance Sheet","NHS PROFESSIONALS LTD",12907169,58354.62,"13948440"
"Department of Health","Portsmouth Hospitals Trust","24/05/2011","NonNHS Trade Pybls Curr","Balance Sheet","NHS PROFESSIONALS LTD",12972454,79542.55,"13948482"
"Department of Health","Portsmouth Hospitals Trust","31/05/2011","NonNHS Trade Pybls Curr","Balance Sheet","NHS PROFESSIONALS LTD",12972471,78938.19,"13948640"
"Department of Health","Portsmouth Hospitals Trust","10/05/2011","Other Liabilities - Curr","Balance Sheet","HOSPITAL COMPANY QAH PORTSMOUTH LTD",12933024,4791558.5,"QAH131"
"Department of Health","Portsmouth Hospitals Trust","17/05/2011","Other Patients Welfare","RENAL UNIT CHAR FUND","HOSPIRA UK LTD",12947818,-25900,"602508523"
"Department of Health","Portsmouth Hospitals Trust","03/05/2011","Other Transport Costs","PTS BASINGSTOKE AREA","PTS SOUTHERN LTD",12870009,26982.66,"26107041132379"
"Department of Health","Portsmouth Hospitals Trust","31/05/2011","Other Transport Costs","PTS BASINGSTOKE AREA","PTS SOUTHERN LTD",13019312,26982.66,"26706051132379"
