Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,Amount in Sterling,Supplier VAT Registration Number
Department of Health,Blackpool PCT,01/07/2010,Healthcare- Elective,Director Of Commissioning,NW Special Srvs Commissioning Team,14008,-250000,Not Available
Department of Health,Blackpool PCT,01/07/2010,Healthcare- Elective,Director Of Commissioning,Blackpool Fylde Wyre,14976,6230141,Not Available
Department of Health,Blackpool PCT,01/07/2010,Cquin,Director Of Commissioning,Blackpool Fylde Wyre,14978,50017,Not Available
Department of Health,Blackpool PCT,01/07/2010,Healthcare- Elective,Director Of Commissioning,Lancashire Care Nhs Trust,14979,1224064,Not Available
Department of Health,Blackpool PCT,01/07/2010,Healthcare - Other,Director Of Commissioning,Lancashire Care Nhs Trust,14980,121360,Not Available
Department of Health,Blackpool PCT,01/07/2010,Healthcare - Other,Director Of Commissioning,Lancashire Care Nhs Trust,14981,52701,Not Available
Department of Health,Blackpool PCT,01/07/2010,Healthcare- Elective,Director Of Commissioning,Lancashire Teaching Hospitals,14984,442519,Not Available
Department of Health,Blackpool PCT,01/07/2010,Healthcare- Elective,Director Of Commissioning,Nw Special Srvs Commissioning Team,14986,2337500,Not Available
Department of Health,Blackpool PCT,01/07/2010,Cquin,Director Of Commissioning,Nw Special Srvs Commissioning Team,14987,35008,Not Available
Department of Health,Blackpool PCT,01/07/2010,Healthcare- Elective,Director Of Commissioning,Nw Special Srvs Commissioning Team,14988,2133167,Not Available
Department of Health,Blackpool PCT,01/07/2010,Cquin,Director Of Commissioning,Nw Special Srvs Commissioning Team,14989,31998,Not Available
Department of Health,Blackpool PCT,02/07/2010,External General Serv.Contract,"Director Of Finance,Estates & Information",Blackpool Fylde Wyre,15005,45363.78,Not Available
Department of Health,Blackpool PCT,02/07/2010,Healthcare - Other,Director Of Commissioning,Blackpool Borough Council,75209,-102828.81,Not Available
Department of Health,Blackpool PCT,02/07/2010,Healthcare - Other,Director Of Commissioning,Blackpool Borough Council,75210,92372.25,Not Available
Department of Health,Blackpool PCT,02/07/2010,Healthcare - Other,Director Of Commissioning,Blackpool Borough Council,75211,39466.79,Not Available
Department of Health,Blackpool PCT,02/07/2010,Drugs,Provider Services,Medicx Pharmacy Ltd,75943,158237.99,Not Available
Department of Health,Blackpool PCT,07/07/2010,Healthcare - Other,Director Of Commissioning,Thomas,76118,18294,Not Available
Department of Health,Blackpool PCT,07/07/2010,Healthcare - Other,Director Of Commissioning,Thomas,76118,18294,Not Available
Department of Health,Blackpool PCT,09/07/2010,Healthcare - Other,Director of Commissioning,Lancashire Teaching Hospitals,14566,22951.6,Not Available
Department of Health,Blackpool PCT,09/07/2010,Healthcare - Other,Director Of Commissioning,Lancashire Teaching Hospitals,14566,11177.37,Not Available
Department of Health,Blackpool PCT,09/07/2010,Healthcare - Other,Director Of Commissioning,Lancashire Teaching Hospitals,14568,200191.71,Not Available
Department of Health,Blackpool PCT,09/07/2010,Healthcare - Other,Director Of Commissioning,Lancashire Teaching Hospitals,14568,2878.37,Not Available
Department of Health,Blackpool PCT,09/07/2010,Healthcare - Other,Director Of Commissioning,Lancashire Teaching Hospitals,14569,43710.72,Not Available
Department of Health,Blackpool PCT,09/07/2010,Bfw Drugs,Provider Services,Blackpool Fylde Wyre,14646,25793.97,Not Available
Department of Health,Blackpool PCT,09/07/2010,Bfw Drugs,Provider Services,Blackpool Fylde Wyre,14773,27020.98,Not Available
Department of Health,Blackpool PCT,09/07/2010,Healthcare - Other,Director Of Commissioning,Lancashire Teaching Hospitals,14968,75153.12,Not Available
Department of Health,Blackpool PCT,09/07/2010,Non Healthcare,"Director Of Finance,Estates & Information",Lancashire Sth Cumbria Agncy,15095,30000,Not Available
Department of Health,Blackpool PCT,09/07/2010,Drugs,Provider Services,Medicx Pharmacy Ltd,75942,127153.12,Not Available
Department of Health,Blackpool PCT,09/07/2010,Equipment P&M,"Director Of Finance,Estates & Information",Adi Uk Ltd,76281,35024.68,Not Available
Department of Health,Blackpool PCT,13/07/2010,Healthcare - Other,Director Of Commissioning,Richmond Fellowship,76473,26739,Not Available
Department of Health,Blackpool PCT,13/07/2010,Healthcare - Other,Director Of Commissioning,Addaction,76475,25896,Not Available
Department of Health,Blackpool PCT,13/07/2010,Healthcare - Other,Director Of Commissioning,Inward House Projects,76477,31657,Not Available
Department of Health,Blackpool PCT,13/07/2010,Healthcare - Other,Director Of Commissioning,Drugline Lancs Ltd,76478,70671,Not Available
Department of Health,Blackpool PCT,13/07/2010,Healthcare - Other,Director Of Commissioning,Blackpool Borough Council,76483,20677,Not Available
Department of Health,Blackpool PCT,13/07/2010,Healthcare - Other,Director Of Commissioning,Blackpool Borough Council,76483,14663,Not Available
Department of Health,Blackpool PCT,13/07/2010,Healthcare - Other,Director Of Commissioning,Blackpool Borough Council,76483,4661,Not Available
