"Publication of Spend over £25,000.00 between 01/10/2011 and 31/10/2011",,,,,,,

Department Family,Entity,Paid Date,Expense Type,Expense Area,Supplier,Trans No,Amount
Wolverhampton City PCT,Wolverhampton City PCT,06/10/2011,Non NHS Statutory Sector,Heantun Hsg Respite&day care,Heantun Housing Care,1410,"34,256.00"
Wolverhampton City PCT,Wolverhampton City PCT,06/10/2011,Non NHS Statutory Sector,Heantun Hsg Pennfields EMI,Heantun Housing Care,1415,"200,286.25"
Wolverhampton City PCT,Wolverhampton City PCT,06/10/2011,Non NHS Statutory Sector,Heantun Hsg Oxley contin. Care,Heantun Housing Care,1420,"212,925.25"
Wolverhampton City PCT,Wolverhampton City PCT,06/10/2011,Non NHS Statutory Sector,Heantun Hsg Bushbury EMI,Heantun Housing Care,1425,"202,648.50"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,Purchase of Healthcare - NHS,RWHT Block Contracts,Rl4 T : Royal Wolverhampton Hospita,1825,"3,778,579.40"
Wolverhampton City PCT,Wolverhampton City PCT,06/10/2011,Purchase of Healthcare - Non,LD Pooled Budget,Wolverhampton City Council,2012,"120,697.00"
Wolverhampton City PCT,Wolverhampton City PCT,06/10/2011,Purchase of Healthcare - Non,Ind Cases - Complex Children,Wolverhampton City Council,2024,"88,416.70"
Wolverhampton City PCT,Wolverhampton City PCT,27/10/2011,Networks,Capital Scheme - IMT,B.T. Convergent Solutions Ltd,10167319,"30,697.92"
Wolverhampton City PCT,Wolverhampton City PCT,18/10/2011,RNJ T - Barts & The London NHS,OATS,Rnj T : Barts And The London Nhs Tr,10179051,"55,491.14"
Wolverhampton City PCT,Wolverhampton City PCT,25/10/2011,Distinction Awards,RWHT Block Contracts,Rl4 T : Royal Wolverhampton Hospita,10179118,"287,989.00"
Wolverhampton City PCT,Wolverhampton City PCT,06/10/2011,Ambuline Non Emergency Transpo,RWHT Block Contracts,Ambuline Ltd,10179172,"34,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,06/10/2011,Ambuline Non Emergency Transpo,RWHT Block Contracts,Ambuline Ltd,10179173,"34,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/10/2011,HIV Savings,RWHT Block Contracts,Rl4 T : Royal Wolverhampton Hospita,10179267,"37,404.47"
Wolverhampton City PCT,Wolverhampton City PCT,13/10/2011,Nuffield,Healthcare Block Contracts,Wolverhampton Nuffield Hospital,10179381,"56,365.00"
Wolverhampton City PCT,Wolverhampton City PCT,13/10/2011,Free Nursing Care,Free Nursing Care Payments,Wolverhampton City Council,10179732,"109,092.42"
Wolverhampton City PCT,Wolverhampton City PCT,11/10/2011,Drugs - FP10,Heantun Hsg Drugs,Business Services Authority(Perscri,10179827,"3,312.04"
Wolverhampton City PCT,Wolverhampton City PCT,11/10/2011,MHD trfs to BCP - SLS,Mental Health - SOFP,Business Services Authority(Perscri,10179827,"24,219.31"
Wolverhampton City PCT,Wolverhampton City PCT,11/10/2011,PRV trfs to RWHT (MM),Control Management,Business Services Authority(Perscri,10179827,"30,334.08"
Wolverhampton City PCT,Wolverhampton City PCT,11/10/2011,FT 09/10 Over/Under Performanc,Healthcare - Foundation,Rna Ft : The Dudley Group Of Hospit,10179886,"70,804.00"
Wolverhampton City PCT,Wolverhampton City PCT,11/10/2011,Drugs - FP10,Heantun Hsg Drugs,Business Services Authority(Perscri,10179908,"5,555.05"
Wolverhampton City PCT,Wolverhampton City PCT,11/10/2011,MHD trfs to BCP - SLS,Mental Health - SOFP,Business Services Authority(Perscri,10179908,"45,093.09"
Wolverhampton City PCT,Wolverhampton City PCT,11/10/2011,PRV trfs to RWHT (MM),Control Management,Business Services Authority(Perscri,10179908,"1,638.43"
Wolverhampton City PCT,Wolverhampton City PCT,11/10/2011,IT SLA,RWHT SLAs,Rl4 T : Royal Wolverhampton Hospita,10179959,"37,201.08"
