Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
,,01-Sep-17,Professional fees,ACUTE CARE AND WORKFORCE ,PRICEWATERHOUSECOOPERS LLP,1354771489,"280,000.00",Accountancy service to support the GP indemnity project,SE1 2RD,LARGE,,,
,,01-Sep-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,WIDER PLAN LTD,2017Q1DH_39BCF04,"57,283.63",Nursery Milk Reimbursment Unit - Reimbursement costs,B96 6EW,SME,,,
,,01-Sep-17,Addition Clearing - SW LIC,COMMUNITY CARE,THE PHOENIX PARTNERSHIP (LEEDS) LTD,GPSOC039B,"1,162,566.20",Capital 17/18 - GPSOC Replacement  - THE PHOENIX PARTNERSHIP (LEEDS) LIMITED - Capital Licence  charges for TPP Principal Licences,LS18 5TN,SME,,,
,,01-Sep-17,Service charge,COMMUNITY CARE,THE PHOENIX PARTNERSHIP (LEEDS) LTD,GPSOC039B,"85,015.08",Revenue  17/18 - GPSOC Replacement - TPP - Revenue charges for the Period Commencing 01/04/17 - 30/06/17 System support charges Training Charges Interface Mechanism charges Pairing Assurance service charges Development charges Hosting,LS18 5TN,SME,,,
,,01-Sep-17,ENDPBs Admin Revenue Grant in Aid,Holding CT Core,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-23101,"30,000,000.00",,WF3 1WE,PUBLIC,,,
,,01-Sep-17,ENDPBs Admin Revenue Grant in Aid,Holding CT Core,HEALTH EDUCATION ENGLAND T1510,HAFS-23102,"270,000,000.00",,LS1 4PL,PUBLIC,,,
,,01-Sep-17,ENDPBs Admin Revenue Grant in Aid,Holding CT Core,HEALTH RESEARCH AUTHORITY,HAFS-23103,"1,000,000.00",,SE1 6LH,PUBLIC,,,
,,01-Sep-17,ENDPBs Admin Revenue Grant in Aid,Holding CT Core,HUMAN FERTILISATION AND EMBRYOLOGY AUTHORITY (HFEA),HAFS-23104,"234,500.00",,EC1Y 8HF,PUBLIC,,,
,,01-Sep-17,ENDPBs Admin Revenue Grant in Aid,Holding CT Core,HUMAN TISSUE AUTHORITY (HTA033),HAFS-23105,"224,000.00",,,PUBLIC,,,
,,01-Sep-17,ENDPBs Admin Revenue Grant in Aid,Holding CT Core,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-23106,"4,500,000.00",,,PUBLIC,,,
,,01-Sep-17,ENDPBs Admin Revenue Grant in Aid,Holding CT Core,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-23107,"4,000,000.00",,SE1 7NT,PUBLIC,,,
,,01-Sep-17,SpHAs Programme Revenue Parliamentary Funding,Holding CT Core,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-23108,"9,900,000.00",,NE1 6SN,PUBLIC,,,
,,01-Sep-17,ENDPBs Admin Revenue Grant in Aid,Holding CT Core,NHS ENGLAND CBA033,HAFS-23109,"3,835,712,000.00",,LS2 7UE,PUBLIC,,,
,,01-Sep-17,ENDPBs Admin Revenue Grant in Aid,Holding CT Core,NHS ENGLAND CBA033,HAFS-23110,"5,884,544,000.00",,LS2 7UE,PUBLIC,,,
,,01-Sep-17,SpHAs Programme Revenue Parliamentary Funding,Holding CT Core,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-23111,"6,000,000.00",,SW1E 6QT,PUBLIC,,,
,,01-Sep-17,SpHAs Programme Revenue Parliamentary Funding,Holding CT Core,PUBLIC HEALTH ENGLAND PHE033,HAFS-23112,"83,000,000.00",,SP4 0JG,PUBLIC,,,
,,04-Sep-17,Professional fees,FINANCE AND GROUP OPERATIONS,PRICEWATERHOUSECOOPERS LLP,1354771188,"20,971.06",DH ALB CQC Internal Audit review work,SE1 2RD,LARGE,,,
,,04-Sep-17,Professional fees,FINANCE AND GROUP OPERATIONS,PRICEWATERHOUSECOOPERS LLP,1354817307,"29,502.14",DH ALB NHS B&T Internal Audit review work,SE1 2RD,LARGE,,,
,,04-Sep-17,Professional fees,FINANCE AND GROUP OPERATIONS,PRICEWATERHOUSECOOPERS LLP,1354817811,"23,661.29",DH ALB NHS B&T Internal Audit review work,SE1 2RD,LARGE,,,
,,04-Sep-17,Professional fees,FINANCE AND GROUP OPERATIONS,PRICEWATERHOUSECOOPERS LLP,1354820715,"24,910.74",DH ALB Monitor (NHS Improvement) Internal Audit review work,SE1 2RD,LARGE,,,
,,04-Sep-17,Additions PDC Capital Support NHS T Permanent,Holding CT Core,DARTFORD & GRAVESHAM NHS TRUST,HAFS-23113,"945,000.00",,DA2 8DA,PUBLIC,,,
,,04-Sep-17,Additions PDC Capital Support NHS FT Permanent,Holding CT Core,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-23114,"733,000.00",,OX3 7HE,PUBLIC,,,
,,04-Sep-17,Additions PDC Capital Support NHS FT Permanent,Holding CT Core,ROYAL FREE LONDON NHS FOUNDATION TRUST,HAFS-23115,"8,898,000.00",,NW3 2QG,PUBLIC,,,
,,04-Sep-17,Additions PDC Capital Support NHS FT Permanent,Holding CT Core,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,HAFS-23116,"70,000.00",,WF3 1we,PUBLIC,,,
,,04-Sep-17,Additions PDC Capital Support NHS FT Permanent,Holding CT Core,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,HAFS-23117,"500,000.00",,WF3 1we,PUBLIC,,,
,,04-Sep-17,Additions NHS FTs Capital Investment Loans,Holding CT Core,HEART OF ENGLAND NHS FOUNDATION TRUST,HAFS-23118,"350,000.00",,B9 5SS,PUBLIC,,,
,,04-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,DUNDEE UNIVERSITY OF,ERS-578655-143031,"25,562.42",HTA - Public Health (Disease Prevention),DD1 4HN,PUBLIC,,,
,,04-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-578659-143024,"37,432.00",HTA Clinical Evaluation Trial,BS99 1YF,PUBLIC,,,
,,04-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,KIER BUSINESS SERVICES LTD,ERS-578661-143033,"49,833.33",Knowledge Mobilisation Fellowships,M2 2EE,LARGE,,,
,,04-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-578663-143026,"79,163.00",Invention for Innovation,SM2  5PT,PUBLIC,,,
,,04-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,NORTH BRISTOL NHS TRUST,ERS-578658-143028,"80,699.00",Applied Research Programme,BS1 2NP,PUBLIC,,,
,,04-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,QUEEN MARGARET UNIVERSITY,ERS-578662-143034,"164,460.00",Global Health Research Units,EH21 6UU,PUBLIC,,,
,,05-Sep-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,RESPIREX INTERNATIONAL LTD,161006,"191,760.00","Powered Respirator Protective Suits (PRPS) Size - Variable, detail to be provided later  Consortium Framework Number: CFR1008/CPC/02.   ",RH1 4DP,SME,,,
,,05-Sep-17,Other programme expenditure,GLOBAL AND PUBLIC HEALTH,PGO FOREIGN CURRENCY PAYMENTS,416513389,"259,101.38",,RH10 1UH,PUBLIC,,,
,,05-Sep-17,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584244239,"119,790.00",DH laptop rollout additional equipment - WR1172-CR01,WS11 0JA,LARGE,,,
,,05-Sep-17,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584244239,"17,909.08",DH laptop rollout - WR1172,WS11 0JA,LARGE,,,
,,05-Sep-17,Outsourcing Contract,ACUTE CARE AND WORKFORCE ,IBM UK LTD,5808171147,"139,343.07",ESR FY17/18 Services Charges,PO6 3AU,LARGE,,,
,,05-Sep-17,Outsourcing Contract,ACUTE CARE AND WORKFORCE ,IBM UK LTD,5808171148,"150,000.00",DH/IBM ESR Contract - Service Charges,PO6 3AU,LARGE,,,
,,05-Sep-17,Outsourcing Contract,ACUTE CARE AND WORKFORCE ,IBM UK LTD,5808171310,"1,783,678.17",ESR FY17/18 Services Charges,PO6 3AU,LARGE,,,
,,05-Sep-17,Essential Meds SPG - Additions,COMMUNITY CARE,KENT PHARMACEUTICALS LTD,EMBS-021,"14,688.00",,,LARGE,,,
,,05-Sep-17,Essential Meds SPG - Additions,COMMUNITY CARE,KENT PHARMACEUTICALS LTD,EMBS-021,"30,249.00",,,LARGE,,,
,,05-Sep-17,Policy Payments,ACUTE CARE AND WORKFORCE ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,H0149332,"45,026.63",Eligibility Checking Pilot Support Funding - Imperial College Healthcare NHS Trust,W12 0BJ,PUBLIC,,,
,,05-Sep-17,Policy Payments,FINANCE AND GROUP OPERATIONS,DEPARTMENT OF ENERGY AND CLIMATE CHANGE (DECC),IAT TRANSFER,"69,040.80",,SW1A 2AW,PUBLIC,,,
,,05-Sep-17,DH Support to Mergers,Holding CT Core,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0093621,"1,314,000.00",Implementation of Heatherwood Operational Efficiency,GU16 5UJ,PUBLIC,,,
,,05-Sep-17,DH Support to Mergers,Holding CT Core,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0093621,"92,000.00",PMO costs - Implementation of Heatherwood Operational Efficiency,GU16 5UJ,PUBLIC,,,
,,05-Sep-17,Research & development,CHIEF SCIENTIFIC ADVISOR,NPL MANAGEMENT LTD,131647,"70,152.36",Invention for Innovation,TW11 0LW,LARGE,,,
,,06-Sep-17,Addition Clearing - OLB,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00463356RI,"630,000.00",Wellington - Façade Works 2017 Phase 1,SO53 3YE,LARGE,,,
,,06-Sep-17,Addition Clearing - OLB,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00463357RI,"70,417.80",Skipton - Ground - Old Library New AC System,SO53 3YE,LARGE,,,
