Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,13/04/2017,Exp - Purchase Of Goods/Services - Other,ICC FINANCE AND POLICY TEAM,"Personal Expense, Name Witheld",111,4.39,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,13/04/2017,Exp - Purchase Of Goods/Services - Other Foreign Travel,ICC FINANCE AND POLICY TEAM,"Personal Expense, Name Witheld",111,21.47,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,13/04/2017,Exp - Purchase Of Goods/Services - Foreign Rail Travel,ICC FINANCE AND POLICY TEAM,"Personal Expense, Name Witheld",111,24.00,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,13/04/2017,Exp - Purchase Of Goods/Services - Other - Programme Expenditure,ICC FINANCE AND POLICY TEAM,"Personal Expense, Name Witheld",111,27.91,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,13/04/2017,Exp - Purchase Of Goods/Services - Foreign Subsistence,ICC FINANCE AND POLICY TEAM,"Personal Expense, Name Witheld",111,29.91,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,13/04/2017,Exp - Purchase Of Goods/Services - Foreign Subsistence,ICC FINANCE AND POLICY TEAM,"Personal Expense, Name Witheld",111,88.71,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,25/04/2017,Exp - Purchase Of Goods/Services - Other - Programme Expenditure,OND - EU & INTERNATIONAL,"Personal Expense, Name Witheld",112,1.71,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,25/04/2017,Exp - Purchase Of Goods/Services - Foreign Subsistence,OND - EU & INTERNATIONAL,"Personal Expense, Name Witheld",112,7.70,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,25/04/2017,Exp - Purchase Of Goods/Services - Other Foreign Travel,OND - EU & INTERNATIONAL,"Personal Expense, Name Witheld",112,10.00,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,25/04/2017,Exp - Purchase Of Goods/Services - Other Foreign Travel,OND - EU & INTERNATIONAL,"Personal Expense, Name Witheld",112,16.26,DECC ADMINISTRATIVE SPEND,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,25/04/2017,Exp - Purchase Of Goods/Services - Other Foreign Travel,OND - EU & INTERNATIONAL,"Personal Expense, Name Witheld",112,27.74,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,25/04/2017,Exp - Purchase Of Goods/Services - Foreign Subsistence,OND - EU & INTERNATIONAL,"Personal Expense, Name Witheld",112,27.76,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,25/04/2017,Exp - Purchase Of Goods/Services - Foreign Subsistence,OND - EU & INTERNATIONAL,"Personal Expense, Name Witheld",112,50.30,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,25/04/2017,Exp - Purchase Of Goods/Services - Foreign Subsistence,OND - EU & INTERNATIONAL,"Personal Expense, Name Witheld",112,67.57,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,25/04/2017,Exp - Purchase Of Goods/Services - Foreign Subsistence,OND - EU & INTERNATIONAL,"Personal Expense, Name Witheld",112,104.52,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,27/04/2017,Exp - Purchase Of Goods/Services - Other - Programme Expenditure,OND - EU & INTERNATIONAL,"Personal Expense, Name Witheld",113,2.60,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,27/04/2017,Exp - Purchase Of Goods/Services - Subsistence,OND - EU & INTERNATIONAL,"Personal Expense, Name Witheld",113,3.14,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,27/04/2017,Exp - Purchase Of Goods/Services - Subsistence,OND - EU & INTERNATIONAL,"Personal Expense, Name Witheld",113,6.25,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,27/04/2017,Exp - Purchase Of Goods/Services - Subsistence,OND - EU & INTERNATIONAL,"Personal Expense, Name Witheld",113,10.18,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,27/04/2017,Exp - Purchase Of Goods/Services - Other Travel,OND - EU & INTERNATIONAL,"Personal Expense, Name Witheld",113,23.76,DEFAULT VALUE,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",13/04/2017,Central Telecommunications Services,"FCS - Finance & Corporate Services - Digital, Data & Technology",DAISY COMMUNICATIONS LTD,80014,40.03,E&M Devolved Admin-Central Telecommunications Services,BB9 5SR,VENDOR,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",13/04/2017,Central Telecommunications Services,"FCS - Finance & Corporate Services - Digital, Data & Technology",DAISY COMMUNICATIONS LTD,86126,33.71,E&M Devolved Admin-Central Telecommunications Services,BB9 5SR,VENDOR,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",13/04/2017,Central Telecommunications Services,"FCS - Finance & Corporate Services - Digital, Data & Technology",DAISY COMMUNICATIONS LTD,92093,32.23,E&M Devolved Admin-Central Telecommunications Services,BB9 5SR,VENDOR,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",13/04/2017,Central Telecommunications Services,"FCS - Finance & Corporate Services - Digital, Data & Technology",DAISY COMMUNICATIONS LTD,96472,34.20,E&M Devolved Admin-Central Telecommunications Services,BB9 5SR,VENDOR,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",13/04/2017,Central Telecommunications Services,"FCS - Finance & Corporate Services - Digital, Data & Technology",DAISY COMMUNICATIONS LTD,100245,33.62,E&M Devolved Admin-Central Telecommunications Services,BB9 5SR,VENDOR,,,
