A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 10/4/2013 3:39:58 PM,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS Hull CCG,30/09/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410000369,"1,990,225.00",,,
Department of Health,NHS Hull CCG,30/09/2013,Charges from CSU,PROGRAMME PROJECTS,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100232,"71,304.00",,,
Department of Health,NHS Hull CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810001095,"773,744.00",,,
Department of Health,NHS Hull CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810001157,"96,490.00",,,
Department of Health,NHS Hull CCG,30/09/2013,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000180004,"39,095.74",,,
Department of Health,NHS Hull CCG,30/09/2013,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1005,"62,832.65",,,
Department of Health,NHS Hull CCG,30/09/2013,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,JOAN PICKARD LTD,41314,"74,677.21",,,
Department of Health,NHS Hull CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210004625,"14,183,333.33",,,
Department of Health,NHS Hull CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,20,"(102,388.00)",,,
Department of Health,NHS Hull CCG,30/09/2013,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1000913A,"42,727.80",,,
Department of Health,NHS Hull CCG,30/09/2013,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,VOYAGE LTD,CARE7637832,"27,843.87",,,
Department of Health,NHS Hull CCG,30/09/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010000520,"2,986,401.00",,,
Department of Health,NHS Hull CCG,30/09/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F010913PFHUL,"395,122.00",,,
Department of Health,NHS Hull CCG,30/09/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410000159,"25,733.00",,,
Department of Health,NHS Hull CCG,30/09/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,23,"(25,733.00)",,,
Department of Health,NHS Hull CCG,30/09/2013,Minor Works,ESTATES AND FACILITIES,HOBSON & PORTER LTD,IN734,"99,868.67",317344274,,
Department of Health,NHS Hull CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,413913,"120,961.29",,,
Department of Health,NHS Hull CCG,30/09/2013,Services From Local Authorities,CARERS,HULL CITY COUNCIL,1000180950,"33,421.67",,,
Department of Health,NHS Hull CCG,30/09/2013,Charges from CSU,FINANCE,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100277,"295,736.00",,,
Department of Health,NHS Hull CCG,30/09/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210004167,"14,183,333.33",,,
Department of Health,NHS Hull CCG,30/09/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NRS HEALTHCARE,1800088740,"68,752.01",,,
