Service,Supplier Name,Date,Amount (£),Purpose of Expenditure,Merchant Category,Transaction Number,Organisation Name,Service Category
Childrens & Educational Services,0-2-5 NURSERY,2015-09-03,"29,092.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551712,Stockport,Services to People
Cultural & Related Services,24 DESIGN LTD,2015-09-02,"1,080.00",Publicity and Promotion,Arts & Leisure Services  ,1900551083,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-02,"1,800.00",Publicity and Promotion,Arts & Leisure Services  ,1900551084,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-02,"1,800.00",Publicity and Promotion,Arts & Leisure Services  ,1900551085,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-02,"1,950.00",Publicity and Promotion,Arts & Leisure Services  ,1900551086,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-02,"1,640.00",Publicity and Promotion,Arts & Leisure Services  ,1900551088,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-08,"1,800.00",Publicity and Promotion,Arts & Leisure Services  ,5100288338,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-08,"1,800.00",Publicity and Promotion,Arts & Leisure Services  ,5100288339,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-08,"1,640.00",Publicity and Promotion,Arts & Leisure Services  ,5100288341,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-08,"1,080.00",Publicity and Promotion,Arts & Leisure Services  ,5100288342,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-08,"-1,800.00",Publicity and Promotion,Arts & Leisure Services  ,5100291007,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-08,"-1,800.00",Publicity and Promotion,Arts & Leisure Services  ,5100291008,Stockport,Services to Place
Cultural & Related Services,24 DESIGN LTD,2015-09-08,"-1,640.00",Publicity and Promotion,Arts & Leisure Services  ,5100291009,Stockport,Services to Place
