DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,,,,,,
,,,,,,
QUARTERLY INFORMATION 1 JANUARY - 31 MARCH 2013,,,,,,
,,,,,,
Minister of State ,,,,,,
ALAN DUNCAN MP,,,,,,
,,,,,,
,,,,,,
,,,,,,
GIFTS GIVEN OVER £140 ,,,,,,
,,,,,,
,,,,,,
,,,,,,
Date gift given,To  ,Gift,Value (over £140) ,,,
"ALAN DUNCAN MP, Minister of State",,,,,,
None,,,,,,
,,,,,,
,,,,,,
GIFTS RECEIVED OVER £140 ,,,,,,
,,,,,,
,,,,,,
Date gift received,From  ,Gift,Value  ,Outcome,,
"ALAN DUNCAN MP, Minister of State",,,,,,
None ,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
OVERSEAS TRAVEL[1],,,,,,
,,,,,,
      ,,,,,,
"ALAN DUNCAN MP, Minister of State",,,,,,
Date(s) of trip,Destination  ,Purpose of trip,‘Scheduled’,,"Number of officials accompanying Minister, where non-scheduled travel is used   ","Total cost including travel, and accommodation of Minister only"
,,,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Chartered’ or ‘Eurostar’  ,,,
24/02/2013 -27/02/2013 ,Yemen ,To follow up on commitments made at ‘Friends of Yemen’ and progress of the National Dialogue. ,,Scheduled,None,"£3,475"
,and Abu Dhabi,To further the work on UK –UAE cooperation.,,,,
24/03/2013 -27/03/2013,Abu Dhabi and Dubai ,"For the DHIAD (Dubai International Humanitarian Aid & Development Conference & Exhibition) conference in Dubai, to meet the new Minister for Development and for the return workshop for the UK – UAE cooperation. ",,Scheduled,None,"£2,483"
,,,,,,
,,,,,,
,,,,,,
HOSPITALITY[2],,,,,,
,,,,,,
,,,,,,
,,,,,,
"ALAN DUNCAN MP, Minister of State",,,,,,
Date ,Name of organisation ,Type of Hospitality received,,,,
27/03/2013,British Airways,Flight upgrade,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES[3]",,,,,,
,,,,,,
Date of Meeting ,Name of External Organisation,Purpose of Meeting  ,,,,
"Rt Hon Alan Duncan MP, Minister of State",,,,,,
January ,Open Society Foundations,To discuss development in Burma,,,,
February ,MBI Al Jaber Foundation ,To discuss development in Yemen,,,,
February,Said Foundation,To discuss the humanitarian situation in Syria ,,,,
February,International rescue committee,To discuss the humanitarian situation in Syria,,,,
March ,Queen Elizabeth Diamond Jubilee Trust,To discuss the world of the Queen Elizabeth Diamond Jubilee Trust,,,,
March,Global Alliance for Vaccination Immunisations,To discuss GAVI priorities for 2013,,,,
March,Disasters Emergency Committee ,To welcome him to his post and to discuss the humanitarian situation in Syria,,,,
March,Islamic Development Bank president,To discuss the work of the Islamic Development Bank,,,,
March,International Advisory Panel of the World Islamic Economic Forum (WIEF).,To discuss the World Islamic Economic Forum (WIEF).,,,,
March,World Islamic Economic Forum (WIEF).,To discuss the World Islamic Economic Forum (WIEF).,,,,
,,,,,,
,,,,,,
,,,,,,
[1]* indicates if accompanied by spouse/partner or other family member or friend.,,,,,,
,,,,,,
"[2]Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined (* indicates if accompanied by spouse/partner or other family member or friend.)",,,,,,
,,,,,,
,,,,,,
"[3] Does not normally include meetings with Government bodies such as other Government Departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.   ",,,,,,
