"Table B.3: UK Gross Bilateral ODA by Sector,  1",,,,,
,,,,,£ thousands
Sector Description,2009,2010,2011,2012,2013 2
Social Infrastructure & Services:,,,,,
Education, 523 321, 486 350, 652 627, 632 140, 797 431
Health, 393 393, 452 243, 555 495, 654 090, 906 735
Population policies/programmes and reproductive health, 303 602, 333 604, 387 671, 424 524, 373 010
Water supply and sanitation, 73 183, 101 616, 106 329, 107 735, 136 358
Government & Civil Society, 761 568, 734 528, 813 835, 793 721, 670 395
Other social infrastructure and services, 204 053, 260 949, 236 178, 210 226, 310 163
Economic Infrastructure & Services:,,,,,
Transport and storage, 90 284, 115 836, 93 200, 170 427, 146 154
Communications, 47 629, 72 899, 59 768, 21 584, 2 377
Energy, 51 782, 86 461, 160 088, 291 420, 74 092
Banking and financial services,450 989,127 669, 150 657, 155 691, 97 373
Business and other services,18 010,35 806, 31 305, 30 854, 51 463
Production sectors:,,,,,
"Agriculture, forestry & Fishing",91 748,98 991, 142 044, 182 734, 141 138
"Industry, mining & construction",22 428,101 766, 99 538, 51 459, 35 803
Trade policies and regulations,47 321,135 108, 48 055, 60 298, 55 611
Tourism,807,10 497, 3 002, 1 745,962
Multi sector/ cross cutting:,,,,,
General environmental protection,360 117,577 807, 123 565, 286 360, 270 256
Other multisector,102 422,247 077, 229 610, 210 288, 301 384
Non Sector Allocable:,,,,,
General budget support,346 086,420 637, 278 966, 220 033, 135 080
Developmental food aid/food security assistance,9 224,107 001, 94 908, 65 555, 94 017
Action relating to debt,27 266,106 062, 113 914, 70 958, 7 426
Humanitarian Assistance,484 464,369 243, 439 505, 426 250, 824 135
Administrative costs of donors,254 186,237 811, 286 146, 333 254, 245 272
Support to non-governmental organisations,207 000,108 812, 263 044, 246 738, 205 176
Refugees in Donor Countries,7 355,11 700, 19 527, 28 370,-
Non Sector Allocable 3,58 665,75 278, 109 624, 47 742,1 080 731
Total UK Gross Bilateral ODA,4 936 903,5 415 753,5 498 600,5 724 194,6 962 544
 -     Nil,,,,,
"1. DFID projects can be allocated up to eight input sector codes. In this table, only the largest contributing input sector code per project is included. This is in line with OECD DAC Statistical Reporting Directives. ",,,,,
2. 2013 figures are provisional. Final ODA will be published in Statistics on International Development 2014 in October,,,,,
3. These figures include some spend from other government departments which have not yet been broken down by sector. Final data will have less 'Non Sector Allocable' ODA.,,,,,
