Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction,Amount,Additional Narrative
HMRC,VOA,16.09.13,Management of Agreement,Corporate,Capgemini UK plc.,5100002956,"£75,646.87",IT support and maintenance
HMRC,VOA,16.09.13,Business Application,Corporate,Capgemini UK plc.,5100002956,"£158,240.72",IT support and maintenance
HMRC,VOA,16.09.13,Data Centre Operations,Corporate,Capgemini UK plc.,5100002956,"£257,138.57",IT support and maintenance
HMRC,VOA,16.09.13,Desktop Services,Corporate,Capgemini UK plc.,5100002956,"£114,523.52",IT support and maintenance
HMRC,VOA,16.09.13,WAN,Corporate,Capgemini UK plc.,5100002956,"£122,688.99",IT support and maintenance
HMRC,VOA,16.09.13,Business Continuity & Disaster Recovery,Corporate,Capgemini UK plc.,5100002956,"£42,898.80",IT support and maintenance
HMRC,VOA,16.09.13,Aspire Other Costs,Corporate,Capgemini UK plc.,5100002956,"£176,997.56",IT support and maintenance
HMRC,VOA,16.09.13,I.T.-Software & Support,Corporate,Capgemini UK plc.,5100002956,"£81,826.62",IT support and maintenance
HMRC,VOA,16.09.13,Telephones-Mobile,Corporate,Capgemini UK plc.,5100002956,"£11,719.75",Telephony Charges
HMRC,VOA,16.09.13,Telephones-Landline,Corporate,Capgemini UK plc.,5100002956,"£183,445.08",Telephony Charges
HMRC,VOA,16.09.13,Asset Requisition Clearing Account,Corporate,Capgemini UK plc.,5100002956,"£8,673.20",In-house software development costs
HMRC,VOA,16.09.13,Asset Requisition Clearing Account,Corporate,Capgemini UK plc.,5100002956,"£166,764.87",In-house software development costs
HMRC,VOA,16.09.13,Input VAT (ST),Corporate,Capgemini UK plc.,5100002956,"£243,590.35",VAT
HMRC,VOA,16.09.13,Asset Requisition Clearing Account,Corporate,Capgemini UK plc.,1700000818,"(£196,152.97)",Refund of In-house software development costs
HMRC,VOA,16.09.13,Input VAT (ST),Corporate,Capgemini UK plc.,1700000818,"(£39,230.59)",VAT
HMRC,VOA,16.09.13,Aspire Other Costs,Corporate,Capgemini UK plc.,1700000819,"(£106,696.22)",Refund of IT support and maintenance
HMRC,VOA,16.09.13,Input VAT (ST),Corporate,Capgemini UK plc.,1700000819,"(£21,339.24)",VAT
HMRC,VOA,02.09.13,Rates,Corporate,City of Westminster,5100002813,"£72,013.00",Business Rates
HMRC,VOA,16.09.13,Software Licence Renewals,Corporate,COMPUTACENTER UK LTD (EDI),5100002959,"£54,326.78",Renewal of Software Licences
HMRC,VOA,16.09.13,I.T.-Software & Support,Corporate,COMPUTACENTER UK LTD (EDI),5100002959,"£11,471.02",IT support and maintenance
HMRC,VOA,16.09.13,Input VAT (ST),Corporate,COMPUTACENTER UK LTD (EDI),5100002959,£900.43,VAT
HMRC,VOA,04.09.13,Subscriptions,Corporate,EGi - Reed Business Information Limited,5100002865,"£29,003.10",Estate Gazette Subscription Fees
HMRC,VOA,04.09.13,Input VAT (ST),Corporate,EGi - Reed Business Information Limited,5100002865,£396.90,VAT
HMRC,VOA,16.09.13,Electricity,Corporate,HMRC,5100002914,"£47,892.43",Accommodation Charges
HMRC,VOA,05.09.13,STEPS PFI Unitary Charges - VAT Recoverable,Corporate,HMRC,5100002879,"£731,261.78",Accommodation Charges
HMRC,VOA,16.09.13,Accommodation rent,Corporate,HMRC,5100002904,"£472,677.33",Accommodation Charges
HMRC,VOA,16.09.13,Electricity,Corporate,HMRC,5100002904,"£87,221.44",Accommodation Charges
HMRC,VOA,16.09.13,Rates,Corporate,HMRC,5100002904,"£465,217.36",Accommodation Charges
HMRC,VOA,16.09.13,Rates,Corporate,London Borough of Enfield,5100002899,"£25,154.34",Business Rates
HMRC,VOA,16.09.13,Telephones-Landline,Corporate,MAIN-TEL (NE) LTD,5100002906,"£45,254.41",Telephony Charges
HMRC,VOA,16.09.13,Input VAT (ST),Corporate,MAIN-TEL (NE) LTD,5100002906,£619.30,VAT
HMRC,VOA,05.09.13,Major Works VAT Recoverable,Corporate,Mapeley Steps Contractor Ltd,5100002878,"£28,832.71",Accommodation Refurbishment
HMRC,VOA,05.09.13,Input VAT (ST),Corporate,Mapeley Steps Contractor Ltd,5100002878,£394.57,VAT
HMRC,VOA,16.09.13,Accommodation rent,Corporate,Planning Inspectorate,5100002905,"£75,399.07",Accommodation Charges
