RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
24,Trimmed Beans - because the product may contain small pieces of metal,Recalled,Physical contamination - presence of small pieces of metal,https://www.food.gov.uk/news-updates/news/2017/16167/morrisons-recalls-trimmed-beans-because-the-product-may-contain-small-pieces-of-metal,2017-04-20
25,Coldwater Prawns and Tiger Prawns - because the products are labelled with incorrect use by dates,Recalled,Microbiological risk - potential presence of harmful bacteria,https://www.food.gov.uk/news-updates/news/2017/16168/bleikers-smokehouse-ltd-recalls-coldwater-prawns-and-tiger-prawns-because-the-products-are-labelled-with-incorrect-use-by-dates,2017-04-21
26,Liquorice & Aniseed Mints - because the product may contain small pieces of metal,Recalled,Physical contamination - presence of small pieces of metal,https://www.food.gov.uk/news-updates/news/2017/16191/uncle-joes-liquorice-aniseed-mintsweets-recalled-may-contain-metal,2017-05-15
27,Chicken Tikka Chunks - because the product may contain small pieces of glass,Recalled,Physical contamination - presence of small pieces of glass,https://www.food.gov.uk/news-updates/news/2017/16192/spar-recalls-chicken-tikka-chunks,2017-05-15
28,Chocolate products - because of the possible presence of salmonella,Recalled,Microbiological risk - potential presence of harmful bacteria,https://www.food.gov.uk/news-updates/news/2017/16221/mars-recalls-chocolateproducts-possible-salmonella,2017-06-09
29,Organic Dark Tahini - because it contains salmonella,Recalled,Microbiological risk - potential presence of harmful bacteria,https://www.food.gov.uk/news-updates/news/2017/16249/e-e-wholesale-recalls-its-equal-exchange-organic-dark-tahini-because-it-contains-salmonella,2017-06-16
30,Two sauce kits containing milk powder from an unapproved premise,Recalled,Potentially unsafe due to risk from poor hygiene,https://www.food.gov.uk/news-updates/news/2017/16281/geeta-s-foods-ltd-recalls-two-sauce-kits,2017-06-23
31,Deli Fillers products - because of the presence of Listeria,Recalled,Microbiological risk - potential presence of harmful bacteria,https://www.food.gov.uk/news-updates/news/2017/16284/sainsbury-s-recalls-several-of-its-deli-fillers-products-due-to-the-presence-of-listeria,2017-06-26
32,Frozen meat free mince - because the products may contain blue plastic pieces,Recalled,Physical contamination - choking hazard due to pieces of plastic,https://www.food.gov.uk/news-updates/news/2017/16295/mtafoods-recalls-frozen-meat-free-mince-maycontain-plastic,2017-06-28
33,Growing Up Drink (1-3+yrs 1 litre UHT pack) - because of insufficient sterilisation,Recalled,Microbiological risk - potential presence of harmful bacteria,https://www.food.gov.uk/news-updates/news/2017/16315/alpro-recalls-its-alpro-growing-up-drink-1-3-yrs-1-litre-uht-pack,2017-06-30
