"Reference Number","Decision","Decision Date","Officer Making Decision","Reason for Decision","Alternative Options Considered","Other Background Documents"
"FV/2015/0071/","APPROVED","02/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0148/","ACCEPTED","02/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0149/","ACCEPTED","02/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0091/","APPROVED","03/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0153/","ACCEPTED","04/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0155/","ACCEPTED","04/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0162/","ACCEPTED","04/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0058/","APPCOND","05/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0172/","ACCEPTED","05/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0173/","ACCEPTED","05/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0073/","APPCOND","06/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0090/","APPROVED","09/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"RA/2015/0156/","REGULAR","09/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0182/","ACCEPTED","09/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0184/","ACCEPTED","10/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0098/","APPCOND","11/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0083/","APPCOND","12/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0190/","ACCEPTED","16/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0191/","ACCEPTED","17/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0002/","APPCOND","18/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0198/","ACCEPTED","18/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0199/","ACCEPTED","18/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0200/","ACCEPTED","18/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0119/","APPROVED","19/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"RA/2015/0196/","REGULAR","19/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0112/","APPCOND","20/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"RA/2015/0157/","REGULAR","20/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"RA/2015/0160/","REGULAR","20/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0206/","ACCEPTED","20/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0049/","APPCOND","23/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0141/","APPROVED","23/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0207/","ACCEPTED","23/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0210/","ACCEPTED","23/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0079/","APPCOND","24/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0080/","APPCOND","24/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0065/","APPCOND","25/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0220/","ACCEPTED","25/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0230/","ACCEPTED","30/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0221/","ACCEPTED","30/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0118/","APPROVED","31/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2015/0242/","ACCEPTED","31/03/2015","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
