Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/03/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,36508,534699.53
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/03/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,36511,3439553.51
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/03/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,36513,518678.67
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/03/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,36514,249495.83
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/03/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,39011,285792.2
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/03/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,39016,2135792.79
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/03/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,39017,227003.29
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/03/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,39019,134155.07
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/03/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,40983,285792.2
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/03/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,40984,285792.2
