OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_24,,Whitechapel Station & surrounding land/buildings,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/9134df58dd764bcdbe18ebd645b7584a/data,OSGB36,534628.69,181843.03,0.97,unknown ownership,,not permissioned,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_08,,Aspen Way,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/fb1a62b3b5434eef97f67a0cdf34a818/data,OSGB36,537825.44,180670.72,4.61,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_10,,Limeharbour,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/d7a5436c3368412a9ae851225b2593c9/data,OSGB36,537950,179649.84,5.25,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_11,,Marsh Wall East,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/f3530a792653414fb0839b2db2c99c67/data,OSGB36,538015.31,179805.58,3.61,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_12,,Marsh Wall West,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/1884400783184544b57cf4b0ecf9f5ce/data,OSGB36,537416.75,179883.53,6.83,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_14,,Millharbour,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/f09fce102d724a85a4990d0ad487ba87/data,OSGB36,537549.5,179701.94,5.05,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_09,,Crossharbour Town Centre,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/d0c760ece8434c3e80e996f1c68aba0b/data,OSGB36,538030.94,179146.75,6.16,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_16,,Westferry Printworks,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/47401c2194ab4f9cb69329f052634e06/data,OSGB36,537388.75,179204.88,6.4,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_13,,Millharbour South,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/189ea61c9b5d44fca003722c64cf2c66/data,OSGB36,537640.44,179295.19,4.02,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_06,,Ailsa Street,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/9e9d5c85280e4eaeae7c0cae8f96a41f/data,OSGB36,538312.06,181772.84,5.76,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_07,,Leven Road Gas Works,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/30c690c4bf9c4d189b538a3f998df975/data,OSGB36,538692.63,181574.88,8.56,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_02,,Marian Place Gas Works and The Oval,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/337cf80182f244be8f28857022df048b/data,OSGB36,534647.5,183378.42,4.41,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_03,,Whitechapel South,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/9912b472d62640b8bb04ed7eaccb06d3/data,OSGB36,534743.19,181632.56,12.72,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_04,,Bow Common Gas Works,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/ce1e5fa2dbe14277886293c998ff7702/data,OSGB36,537120.94,182067.42,3.94,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_05,,Chrisp Street Town Centre,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/6ddccb99b65049259b058a6eef5c0423/data,OSGB36,537854.63,181156.16,3.92,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_01,,Bishopsgate Goods Yard,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/b4203577e33540a18584fecb304bc58a/data,OSGB36,533667.75,182211.92,4.46,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_15,,Reuters LTD,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/e0366a585acb4f78a73bfef1e4597eb5/data,OSGB36,538680.56,180633.33,2.71,unknown ownership,,pending decision,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_25,,"Boatmans House, 2 Selsdon Way, London, E14 9LA",http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/c50b8796d06946c39ebd396120237c55/data,OSGB36,537830.69,179263.14,0.11,unknown ownership,,not permissioned,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_26,,82 West India Dock Road incorporating land to east ,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/817e61684e884d4cbf2eaf6cc51467a4/data,OSGB36,537114.25,180797.23,1.58,unknown ownership,,not permissioned,,,,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_23,,Stroudley Walk Market Stroudley Walk,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/5f08ce3723d948c7bf4254476b63abcb/data,OSGB36,537653.44,182766.66,0.86,unknown ownership,,permissioned,outline planning permission,2015-03-31,https://development.towerhamlets.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_94593,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_21,,Site At land adjacent railway viaduct Mantus Road,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/86147242200b4bf4a49927dd948dd15d/data,OSGB36,535221.75,182448.55,0.28,unknown ownership,,permissioned,full planning permission,2016-04-01,https://development.towerhamlets.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_103280,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_22,,Glaucus Street/Violet Road,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/046fca33f5824f7a9debd61eff37c369/data,OSGB36,537644,181948.16,0.18,unknown ownership,,permissioned,full planning permission,2013-08-15,https://development.towerhamlets.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_104104,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_20,,Land at Fleet Street Hill,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/5f26298e7e36417cbd93cef77546c431/data,OSGB36,534065.5,182218.48,0.4,unknown ownership,,permissioned,full planning permission,2014-03-19,https://development.towerhamlets.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_106905,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_19,,"Hercules Wharf, Castle Wharf and Union Wharf Orchard Place",http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/b801bc1602994b2b824e4eef60261421/data,OSGB36,539381.56,180781.22,2.57,unknown ownership,,permissioned,full planning permission,2016-09-22,https://development.towerhamlets.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_112505,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_17,,42-44 Thomas Road,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/236bc694f9334952933377e046ecdd3b/data,OSGB36,537067.94,181431.7,0.31,unknown ownership,,permissioned,full planning permission,2017-07-28,https://development.towerhamlets.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_117624,,5,,,,,,,,,2017-11-27,2017-11-27
http://opendatacommunities.org/id/london-borough-council/tower-hamlets,London Borough of Tower Hamlets,BR_LBTH_18,,Old petrol station Leamouth Road,http://towerhamlets.maps.arcgis.com/sharing/rest/content/items/5d4713cb387f49529d34e0880a91efb6/data,OSGB36,538958.75,181077.75,0.32,unknown ownership,,permissioned,full planning permission,2017-10-17,https://development.towerhamlets.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_123483,,5,,,,,,,,,2017-11-27,2017-11-27
