Newcastle City Council Invoices over £250 paid in December 2016,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,13-Dec-2016,14 EIGHTH ROW,7095717,Revenue,1MH20,Residential Care PD,9800.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,13-Dec-2016,18 SEA VIEW VILLAS,7095665,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,14-Dec-2016,20-20 VISION SYSTEMS LTD,7097587,Revenue,1DR03,Grainger Market,1922.15
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,13-Dec-2016,A SIGNIFICANT OTHER LTD,7095527,Revenue,1MC02,Ind Sector Placements,43642.86
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,12-Dec-2016,A&J KEITH LTD,7094796,Revenue,1KVWC,Minor Works Contracts,52620.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,15-Dec-2016,A&J KEITH LTD,7098793,Revenue,1KVWC,Minor Works Contracts,3000.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,05-Dec-2016,A&J KEITH LTD,7088107,Revenue,1KVWC,Minor Works Contracts,24247.35
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,14-Dec-2016,A&J KEITH LTD,7097635,Revenue,1KBRM,Sub Contractors R & M,37819.59
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,14-Dec-2016,A&J KEITH LTD,7097634,Revenue,1KBRM,Sub Contractors R & M,111098.41
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,14-Dec-2016,A&J KEITH LTD,7097633,Revenue,1KBRM,Sub Contractors R & M,30855.55
Environment & Regeneration,NS: Repairs & Maintenance  ,Revenue Expenditure,14-Dec-2016,A&J KEITH LTD,7097638,Revenue,1KR21,M&E Gas Servicing,1440.00
Environment & Regeneration,Cityworks Parks & C/side   ,Revenue Expenditure,20-Dec-2016,A&S LOCKSMITHS,7072859,Revenue,1KL6D,General Expenditure - West,349.83
Environment & Regeneration,Cityworks Rangers          ,Revenue Expenditure,07-Dec-2016,A&S LOCKSMITHS,7068952,Revenue,1KL6F,General Expenditure - East,1340.20
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,08-Dec-2016,A&S LOCKSMITHS,7092158,Revenue,1DY54,Blackfriars,347.20
Environment & Regeneration,NS: City Transport         ,Revenue Expenditure,23-Dec-2016,AA BUSINESS SERVICES,7101587,Revenue,1KENB,Fleet Workshops OH,2982.00
Environment & Regeneration,Fleet Management System                ,Revenue Expenditure,30-Dec-2016,AAA CHEMICALS LTD,7111384,Revenue,3KES1,Fleetmaster Stores Account,484.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,22-Dec-2016,ABBEYFIELD CASTLE FARM,7106449,Revenue,1MG20,Residential Care OP,4283.36
Adult and Culture,Social Services-Carefirst              ,Revenue Income,22-Dec-2016,ABBEYFIELD CASTLE FARM,7106449,Revenue,1MG20,Residential Care OP,-1018.60
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,22-Dec-2016,ABBEYMOOR,7106450,Revenue,1MG10,Nursing Care OP,3025.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,22-Dec-2016,ABBEYMOOR,7106450,Revenue,1MH10,Nursing Care PD,3473.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,22-Dec-2016,ABBEYMOOR,7106450,Revenue,1MK10,Nursing Care LD,2848.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,22-Dec-2016,ABBEYMOOR,7106450,Revenue,1MM10,Nursing Care MH,10208.00
