Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Inc VAT where appropriate,VAT Paid,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,01/09/2014,Crown Court Graduated Fee Scheme,Central Fraud Group,Fenhalls Mark ,1442204,"29,267.76",Y,7501382250,WC2R 3AS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/09/2014,Computer Services,Business Information Sys Dir,Midland HR Nottingham,290814,"28,655.45",,chaps payment,NG11 6LL,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,01/09/2014,Crown Court Very High Cost Cases,"Welfare, Rural and Health Prosecutions Division",Thacker James ,1442150,"31,857.86",Y,7605379697,EC4A 3DG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,01/09/2014,Crown Court Very High Cost Cases,London,Wilding Lisa ,1441986,"27,215.00",Y,6250378890,EC4A 1JQ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,02/09/2014,Crown Court Graduated Fee Scheme,South West Area,Bartlett David Alan ,1442646,"52,715.74",Y,5214367319,EC4Y 7EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,02/09/2014,Crown Court Very High Cost Cases,London,Dummett Emily ,1442582,"44,310.00",Y,6250372763,EC4Y 7BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,02/09/2014,Crown Court Very High Cost Cases,London,Lewis Alex ,1442656,"31,006.50",Y,6250371702,EC4Y 7BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,03/09/2014,Crown Court Very High Cost Cases,Central Fraud Group,Miskin Charles ,1443139,"33,466.50",Y,7503383856,WC2R 3AA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/09/2014,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,3441639728,"19,981.60",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/09/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,3441639728,"27,107.00",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/09/2014,Rent,Corporate,DTZ Debenham Tie Leung,3441639728,"1,625.00",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/09/2014,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5035705,"4,933.42",,NC01381448,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,04/09/2014,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5035705,"32,490.54",,NC01381218,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/09/2014,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5035705,"14,800.24",,NC01381448,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/09/2014,Facilities Management,Corporate,Europa Facilities Management Ltd Manchester,5035705,"11,360.06",,NC01381448,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,04/09/2014,Facilities Management,Corporate,Europa Facilities Management Ltd Manchester,5035705,"34,080.18",,NC01381448,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/09/2014,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5035705,"11,696.29",,NC01381448,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,04/09/2014,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5035705,"68,757.00",,NC01381218,ML1 1RU,Not available,Not available,Not available,Programme
