Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,29/06/2016,Entertainment,IT Directorate,Amazon UK Marketplace,H57720160701nbicbqmii,11.19,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,29/06/2016,Entertainment,IT Directorate,Amazon UK Marketplace,H57720160701nhwodigiu,8.21,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,29/06/2016,Entertainment,IT Directorate,Amazon UK Marketplace,H57720160701uhverzigk,14.85,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,17/06/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Marketplace,H57720160621jwmfbdqrf,-6.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,15/06/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Retail,H57720160617rvpciwtwr,194.58,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,15/06/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Marketplace,H57720160617xundxdzmx,18.49,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,14/06/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Marketplace,H57720160616aqxdcgevo,19.05,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,14/06/2016,Network and infrastructure H/W,IT Directorate,Amazon UK Marketplace,H57720160616cmscowfco,62.18,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,17/06/2016, 2 Minute Smile,People Places & Serv Direct,Amazon UK Retail,H57720160621taqvtiedh,20.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,08/06/2016, 2 Minute Smile,People Places & Serv Direct,Tesco-Stores 6459,H57720160610myqewrjug,5.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,06/06/2016, 2 Minute Smile,People Places & Serv Direct,W M Morrison Plc,H57720160608hbvlhzbzv,9.88,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,27/06/2016,Entertainment,People Places & Serv Direct,Marksandspencer.Co,H57720160629qmeheibha,53.69,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,29/06/2016,Books,People Places & Serv Direct,Amazon UK Marketplace,H57720160701fmstpnlmc,3.50,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,14/06/2016,Books,People Places & Serv Direct,Paypal,H57720160616smpfzqgqr,9.99,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,15/06/2016,Entertainment,People Places & Serv Direct,Sainsburys Superma,H57720160617ixciiumwd,5.30,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,14/06/2016,Design Services,Innovation Directorate,Campaignmonitor.Co,H57720160616eresonrvl,77.35,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,28/06/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160630tdahabekk,61.92,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,28/06/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160630wlwpznjfk,148.56,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,27/06/2016,Career Development Services,IT Directorate,Eb *agile Cymru 2016,H57720160629tiulsiufu,2660.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,27/06/2016,Inta Community VAT,Trade Mark Directorate,Eb *agile Cymru 2016,H57720160629tiulsiufu,532.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,27/06/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160629bdeiijehe,319.92,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,27/06/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160629dkknotvuc,291.02,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,27/06/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160629xpqvgnmit,48.35,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,22/06/2016,Books Newspaper Pub(central),Patent Directorate,Hpsl/cds,H57720160624scnabvnwi,122.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,21/06/2016,Network and infrastructure H/W,Patent Directorate,Amazon UK Retail,H57720160623fcncyrgro,111.05,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,21/06/2016,Office Stationery,Finance Directorate,Amazon Prime,H57720160623oyrhpncyk,-72.68,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,21/06/2016,Network and infrastructure H/W,Patent Directorate,Www.Connevans.Com,H57720160623pvdwhdodc,148.86,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,21/06/2016,Office Stationery,Finance Directorate,Amazon Prime,H57720160623ywwidfuph,-6.32,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,20/06/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160622bokiuevqu,272.42,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,20/06/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160622eeqtkpjrr,319.92,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,17/06/2016,Office Stationery,Finance Directorate,Amazon Prime,H57720160621fjbdfyxxp,79.00,Not Applicable,
Department for Business Energy and Industrial Strategy,Intellectual Property Office,10/06/2016,HR Services,Projects,Adband,H57720160614ektrsbtor,100.20,Not Applicable,
