Consolidated Statement of Comprehensive Net Expenditure,,,,,,
for the period ended 31 March 2013,,,,,,
£0,,,2012-13,,,2011-12
,,,,,,
,Note,Core Department,Departmental Group,,Core Department,Departmental Group
,,,,,,
Administration costs,,,,,,
Staff costs,6,"105,362","105,924",,"121,288","121,803"
Other costs,7,"168,952","169,488",,"130,017","130,500"
Income,9,"-94,514","-94,277",,"-77,127","-76,908"
,,,,,,
Programme expenditure,,,,,,
Staff costs,6,"32,756","32,756",,"31,224","31,224"
Other costs,8,"215,223","215,223",,"326,130","326,130"
Income,9,"-19,364","-19,364",,"-70,242","-70,242"
Grant in Aid to NDPBs,8,"1,432",-,,"1,107",-
Interests in Joint Ventures,9,"-5,882","-5,882",,-,-
Net Operating Costs for the period ended31 March 2013,3.1,"403,965","403,868",,"462,397","462,507"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Total expenditure,,"523,725","523,391",,"609,766","609,657"
Total income,,"-119,760","-119,523",,"-147,369","-147,150"
Net Operating Costs for the period ended 31 March 2013,,"403,965","403,868",,"462,397","462,507"
,,,,,,
,,,,,,
Other Comprehensive Net Expenditure,,,,,,
,,,,,,
Net gain on:,,,,,,
"revaluation of Property, Plant and Equipment ",,"-15,138","-15,138",,"-4,070","-4,070"
revaluation of Intangible assets ,,-852,-852,,-151,-151
,,,,,,
Interests in Joint Ventures:,,,,,,
Share of unrecognised gains,13,-185,-185,,-,-
Total Other Comprehensive Income ,,"-16,175","-16,175",,"-4,221","-4,221"
,,,,,,
,,,,,,
Total Comprehensive Expenditure for the period ended 31 March 2013,,"387,790","387,693",,"458,176","458,286"
