OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/tandridge,Tandridge District Council,CAT 041,n/a,"Maybrook House, 97 Godstone Road, Caterham, CR3 6RE",https://www.tandridge.gov.uk/Planning-and-building/Planning-strategies-and-policies/Local-Plan-2033-emerging-planning-policies/Local-Plan-2033/Housing-and-Economic-Land-Availability-Assessment-HELAA-and-Brownfield-Register,OSGB36,534328,155109,0.33,not owned by a public authority,yes,Permission granted,Prior Approval,28/04/2017,2017/488/NC,n/a,26,"Change of use from existing Class B1(a) (office) to Class C3 (dwelling), to provide 37 1xbed and 2xbed flats. ",n/a,,26,26,,http://www.cartogold.co.uk/tandridgelocalplan/,,23/10/2017,23/10/2017
http://opendatacommunities.org/id/district-council/tandridge,Tandridge District Council,CAT 044,n/a,"Land at Fern Towers, Harestone Hill, Caterham, CR3 6SL ",https://www.tandridge.gov.uk/Planning-and-building/Planning-strategies-and-policies/Local-Plan-2033-emerging-planning-policies/Local-Plan-2033/Housing-and-Economic-Land-Availability-Assessment-HELAA-and-Brownfield-Register,OSGB36,534075,154929,0.18,owned by a public authority,yes,Not permissioned,n/a,n/a,No recent relevant history,n/a,6,,n/a,,6,6,,http://www.cartogold.co.uk/tandridgelocalplan/,,23/10/2017,23/10/2017
http://opendatacommunities.org/id/district-council/tandridge,Tandridge District Council,CAT 079,n/a,"Hallmark House, 2 Timber Hill Road, Caterham, CR3 6LD",https://www.tandridge.gov.uk/Planning-and-building/Planning-strategies-and-policies/Local-Plan-2033-emerging-planning-policies/Local-Plan-2033/Housing-and-Economic-Land-Availability-Assessment-HELAA-and-Brownfield-Register,OSGB36,534273,155426,0.0166,not owned by a public authority,yes,Not permissioned,n/a,n/a,No recent relevant history,n/a,6,,n/a,,6,6,,http://www.cartogold.co.uk/tandridgelocalplan/,,23/10/2017,23/10/2017
http://opendatacommunities.org/id/district-council/tandridge,Tandridge District Council,CAT 081,n/a,"Former Coulsdon Lodge, Coulsdon Road, Caterham, CR3 5NE",https://www.tandridge.gov.uk/Planning-and-building/Planning-strategies-and-policies/Local-Plan-2033-emerging-planning-policies/Local-Plan-2033/Housing-and-Economic-Land-Availability-Assessment-HELAA-and-Brownfield-Register,OSGB36,532766,155670,0.39,not owned by a public authority,yes,Not permissioned,n/a,n/a,No recent relevant history,n/a,15,,n/a,,15,15,,http://www.cartogold.co.uk/tandridgelocalplan/,,23/10/2017,23/10/2017
http://opendatacommunities.org/id/district-council/tandridge,Tandridge District Council,GOD 021,n/a,"William Way Builders Merchants, 38-42 High Street, Godstone, RH9 8LW",https://www.tandridge.gov.uk/Planning-and-building/Planning-strategies-and-policies/Local-Plan-2033-emerging-planning-policies/Local-Plan-2033/Housing-and-Economic-Land-Availability-Assessment-HELAA-and-Brownfield-Register,OSGB36,534983,151928,0.23,not owned by a public authority,yes,Not permissioned,n/a,n/a,No recent relevant history,n/a,10,,n/a,,10,10,,http://www.cartogold.co.uk/tandridgelocalplan/,,23/10/2017,23/10/2017
http://opendatacommunities.org/id/district-council/tandridge,Tandridge District Council,OXT 016,n/a,"Oxted Gas Holder, Nursery Way, Station Road East, Oxted, RH8 0BE",https://www.tandridge.gov.uk/Planning-and-building/Planning-strategies-and-policies/Local-Plan-2033-emerging-planning-policies/Local-Plan-2033/Housing-and-Economic-Land-Availability-Assessment-HELAA-and-Brownfield-Register,OSGB36,539452,152770,0.91,not owned by a public authority,yes,Pending decision,Pending,n/a,2017/2064,n/a,60,"Demolition of gasholder. Erection of 77 apartments together with the provision of enhanced access route, landscaping and associated car parking.",n/a,,60,60,,http://www.cartogold.co.uk/tandridgelocalplan/,,23/10/2017,23/10/2017
http://opendatacommunities.org/id/district-council/tandridge,Tandridge District Council,OXT 067,n/a,"Council Depot, Warren Lane, Hurst Green, Oxted, RH8 9DB",https://www.tandridge.gov.uk/Planning-and-building/Planning-strategies-and-policies/Local-Plan-2033-emerging-planning-policies/Local-Plan-2033/Housing-and-Economic-Land-Availability-Assessment-HELAA-and-Brownfield-Register,OSGB36,540025,150278,1.21,owned by a public authority,yes,Not permissioned,n/a,n/a,No recent relevant history,n/a,50,,n/a,,50,50,,http://www.cartogold.co.uk/tandridgelocalplan/,,23/10/2017,23/10/2017
http://opendatacommunities.org/id/district-council/tandridge,Tandridge District Council,SMA 015,n/a,"Park Chesterfield, Chapel Road, Smallfield, RH6 9NW",https://www.tandridge.gov.uk/Planning-and-building/Planning-strategies-and-policies/Local-Plan-2033-emerging-planning-policies/Local-Plan-2033/Housing-and-Economic-Land-Availability-Assessment-HELAA-and-Brownfield-Register,OSGB36,531882,143298,0.54,not owned by a public authority,yes,Not permissioned,n/a,n/a,No recent relevant history,n/a,15,,n/a,,15,15,,http://www.cartogold.co.uk/tandridgelocalplan/,,23/10/2017,23/10/2017
http://opendatacommunities.org/id/district-council/tandridge,Tandridge District Council,WAR 016,n/a,"Amenity land at Edgeworth Close, Whyteleafe",https://www.tandridge.gov.uk/Planning-and-building/Planning-strategies-and-policies/Local-Plan-2033-emerging-planning-policies/Local-Plan-2033/Housing-and-Economic-Land-Availability-Assessment-HELAA-and-Brownfield-Register,OSGB36,534033,158282,0.16,owned by a public authority,yes,Not permissioned,n/a,n/a,No recent relevant history,n/a,6,,n/a,,6,6,,http://www.cartogold.co.uk/tandridgelocalplan/,,23/10/2017,23/10/2017
http://opendatacommunities.org/id/district-council/tandridge,Tandridge District Council,2015/655,n/a,"12-18 Southview Road, Warlingham CR6 9JE",https://www.tandridge.gov.uk/Planning-and-building/Planning-strategies-and-policies/Local-Plan-2033-emerging-planning-policies/Local-Plan-2033/Housing-and-Economic-Land-Availability-Assessment-HELAA-and-Brownfield-Register,OSGB36,534497,157687,0.95,not owned by a public authority,yes,Permissioned,Full Planning,02/02/2015,2015/655,no,1,Demolition of existing dwellings. Erection of 5 dwellings,n/a,,1,1,,http://www.cartogold.co.uk/tandridgelocalplan/,,23/10/2017,23/10/2017
