Department Family,Entity,Date of Payment,,Expense Area,Supplier,Transaction Number,Amount in Sterling,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,M & S Equipment,Capital,SAKURA FINETEK UK LTD,0000960549,33577.98 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0000969268,145720.97 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0000969269,79813.95 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0000969271,226424.49 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110104,SLA Central Mcr Immunology,Diagnostics & Clinical Support,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0000969689,42173.62 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,SLA Bury PCT,Women & Children,BURY PRIMARY CARE TRUST,0000969696,7275.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,SLA Bury PCT,Women & Children,BURY PRIMARY CARE TRUST,0000969696,324.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,SLA Bury PCT,Diagnostics & Clinical Support,BURY PRIMARY CARE TRUST,0000969696,51024.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,SLA Bury PCT,Diagnostics & Clinical Support,BURY PRIMARY CARE TRUST,0000969696,53799.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,SLA Bury PCT,Diagnostics & Clinical Support,BURY PRIMARY CARE TRUST,0000969696,1482.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,Consultant Recharge,Medicine,SALFORD ROYAL NHS FOUNDATION TRUST,0000972029,43582.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0000972035,30738.80 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0000972119,-33472.24,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110106,North Manchester Pharmacy,North Manchester Pharmacy,GILEAD SCIENCES LTD,0000975133,42161.35 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110106,North Manchester Pharmacy,North Manchester Pharmacy,GILEAD SCIENCES LTD,0000975134,38108.78 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110104,SLA Salford Royal Chem Path,Diagnostics & Clinical Support,SALFORD ROYAL NHS FOUNDATION TRUST,0000975915,27660.22 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110124,Specialty Registrar(ST1 & ST2),Corporate Services Other,NORTH LANCASHIRE PCT,0000975923,278044.69 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,Water & Sewerage,Estates and Facilities,UNITED UTILITIES WATER,0000976400,27399.28 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,Pacemaker Singular/Dual Chambr,Medicine,MEDTRONIC LTD,0000976897,43357.50 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110117,Non NHS Services General,Surgery,INDEPENDENT VASCULAR SERVICES LTD,0000977074,59926.80 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110117,Non NHS Services General,Surgery,INDEPENDENT VASCULAR SERVICES LTD,0000977075,-59926.81,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,Oldham Pharmacy,Oldham Pharmacy,NOVARTIS PHARMACEUTICALS UK LTD,0000977419,26832.30 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,North Manchester Pharmacy,North Manchester Pharmacy,GILEAD SCIENCES LTD,0000977603,48324.46 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,North Manchester Pharmacy,North Manchester Pharmacy,GILEAD SCIENCES LTD,0000977619,80270.13 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110117,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0000977770,75605.65 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110117,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0000977771,119411.05 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110117,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0000977772,34036.86 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110117,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0000977773,53910.06 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110131,Leased Car Expenses,Corporate Services Other,NORTHUMBRIA H'CARE NHS FOUNDATION TRUST,0000977981,25268.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0000978039,192511.03 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0000978105,297293.76 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110117,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0000978107,360979.27 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110106,Rates,Estates and Facilities,BURY MBC,0000978614,69966.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110106,Rates,Estates and Facilities,ROCHDALE METROPOLITAN BOROUGH COUNCIL,0000978615,41636.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110106,Rates,Estates and Facilities,OLDHAM M B,0000978618,82800.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110106,Rates,Estates and Facilities,MANCHESTER CITY COUNCIL,0000978619,74106.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110124,FP10 Prescriptions,Diagnostics & Clinical Support,NHS BUSINESS SERVICES AUTHORITY,0000978726,11147.66 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110124,FP10 Prescriptions,Diagnostics & Clinical Support,NHS BUSINESS SERVICES AUTHORITY,0000978726,40905.58 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110124,FP10 Prescriptions,Diagnostics & Clinical Support,NHS BUSINESS SERVICES AUTHORITY,0000978726,129.40 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110124,FP10 Prescriptions,Diagnostics & Clinical Support,NHS BUSINESS SERVICES AUTHORITY,0000978726,128.53 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110124,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0000978730,136250.37 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110131,Leased Car Expenses,Corporate Services Other,NORTHUMBRIA H'CARE NHS FOUNDATION TRUST,0000978776,70652.76 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,PACS Support & Maintenance,Corporate Services Other,CSC CHORLEY,0000978932,113937.23 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,Credit Union,Credit Union,METRO MONEYWISE,0000979016,37385.18 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,2000.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,10000.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,14030.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,33150.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,5145.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,68870.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,55550.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,4440.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,5550.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,750.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,60.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,75.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,750.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,60.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,75.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Computer Hardware & Software,Capital,NORTHGATE HR LIMITED,0000979218,7800.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Output Tax,Output Tax,NORTHGATE HR LIMITED,0000979218,12802.32 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Water & Sewerage,Estates and Facilities,UNITED UTILITIES WATER,0000979240,37261.48 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,M & S Equipment,Capital,GE MEDICAL SYSTEMS IT,0000979502,47210.70 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,M & S Equipment,Capital,GE MEDICAL SYSTEMS IT,0000979502,26377.32 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,M & S Equipment,Capital,GE MEDICAL SYSTEMS IT,0000979502,26258.65 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,Professional Fees,Capital,INTEGRATED HEALTH PROJECTS (IHP),0000979581,83514.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,Professional Fees,Capital,INTEGRATED HEALTH PROJECTS (IHP),0000979581,16998.29 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110110,Professional Fees,Capital,INTEGRATED HEALTH PROJECTS (IHP),0000979585,306049.11 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,Reagent - Abbott,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0000979708,27007.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,North Manchester Pharmacy,North Manchester Pharmacy,AAH CUSTOMER SERVICE,0000980080,309559.02 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,Oldham Pharmacy,Oldham Pharmacy,AAH CUSTOMER SERVICE,0000980086,256569.57 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,Rochdale Pharmacy,Rochdale Pharmacy,AAH CUSTOMER SERVICE,0000980090,47462.34 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,Bury Pharmacy,Bury Pharmacy,AAH CUSTOMER SERVICE,0000980093,154818.85 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,Eng Serv Contract PennineAcute,Estates and Facilities,COFELY LTD,0000980434,8520.19 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,Eng Serv Contract PennineAcute,Estates and Facilities,COFELY LTD,0000980434,17966.67 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,Output Tax,Output Tax,COFELY LTD,0000980434,1491.03 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,Pressure Relieving Equipment,Corporate Services Other,TALLEY GROUP LIMITED,0000980566,34710.71 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,Auditors Remuneration,Corporate Services Other,KPMG LLP,0000980729,40537.50 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110131,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0000980735,199459.71 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110120,North Manchester Pharmacy,North Manchester Pharmacy,ROCHE PRODUCTS LTD,0000981086,32469.22 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110131,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0000981251,79813.95 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0000981255,194210.80 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110131,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0000981260,145720.97 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110131,Computer Hardware & Software,Capital,ISOFT,0000981414,108687.50 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110131,Computer Hardware & Software,Capital,ISOFT,0000981420,108687.50 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110131,Computer Hardware & Software,Capital,ISOFT,0000981423,217375.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,Hospital Saturday Fund,Hospital Saturday Fund,HEALTHSURE GROUP LTD,0000981445,26254.40 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,UNISON,UNISON,UNISON,0000981448,28190.43 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110113,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0000981526,45567.23 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110120,North Manchester Pharmacy,North Manchester Pharmacy,GILEAD SCIENCES LTD,0000982121,92255.13 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110120,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0000984608,31705.47 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110124,Security Services,Estates and Facilities,SECURITAS SECURITY SERVICES,0000985127,57340.05 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110124,Reagent - Abbott,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0000985432,12305.24 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110124,Reagent - Abbott,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0000985432,61231.13 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110124,Reagent - Abbott,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0000985432,10967.79 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110131,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0000985657,58974.83 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110131,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0000985686,-29096.01,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110124,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0000985929,54399.75 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110124,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0000985929,1374.02 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110131,Leased Car Expenses,Corporate Services Other,NORTHUMBRIA H'CARE NHS FOUNDATION TRUST,0000985974,67824.41 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110131,Specialty Registrar(ST1 & ST2),Corporate Services Other,NORTHUMBRIA H'CARE NHS FOUNDATION TRUST,0000985975,28646.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110131,Services from NHS bodies,Corporate Services Other,NORTH LANCASHIRE PCT,0000985978,83885.00 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,North Manchester Pharmacy,North Manchester Pharmacy,HEALTHCARE AT HOME LTD,0000986463,271808.85 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Bld Contract Pennine Acute,Capital,BROWNS CONSTRUCTION GROUP LTD,0000987081,1323.30 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Bld Contract Pennine Acute,Capital,BROWNS CONSTRUCTION GROUP LTD,0000987081,30171.26 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Professional Fees,Capital,INTEGRATED HEALTH PROJECTS (IHP),0000987113,4709.23 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110127,Professional Fees,Capital,INTEGRATED HEALTH PROJECTS (IHP),0000987113,24005.61 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110131,Pacemakers,Medicine,BOSTON SCIENTIFIC LTD,0000987814,18182.18 ,
Department of Health,The Pennine Acute Hospitals NHS Trust,20110131,Pacemakers,Medicine,BOSTON SCIENTIFIC LTD,0000987814,9648.42 ,
,,,,,,,,
