Body,Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Expense Code,Extended Description,Service Code,Service Label,Service Division Label,Service Division Code
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/08/2015,144513,2508,DESIGNWORKS LTD,DES001,Communities Manager,Advertising,2086,UPDATES TO PENRITH LEAFLET,TOUPRO,Tourism Promotion,02056,Eden Tourism
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/08/2015,144607,2149.98,IDEAGEN CONTENT LTD,IDE005,Information Technology Manager,Web Services,2065,EASY SITE MAINT 15/16,INFTEC,Information Technology,00102,Information Technology
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/08/2015,144633,15000,CUMBRIA COUNTY COUNCIL,CCC002,Planning Services,Professional fees,2045,PENRITH TRANSPORT IMPROVEMENT STUDY,LOPLPO,Local Plans & Policy,03087,SP15 Local Plan
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/08/2015,143414,2810.04,PLAYDALE PLAYGROUNDS LTD,PLA007,Engineering Manager,GM External Contractors,1080,FAIRHILL/PATEGILL/GILWILLY,PARKOS,Parks and Open Spaces,02143,Play Areas
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/08/2015,144366,1717.79,VENN GROUP LIMITED,VEN003,Legal Services Manager,Agency Staff,0003,S MARLAND-FITZEL A486160,LEGSER,Legal Services,00201,Legal & Committee
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/08/2015,144103,2500,THIRTY NINE ESSEX STREET,THI004,Planning Services,Professional fees,2045,hay close wind farm,DEVCOE,Development Control & Enforcement,03010,Development Control & Enforcement
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/08/2015,144211,548.08,ENTERPRISE PROSPECTS LTD,ENT004,Legal Services Manager,Seminars,2072,REIMBURSEMENT OF EXPENSES JUNE 15,MEMDEV,Member Development & Training,01135,Member Training & Development
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/08/2015,144364,8860.42,IDOX SOFTWARE LIMITED,IDO003,Legal Services Manager,Software – maintenance,2067,LALPAC CLASSIC USER LICENCE MAINT,LICENC,Licensing,03067,Gambling Act 2005
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/08/2015,144365,1682.79,NORTHGATE PUBLIC SERVICES (UK) LTD,NOR042,Information Technology Manager,Web Services,2065,PARIS E FORMS INDEXATION,INFTEC,Information Technology,00102,Information Technology
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/08/2015,144440,3620,THIRTY NINE ESSEX STREET,THI004,Planning Services,Professional fees,2045,HAY CLOSE WIND FARM,DEVCOE,Development Control & Enforcement,03010,Development Control & Enforcement
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/08/2015,144449,1680.35,VENN GROUP LIMITED,VEN003,Legal Services Manager,Agency Staff,0003,S MARLAND FITZEL A488183,LEGSER,Legal Services,00201,Legal & Committee
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/08/2015,144499,2460.29,HEATONS OFFICE SOLUTIONS LTD,LAK004,Financial Services Manager,Furniture – office,2005,PAPER/STATIONERY/FURNITURE,CORPOR,Corporate Costs,01184,Penrith Town Council Rechargeable Costs
