Department,Merchant Name,Merchant Location,MCC,MCC Description,Net Amount,Date Posted
Communities,Amazon UK Marketplace,"800-279-6620,  ",5999,Miscellaneous and Specialty Retail Stores,17.19,16/03/2016
Communities,MAILCHIMP,"MAILCHIMP.COM, GA 30308",7399,Business Services-Not Elsewhere Classified,17.81,11/03/2016
Communities,HDEW CAMERAS,"WALLINGTON,  ",5946,Camera and Photographic Supply Stores,49,08/03/2016
DCLS,ARCO LTD,"HULL,  ",5137,"Mens, Womens, and Childerens Uniforms and Commerci",16.25,03/03/2016
Communities,ARGOS LTD,"PENRITH,  ",5310,Discount Stores,19.99,23/03/2016
Communities,WWW.TOWSURE.COM,"INTERNET,  ",5533,"Automotive Parts, Accessories Stores",36.79,07/03/2016
DCLS,SJASUPLIES,"01142387310,  ",8398,Charitable and Social Service Organizations,56.8,08/03/2016
DCLS,DISCLOSURE SCOT,"EDINBURGH,  ",9399,Government Services-Not Elsewhere Classified,75,15/03/2016
Finance,Amazon UK Retail,"AMAZON.CO.UK,  ",5969,Direct Marketers - Other,76.7,23/03/2016
Communities,GO OUTDOORS - PENRITH,"PENRITH,  ",5655,"Sports Apparel, Riding Apparel Stores",102.98,07/03/2016
Communities,WWW.GBSPORTANDLEISURE.,"INTERNET,  ",5941,Sporting Goods Stores,108,21/03/2016
Finance,MARKS&SPENCER PLC,"INTERNET,  ",5411,"Grocery Stores, Supermarkets",112.5,16/03/2016
DCLS,SJS SUPPLIES,"0114 2387320,  ",8220,"Colleges, Universities, Professional Schools, and",131.2,03/03/2016
Finance,WWW.HEADSETCO.CO.UK,"INTERNET,  ",4812,Telecommunication Equipment Including Telephone Sa,147.19,16/03/2016
Finance,ROYAL MAIL S&C,"EDINBURGH,  ",9402,Postage Stamps,315,18/03/2016
Communities,FOLDINGTABL,"44144071473,  ",5099,Durable Goods Not Elsewhere Classified,359.7,09/03/2016
Communities,WWW.BROWNFIELDBREIFING,"INTERNET,  ",2741,Miscellaneous Publishing and  Printing,427.4,15/03/2016
DCLS,A & P CHAMBERS LTD,"INVERNESS,  ",5722,Household Appliance Stores,498,17/03/2016
Communities,WWW.ROCKAWNINGS.CO.UK,"INTERNET,  ",5200,Home Supply Warehouse,1599.76,09/03/2016
Finance,WWW.MISCO.CO.UK,"0870 720 8730,  ",5045,"Computers, Computer Peripheral Equipment, Software",44.27,21/03/2016
Finance,Amazon UK Retail,"AMAZON.CO.UK,  ",5969,Direct Marketers - Other,135.15,11/03/2016
DCLS,Amazon UK Marketplace,"800-279-6620,  ",5999,Miscellaneous and Specialty Retail Stores,39.96,16/03/2016
Communities,W C F COUNTRY CTRS,"PENRITH,  ",5251,Hardware Stores,45.44,11/03/2016
DCLS,DISCLOSURE SCOT,"EDINBURGH,  ",9399,Government Services-Not Elsewhere Classified,50,07/03/2016
Communities,UNIQUECARMATS,"44175476345,  ",5533,"Automotive Parts, Accessories Stores",61.46,15/03/2016
DCLS,Amazon UK Retail,"AMAZON.CO.UK,  ",5969,Direct Marketers - Other,126.48,18/03/2016
Communities,MICHELDEVER TYRE SERVICE,"WINCHESTER,  ",5532,Automotive Tire Stores,260,11/03/2016
Communities,WWW.SCOT-PETSHOP.COM,"INTERNET,  ",5995,Pet Shops-Pet Food and Supplies,445.75,08/03/2016
Communities,HDEW CAMERAS,"WALLINGTON,  ",5946,Camera and Photographic Supply Stores,1819,01/03/2016
