"Annex: Bilateral and multilateral results by sector (DFID Results framework, Operational Plan and Multilateral results)",,,,,,
Sector: Wealth Creation,,,,,,
BILATERAL RESULTS,,,,,,
DFID Results Framework Indicators,,,,,,
Country/Region,Indicator,Indicator type **,Results achieved up to 2011-12 inclusive,Results achieved  up to 2012-13 inclusive,,
All,Number of people with access to financial services as a result of DFID support*****,Peak year,"11,650,000","30,300,000",,
,Number of people supported through DFID to improve their rights to land and property,Cummulative,"3,130,000","3,820,000",,
Operational Plan Indicators,,,,,,
Country/Region,Indicator *,Indicator type **,Results achieved (in 2011/12) ***, Results achieved (in 2012/13) ,,
Africa Regional,• Number of border crossings in Tripartite area which cut average crossing time by 30% or more,,1,1,,
Africa Regional,"
• Number of additional people benefiting directly from national and cross border value chains",Cumulative,"

1,490,000","

1,490,000",,
DRC,• Kilometres of roads rebuilt,,0,,,
DRC,"
• Number of new firms set up and number of new jobs created",Cumulative,..,..,,
Ethiopia,• Number of household incomes raised by 20 per cent or more (C) ,Cumulative,N/A,"N/A
",,
Ghana,• Number of producers accessing business services through DFID support,Cumulative,0,"2,000",,
Kenya,• Additional jobs created,,0,0,,
Liberia,• Kilometres of road rehabilitated and/or constructed,Non - standard based on measured progress,0,0,,
Malawi,• Number of additional people accessing credit through DFID support,Cumulative,0,"5,000",,
Mozambique,• Number of people supported to improve their rights to land and property,Cumulative,"90,000","30,000",,
Nigeria,• Number of poor people whose income increase by between 15% and 50%,Cumulative,0,"680,000 achieving average 7% increase;",,
Nigeria,"
• Number of people with access to formal financial services","

Final year vs baseline","

0","
                                                                                                7,100,000",,
Rwanda,• Number of clients reached through access to financial services ,,0,0,,
Rwanda,"
• Number of land parcels registered and titled ",,"
1,740,000","
450,000",,
Sierra Leone,• Number of jobs created ,Cumulative,0,..,,
Somalia,• Additional Number of Jobs Created ,,0,"60,000",,
Southern Africa ****,,Cumulative,,,,
Southern Africa ****,"• Number of new jobs created or saved, including jobs for women (N)",Final Year,..,,,
Southern Africa ****,• Number of additional people receiving loan finance and/or micro insurance (N),Cumulative,..,,,
Southern Africa ****,"• Number of border crossings in tripartite area which cut average crossing time by 30% or more (N, R)",Peak Year,1,,,
Southern Africa ****,• Number of additional people benefiting directly from  national and cross-border value chains (R),Final Year,"1,500,000",,,
Southern Africa ****,"



• Giga-watt hours of electricity traded across new cross-border inter-connectors in the Tripartite area (R)","









","







..","50,000

10,000

1

1,500,000

..",,
Sudan,• Number of people with access to financial services as a result of DFID support.,Cumulative,5000,20000,,
Sudan,"
• Number of square kilometres of land returned to productive use through DFID support.","

","
..","

..",,
Tanzania,• Rural men and women raise their incomes,Cumulative,"20,000","140,000",,
Tanzania,"
• Additional people have access to financial services","
Cumulative","
50,000","
40,000",,
Uganda,• Average delay in completion of national roads construction contracts (attributed to DFID support) (annual),Final Year,12.2 months ,N/A,,
Uganda,"
• Number of men and women with access to financial services (fully attributed to DFID support) ","
Peak Year","
0","

40,000",,
Zambia,• Number of men and women with access to regulated financial services (attributed to DFID support),Final Year,0,"1,000",,
Zimbabwe,• Number of additional economic opportunities created,,"20,000","50,000",,
Asia Regional,• Contribute to increasing cross border electricity connectivity as a means to create a regional energy market.,,..,..,,
Asia Regional,• Cross border investment pilots led to increased cross border investment in South Asia,,..,..,,
Asia Regional,"

• Contribute to reducing the time taken for goods to cross 4 key regional border posts as a means to increase intra regional trade.",,"



..","



..",,
Bangladesh,• Increased income for selected groups,Cumulative,0,"£127,500,000 for 1.435m",,
Burma,• Number of development finance organisations that commit capital or attract private investment to Burma,,0,,,
Burma,"
• Number of women reached with access to financial services as a result of DFID support",,"

20,000","1

30,000",,
Caribbean,• Average score of Caribbean countries in the World Bank East of Doing Business Index,,0.514,0.505,,
Caribbean,"
• Number of direct jobs created with DFID’s support",,"

..","
0",,
India,"• Number of additional individuals reached with savings, credit, insurance, and number of firms reached with equity and loan guarantees as a result of DFID support (across 8 low income states)",Cumulative,,,,
