objectid,nuts118cd,nuts118nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,UKC,North East (England),417313,600358,-1.72889996,55.2970314,8675726997.68401,795456.335213437
2,UKD,North West (England),350015,506280,-2.7723701,54.44945145,14919475766.8548,1089508.20207347
3,UKE,Yorkshire and The Humber,446903,448736,-1.28711998,53.93264008,15561839133.8191,964585.735976718
4,UKF,East Midlands (England),477660,322635,-0.84966999,52.79571915,15810938908.8002,1070626.88455632
5,UKG,West Midlands (England),386294,295477,-2.2035799,52.55696869,13003737776.9054,953901.39278175
6,UKH,East of England,571074,263229,0.50414598,52.24066925,19585389965.3536,1049497.89351449
7,UKI,London,517516,178392,-0.30864,51.49227142,1594697006.53531,256347.65685167
8,UKJ,South East (England),470062,172924,-0.99311,51.4509697,19405472740.7992,1390515.71724987
9,UKK,South West (England),285015,102567,-3.63343,50.81119156,24388808688.8917,2212843.09608204
10,UKL,Wales,263406,242881,-3.99415994,52.06740952,21224771399.1947,2027615.25023432
11,UKM,Scotland,277746,700060,-3.97091007,56.1774292,80238683676.2337,17878548.8270338
12,UKN,Northern Ireland,86601,535325,-6.85481024,54.61494064,14333431706.7909,1131177.05575333
