Body Name,Service Area,Expense Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
TfGM,Transport,Vehicle Costs,01/07/2015,1200034562,"1,195.84",ALLSTAR
TfGM,Transport,Temporary Vacancy Cover,03/07/2015,5100084086,"7,000.00",MORSON INTERNATIONAL
TfGM,Transport,Sustainable Travel Grant,07/07/2015,1900041499,"5,000.00",ACTIVEWIN MEDIA LTD
TfGM,Transport,Concessionary Reimbursement,07/07/2015,1900041524,"1,404.00",COLIN REA
TfGM,Transport,Sustainable Travel Grant,07/07/2015,1900041492,"4,840.00",CONTOUR HOMES
TfGM,Transport,Capital Costs - Legal Services,07/07/2015,5100079202,"12,000.00",DAC BEACHCROFT LLP
TfGM,Transport,Property & Equipment Maintenance,07/07/2015,5100081020,"2,437.18",FES FM LTD
TfGM,Transport,Property & Equipment Maintenance,07/07/2015,5100080483,606.56,FIELDWAY GROUP
TfGM,Transport,Property & Equipment Maintenance,07/07/2015,5100080485,575.00,FIELDWAY GROUP
TfGM,Corporate Services,Human Resource Services,07/07/2015,5100081037,"9,815.00",GATENBY SANDERSON
TfGM,Transport,Concessionary Reimbursement,07/07/2015,1900041510,"1,912.00",GLENNYS GLOVER T/A MAINLINE DOLPHIN
TfGM,Transport,Property & Equipment Maintenance,07/07/2015,5100079351,"1,340.00",GR LABELS LTD
TfGM,Transport,Concessionary Reimbursement,07/07/2015,1900041512,"2,602.00",MAGNUM WHITELINE PRIVATE HIRE
TfGM,Transport,"Rent, Rates & Service Charges",07/07/2015,5100077824,"13,321.50",MANCHESTER AIRPORT PLC
TfGM,Transport,Property & Equipment Maintenance,07/07/2015,5100081042,921.75,MANCHESTER SHOPMOBILITY
TfGM,Transport,Property & Equipment Maintenance,07/07/2015,5100081043,921.75,MANCHESTER SHOPMOBILITY
TfGM,Transport,Capital costs - Light Rail Support Services,07/07/2015,5100079954,"3,600.00",MASON LTD
TfGM,Transport,Capital Costs - Planning Support Services,07/07/2015,5100080931,"2,254.74",MOTT MACDONALD LTD
TfGM,Transport,Capital Costs - Planning Support Services,07/07/2015,5100080933,"1,353.77",MOTT MACDONALD LTD
TfGM,Transport,Capital Costs - Project Support Services,07/07/2015,5100080365,"2,369.19",MPACT THALES
TfGM,Transport,Vehicle Repairs & Maintenance,07/07/2015,5100080696,"2,333.32",OPTARE LTD
TfGM,Transport,Vehicle Repairs & Maintenance,07/07/2015,5100080722,"6,435.00",OPTARE LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,07/07/2015,5100081028,"1,400.00",PWS TECHNICAL SERVICES (UK) LIMITED
TfGM,Corporate Services,Legal Services,07/07/2015,5100079809,"45,000.00",ROUTMORE T&C'S LTD
TfGM,Transport,Concessionary Reimbursement,07/07/2015,1900041519,563.00,ROYAL EXPRESS PRIVATE HIRE LTD
TfGM,Transport,Sustainable Travel Grant,07/07/2015,1900041491,"9,385.51",SALFORD ROYAL NHS FOUNDATION TRUST
TfGM,Transport,Traffic Signal Works,07/07/2015,5100080703,"31,470.52",SIEMENS PLC
TfGM,Transport,Traffic Signal Works,07/07/2015,5100081098,"(1,970.35)",SIEMENS PLC
TfGM,Transport,Security Services,07/07/2015,5100080211,431.72,SOLUTIONS SK
TfGM,Transport,Sustainable Travel Grant,07/07/2015,1900041493,"8,682.00",STOCKPORT HOMES LIMITED
TfGM,Transport,IS Software & Maintenance,07/07/2015,5100079606,"2,845.00",SYSTEMSLINK 2000 LTD
TfGM,Transport,Capital Costs - LRT Vehicles,07/07/2015,5100079943,"5,429.55",TES LTD
TfGM,Transport,Concessionary Reimbursement,07/07/2015,1900041518,"1,863.00",TRAFFORD CARS LTD
TfGM,Corporate Services,IS Consumables,07/07/2015,5100081083,700.00,ZENITEL UK LTD
TfGM,Transport,Vehicle Costs,08/07/2015,1200034643,736.78,ALLSTAR
TfGM,Corporate Services,Temporary Vacancy Cover,09/07/2015,1900042348,"9,026.99",HAYS SPECIALIST RECRUITMENT LTD
TfGM,Transport,Capital Costs - Capital Project Main Contract Works,09/07/2015,5100081208,"640,997.29",KIER CONSTRUCTION - NORTHERN
TfGM,Transport,Utilities & Energy,09/07/2015,1900041857,850.81,UNITED UTILITIES WATER PLC
TfGM,Transport,Driver Intervention Course Delivery Costs,10/07/2015,1900041555,"1,312.80",2020 FLEET TRAINING LTD
TfGM,Transport,Driver Intervention Course Delivery Costs,10/07/2015,1900041570,"1,422.20",A HOLT
TfGM,Transport,Programme and Project Management Services,10/07/2015,5100080436,"12,250.00",AECOM LTD
