Department Family,Entity,Date,Expense Type,Expense area,Supplier,Transaction Number,Amount,VAT registration Number
Department of Health,Salisbury NHS Foundation Trust,01-Sep-10,BLDG STRUCTURES MAIN CONTR,Capital Projects,ISG PEARCE LIMITED,CSI10127-6,126970.47,
Department of Health,Salisbury NHS Foundation Trust,01-Sep-10,BLDG STRUCTURES MAIN CONTR,Capital Projects,ISG PEARCE LIMITED,CSI10127-6,15033.94,
Department of Health,Salisbury NHS Foundation Trust,01-Sep-10,BLDG STRUCTURES MAIN CONTR,Capital Projects,ISG PEARCE LIMITED,CSI10127-6.1,256015,
Department of Health,Salisbury NHS Foundation Trust,01-Sep-10,BLDG STRUCTURES MAIN CONTR,Capital Projects,ISG PEARCE LIMITED,CSI10127-6.1,44802.63,
Department of Health,Salisbury NHS Foundation Trust,03-Sep-10,LAUNDRY EQUIP MATS - OTHER,Capital Projects,BROADBENT LAUNDRY SYSTEMS LTD,203762,41094.6,
Department of Health,Salisbury NHS Foundation Trust,03-Sep-10,LAUNDRY EQUIP MATS - OTHER,Capital Projects,BROADBENT LAUNDRY SYSTEMS LTD,203762,7191.56,
Department of Health,Salisbury NHS Foundation Trust,03-Sep-10,ENERGY WATER - WATER MAINS,Facilities Directorate,BWBSL,1089343458,23754.72,
Department of Health,Salisbury NHS Foundation Trust,03-Sep-10,ENERGY WATER - SEWERAGE CHARGES,Facilities Directorate,BWBSL,1089343458,10049.12,
Department of Health,Salisbury NHS Foundation Trust,03-Sep-10,ENERGY WATER - ELECTRICITY,Facilities Directorate,SOUTHERN ELECTRIC,211301983/0031,79183.94,
Department of Health,Salisbury NHS Foundation Trust,10-Sep-10,COMPUTER MAINTENANCE x,Corporate Directorate,AMICUS ITS LTD,OP/I036362,13674,
Department of Health,Salisbury NHS Foundation Trust,10-Sep-10,COMPUTER MAINTENANCE x,Corporate Directorate,AMICUS ITS LTD,OP/I036362,30069,
Department of Health,Salisbury NHS Foundation Trust,10-Sep-10,ENERGY WATER - WATER MAINS,Facilities Directorate,BWBSL,1090604776,25037.98,
