,,,,,,
Full Property Address,Current Rateable Value,Primary Liable party name,Account Mailing Address,Current Relief Type Description,Current Relief Award Start Date,Property Reference Number
"10, Lawson Street, Barrow In Furness, Cumbria, LA14 2LW",40750,Barrow Printing Co Ltd,"C/O Barrow Printing Co Ltd, 212 North Road, Preston, Lancashire,  PR1 1YP",Empty Property Rate Non-Industrial,01/05/2013,104531209511N
,,,,,,
,,,,,,
"11 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",2600,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Non-Industrial,01/04/2011,105117309130N
"1-2 & Pt 3, Lawson Street, Barrow In Furness, Cumbria, LA14 2LP",8900,Barrow Borough Council,"C/O Estates Dept, Town Hall, Duke Street, Barrow In Furness, Cumbria,  LA14 2LD",Empty Property Rate Non-Industrial,01/04/2011,105137700011N
"142, Abbey Road, Barrow In Furness, Cumbria, LA14 5AB",4650,Royal Mail Group Plc,"C/O Dtz Ltd, Vittoria House, Vittoria Walk, Cheltenham,  GL50 1TW",Empty Property Rate Non-Industrial,01/04/2011,107300101420N
,,,,,,
"164-166, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",68000,G R & M M Blackledge Plc,"9 Western Avenue, Matrix Park, Leyland, Lancashire,  PR7 7NB",Empty Property Rate Non-Industrial,13/03/2014,105117301640N
"175-177, Dalton Road, Barrow In Furness, Cumbria, LA14 1PX",50500,Zurich Assurance Ltd,"C/O Joanne Reynolds, Workman Llp, 4th Floor Minton Place, Station Road, Swindon, Sn1 1da,  ",Empty Property Rate Non-Industrial,03/04/2009,105117301750N
,,,,,,
"1st & 2nd Fs, 35, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",8200,Ladbrookes Betting & Gaming Ltd,"Ladbrokes Betting & Gaming Ltd (3331.1), Rear Of 17 Wood Street, Stratford-Upon-Avon,  CV37 6JF",Empty Property Rate Non-Industrial,01/04/2011,105111600331N
"210, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",11000,City And County Properties Ltd,"5th Floor, St John House,  2 Queen Square, Liverpool,  L1 1RH",Empty Property Rate Non-Industrial,16/06/2014,104417302100N
"211, Dalton Road, Barrow In Furness, Cumbria, LA14 1PJ",34500,Forex Investments Ltd,"C/O Pelham Associates, 90 Long Acre, London,  WC2E 9RA",Empty Property Rate Non-Industrial,28/09/2012,104417302110N
,,,,,,
"232, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",10250,Trustees Of Zimmer Trust,"Minerva House, Port Road Business Park, Carlisle,  CA2 7AF",Empty Property Rate Non-Industrial,16/06/2013,104417302320N
"27, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",60000,Blackmill Trading Ltd,"Metro House 57 Pepper Road , Hunslet , Leeds ,  LS10 2RU",Empty Property Rate Non-Industrial,13/02/2013,105154000270N
"2nd Flr, 104, Duke Street, Barrow In Furness, Cumbria, LA14 1LP",3200,Hsbc Bank Plc,"C/O Cb Richard Ellis, Fao Ap Rates Team, Cornwall Court, 4th Floor, 19 Cornwall Street, Birmingham,  B3 2DT",Empty Property Rate Non-Industrial,01/04/2011,104519509710N
