Department family,Entity,Date,Expense Type,Expense area,Supplier,Purchase invoice number,AP Amount (œ)
Department of Health,NHS Oldham CCG,31/05/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,ASSURA BLACKPOOL LLP,153,"31,990.00"
Department of Health,NHS Oldham CCG,31/05/2013,Hcare Srv Rec NHS Trust,MENTAL HEALTH CONTRACTS,MANCHESTER MENTAL HEALTH AND SOCIAL CARE TRUST,5110000002,"31,573.23"
Department of Health,NHS Oldham CCG,31/05/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,11382,"251,359.50"
Department of Health,NHS Oldham CCG,31/05/2013,Clinical&Medical-Othe Public Sector,COMMISSIONING SCHEMES,PENNINE MSK,515,"396,447.25"
Department of Health,NHS Oldham CCG,31/05/2013,Clinical&Medical-Othe Public Sector,COMMISSIONING SCHEMES,PENNINE MSK,505,"396,447.25"
Department of Health,NHS Oldham CCG,31/05/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,NORTH WEST AMBULANCE SERVICE NHS TRUST,4110000366,"522,825.00"
Department of Health,NHS Oldham CCG,31/05/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,40040735,"65,916.00"
Department of Health,NHS Oldham CCG,31/05/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,2110000532,"54,843.00"
Department of Health,NHS Oldham CCG,31/05/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,97760,"8,630,059.00"
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,RISK MANAGEMENT,NHS GREATER MANCHESTER CSU,7300000019,"3,810.00"
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,PROGRAMME PROJECTS,NHS GREATER MANCHESTER CSU,7300000019,"24,895.00"
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,PROCUREMENT,NHS GREATER MANCHESTER CSU,7300000019,"6,929.00"
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,PATIENT AND PUBLIC INVOLVEMENT,NHS GREATER MANCHESTER CSU,7300000019,"4,702.00"
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,NON RECURRENT PROGRAMMES,NHS GREATER MANCHESTER CSU,7300000019,"30,133.00"
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS GREATER MANCHESTER CSU,7300000019,"38,850.00"
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,MEDICINES MANAGEMENT,NHS GREATER MANCHESTER CSU,7300000019,"5,439.00"
Department of Health,NHS Oldham CCG,31/05/2013,Charges from CSU,IM&T PROJECTS,NHS GREATER MANCHESTER CSU,7300000019,"14,523.00"
