CPS outcomes by principal offence category fordshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,161,75.2%,53,24.8%
C Sexual Offences,20,90.9%,2,9.1%
D Burglary,33,97.1%,1,2.9%
E Robbery,9,69.2%,4,30.8%
F Theft And Handling,216,94.3%,13,5.7%
G Fraud And Forgery,8,61.5%,5,38.5%
H Criminal Damage,47,75.8%,15,24.2%
I Drugs Offences,51,91.1%,5,8.9%
J Public Order Offences,97,85.1%,17,14.9%
K All Other Offences (excluding Motoring),34,89.5%,4,10.5%
L Motoring Offences,399,92.6%,32,7.4%
Admin Finalisations,0,0.0%,13,100.0%
TOTAL,"1,075",86.8%,164,13.2%
