,,,,Plymouth,South West,England
,,,,Unitary Authority,Region,Country
All Usual Residents,Count,Persons,Mar-11,256384,5288935,53012456
Christian,Count,Persons,Mar-11,148917,3194066,31479876
Christian,Percentage,Persons,Mar-11,58.1,60.4,59.4
Buddhist,Count,Persons,Mar-11,881,19730,238626
Buddhist,Percentage,Persons,Mar-11,0.3,0.4,0.5
Hindu,Count,Persons,Mar-11,567,16324,806199
Hindu,Percentage,Persons,Mar-11,0.2,0.3,1.5
Jewish,Count,Persons,Mar-11,168,6365,261282
Jewish,Percentage,Persons,Mar-11,0.1,0.1,0.5
Muslim,Count,Persons,Mar-11,2078,51228,2660116
Muslim,Percentage,Persons,Mar-11,0.8,1,5
Sikh,Count,Persons,Mar-11,89,5892,420196
Sikh,Percentage,Persons,Mar-11,0,0.1,0.8
Other Religion,Count,Persons,Mar-11,1198,29279,227825
Other Religion,Percentage,Persons,Mar-11,0.5,0.6,0.4
No Religion,Count,Persons,Mar-11,84295,1549201,13114232
No Religion,Percentage,Persons,Mar-11,32.9,29.3,24.7
Religion Not Stated,Count,Persons,Mar-11,18191,416850,3804104
Religion Not Stated,Percentage,Persons,Mar-11,7.1,7.9,7.2
"Religion, 2011 (KS209EW), Mar11",LastUpdated,30-Jan-13,,,,
"Religion, 2011 (KS209EW), Mar11",Source,Office for National Statistics,,,,
Religion (KS209EW),National Statistics,,,,,
"This material is Crown Copyright. You may re-use this information (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence. To view this licence, visit www.nationalarchives.gov.uk/doc/open-government-licence Information Policy Team, The National Archives, Kew, London TW9 4DU, or email:psi@nationalarchives.gsi.gov.uk. When reproducing this material, the source should be acknowledged.",,,,,,
