objectid,nuts118cd,nuts118nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,UKC,North East (England),417313,600358,-1.72889996,55.2970314,8598029141.22229,815363.086915457
2,UKD,North West (England),350015,506280,-2.7723701,54.44945145,14157085080.4171,1538688.75613303
3,UKE,Yorkshire and The Humber,446903,448736,-1.28711998,53.93264008,15414664034.8998,1068961.81025707
4,UKF,East Midlands (England),477660,322635,-0.84966999,52.79571915,15646058322.0611,1043812.17701472
5,UKG,West Midlands (England),386294,295477,-2.2035799,52.55696869,13005198027.6385,833463.855207103
6,UKH,East of England,571074,263229,0.50414598,52.24066925,19130719318.6451,1763807.15039678
7,UKI,London,517516,178392,-0.30864,51.49227142,1577824595.83742,316967.004968493
8,UKJ,South East (England),470062,172924,-0.99311,51.4509697,19096408533.6556,1794385.90011782
9,UKK,South West (England),285015,102567,-3.63343,50.81119156,23857339478.8736,2422733.4939501
10,UKL,Wales,263406,242881,-3.99415994,52.06740952,20780815794.9941,2139972.32976223
11,UKM,Scotland,277746,700060,-3.97091007,56.1774292,78700818541.4154,12544109.2759239
12,UKN,Northern Ireland,86601,535325,-6.85481024,54.61494064,14337934947.0607,899328.599468691
