A3131,,,,,,,,,,Expenditure Over Threshold,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
RUN AT 5/22/2013 2:49:24 PM,,,,,,,,,,,,,,,,,,,,,,,,
Department family,Entity,Expense area,Expense Type,Supplier,Transaction number,Date,AP Amount (£),VAT registration number,,,,,,,,,,,,,,,,
Department of Health,NHS Hull CCG,Services From Local Authorities,COMMUNITY SERVICES,HULL CITY COUNCIL,1000183149,30/11/2013,28563.32,,,,,,,,,,,,,,25/10/2013,27/11/2013,BACS Transfer,33
Department of Health,NHS Hull CCG,Charges from CSU,PROGRAMME PROJECTS,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100403,30/11/2013,53921,,,,,,,,,,,,,,04/11/2013,13/11/2013,NHS and Inter-Govt Book Transfers,9
Department of Health,NHS Hull CCG,Charges from CSU,FINANCE,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100429,30/11/2013,323431,,,,,,,,,,,,,41592,14/11/2013,15/11/2013,NHS and Inter-Govt Book Transfers,1
Department of Health,NHS Hull CCG,Clinical&Medical-Serv Recd-CCGs,COMMUNITY SERVICES,NHS GREATER HUDDERSFIELD CCG,7015100174,30/11/2013,140065.92,,,,,,,,,,,,,,30/10/2013,06/11/2013,NHS and Inter-Govt Book Transfers,7
Department of Health,NHS Hull CCG,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210005204,30/11/2013,14183333.33,,,,,,,,,,,,,,23/10/2013,01/11/2013,NHS and Inter-Govt Book Transfers,9
Department of Health,NHS Hull CCG,Hcare Srv Rec Fdtn Trust-Non Contract,ACUTE COMMISSIONING,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400003054,30/11/2013,30809,,,,,,,,,,,,,,31/10/2013,13/11/2013,NHS and Inter-Govt Book Transfers,13
Department of Health,NHS Hull CCG,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,417972,30/11/2013,120961.29,,,,,,,,,,,,,41579,01/11/2013,15/11/2013,NHS and Inter-Govt Book Transfers,14
Department of Health,NHS Hull CCG,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,PP1010000966,30/11/2013,3009094.01,,,,,,,,,,,,,,20/11/2013,15/11/2013,NHS and Inter-Govt Book Transfers,-5
Department of Health,NHS Hull CCG,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,PP2810001838,30/11/2013,96490,,,,,,,,,,,,,,20/11/2013,15/11/2013,NHS and Inter-Govt Book Transfers,-5
Department of Health,NHS Hull CCG,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,PP2810001880,30/11/2013,769192,,,,,,,,,,,,,,20/11/2013,15/11/2013,NHS and Inter-Govt Book Transfers,-5
