Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount 
Department of Health,Warrington PCT,40756,Commercial Sector,Community Ultrasound,KLEYN HEALTHCARE LTD,13355069,"£33,687.00"
Department of Health,Warrington PCT,40756,Commercial Sector,Psychological Therapies,MENTAL HEALTH MATTERS,13345670,"£101,703.41"
Department of Health,Warrington PCT,40780,Commercial Sector,Psychological Therapies,MENTAL HEALTH MATTERS,13484035,"£101,703.41"
Department of Health,Warrington PCT,40756,Contract Refuse & Clinical Waste,General Medical Services - General,WESTERN CHESHIRE PCT,13337671,"£22,030.84"
Department of Health,Warrington PCT,40756,Early Retirement Provision,Balance Sheet,NHS PENSIONS AGENCY,13323006,"£45,428.61"
Department of Health,Warrington PCT,40756,Healthcare Services Received NHS Trust,Contracts - ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,13330308,"£386,348.00"
Department of Health,Warrington PCT,40770,Healthcare Services Received NHS Trust,Contracts - ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,13424592,"£239,446.00"
Department of Health,Warrington PCT,40756,Healthcare Services Received NHS Trust,Non Contract Activity,MANCHESTER MENTAL HEALTH AND SOCIAL CARE TRUST,13363294,"-£35,000.08"
Department of Health,Warrington PCT,40756,Healthcare Services Received NHS Trust,Non Contract Activity,MANCHESTER MENTAL HEALTH AND SOCIAL CARE TRUST,13363296,"-£84,013.40"
Department of Health,Warrington PCT,40756,Healthcare Services Received NHS Trust,Non Contract Activity,MANCHESTER MENTAL HEALTH AND SOCIAL CARE TRUST,13379736,"£33,538.65"
Department of Health,Warrington PCT,40756,Healthcare Services Received NHS Trust,Non Contract Activity,MANCHESTER MENTAL HEALTH AND SOCIAL CARE TRUST,13379737,"£32,624.06"
Department of Health,Warrington PCT,40770,Healthcare Services Received PCTs,Other NHS - North West Ambulance,BLACKPOOL PCT,13452046,"£395,618.00"
Department of Health,Warrington PCT,40770,Healthcare Services Received PCTs,Retinopathy - H Pressage,HALTON AND ST HELENS PCT,13445032,"£72,430.00"
Department of Health,Warrington PCT,40756,Healthcare Services Received PCTs,Specialist Commissioning,NORTH WEST SPECIALISED SERVICES COMMISSIONING TEAM,13355045,"£2,101,083.00"
Department of Health,Warrington PCT,40770,Healthcare-Foundation Trusts,Contracts - 5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,13452034,"£1,390,349.00"
Department of Health,Warrington PCT,40756,Healthcare-Foundation Trusts,Contracts - AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13330311,"£146,473.83"
Department of Health,Warrington PCT,40756,Healthcare-Foundation Trusts,Contracts - CLATTERBRIDGE CENTRE FOR ONCOLOGY NHS FOUNDATION TRUST,CLATTERBRIDGE CENTRE FOR ONCOLOGY NHS FOUNDATION TRUST,13322975,"£392,897.00"
Department of Health,Warrington PCT,40770,Healthcare-Foundation Trusts,Contracts - CHRISTIE HOSPITAL NHS FOUNDATION TRUST,CHRISTIE HOSPITAL NHS FOUNDATION TRUST,13424551,"£33,580.00"
