Fixed,,,,,,,,,
,,,,,,,,,
Table 1,,,,,,,,,
Summary of network access & call revenues by operator (£millions),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share  (exc. EE),,,
,,,,,,,,,
Access & Calls1,,,,,,,,,
2015,8384,3703,882,3799,,44.20%,,,
2016,8518,3753,831,3935,,44.10%,,,
,,,,,,,,,
2016 Q3,"2,135",959,207,969,,44.90%,,,
2016 Q4,2133,940,205,988,,44.10%,,,
2017 Q1,"2,119",924,203,992,,43.60%,,,
2017 Q2,"2,112",920,195,998,,43.50%,,,
2017 Q3,"2,097",909,195,994,,43.30%,,,
,,,,,,,,,
Access,,,,,,,,,
2015,6012,2469,660,2883,,41.10%,,,
2016,6356,2542,650,3164,,40.00%,,,
,,,,,,,,,
2016 Q3,"1,594",649,162,782,,40.70%,,,
2016 Q4,1607,638,164,805,,39.70%,,,
2017 Q1,"1,615",632,166,818,,39.10%,,,
2017 Q2,"1,630",636,163,832,,39.00%,,,
2017 Q3,"1,624",629,161,833,,38.80%,,,
,,,,,,,,,
Calls1,,,,,,,,,
2015,2372,1234,222,915,,52.00%,,,
2016,2163,1211,180,771,,56.00%,,,
,,,,,,,,,
2016 Q3,541,309,45,187,,57.10%,,,
2016 Q4,526,303,40,183,,57.50%,,,
2017 Q1,504,292,37,174,,58.00%,,,
2017 Q2,482,284,32,166,,58.90%,,,
2017 Q3,473,279,34,161,,59.00%,,,
,,,,,,,,,
Excludes VAT; 1 Revenue figures are not intended to include subscription revenues for internet access although some element may remain.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 2,,,,,,,,,
Summary of exchange line numbers at end of quarter by operator (000's),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share  (exc. EE),,,
,,,,,,,,,
2015,33687,12818,4744,16125,,38.10%,,,
2016,33565,12387,4891,16287,,36.90%,,,
,,,,,,,,,
2016 Q3,"33,554","12,477","4,873","16,205",,37.20%,,,
2016 Q4,"33,565","12,387","4,891","16,287",,36.90%,,,
2017 Q1,33305,12238,4811,16257,,36.70%,,,
2017 Q2,"33,035","12,102","4,824","16,109",,36.60%,,,
2017 Q3,"32,808","11,976","4,829","16,003",,36.50%,,,
,,,,,,,,,
,,,,,,,,,
Table 3,,,,,,,,,
Summary of call volumes by operator (millions of minutes),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE)1,Virgin Media,Other Direct Access,Other Indirect Access,BT share  (exc. EE),,,
,,,,,,,,,
2015,73884,28389,8737,23355,13403,38.40%,,,
2016,64844,25194,7222,20151,12277,38.90%,,,
,,,,,,,,,
2016 Q3,"15,737","6,119","1,742","4,873","3,003",38.90%,,,
2016 Q4,"15,334","6,043","1,504","4,825","2,962",39.40%,,,
2017 Q1,14853,5954,1310,4592,2997,40.10%,,,
2017 Q2,"13,269","5,306","1,070","4,297","2,595",40.00%,,,
2017 Q3,"12,843","5,193","1,091","4,040","2,519",40.40%,,,
,,,,,,,,,
,,,,,,,,,
Table 4,,,,,,,,,
Summary of call revenues by call type (£millions),,,,,,,,,
,,,,,,,,,
,All calls,UK geographic calls,International calls,Calls to mobiles,Other calls1,,,,
,,,,,,,,,
2015,2372,685,215,662,810,,,,
2016,2163,625,187,529,821,,,,
,,,,,,,,,
2016 Q3,541,154,45,131,210,,,,
2016 Q4,526,153,44,123,206,,,,
2017 Q1,504,151,44,118,191,,,,
2017 Q2,482,137,39,112,194,,,,
2017 Q3,473,134,37,107,196,,,,
,,,,,,,,,
"Excludes VAT; 1 Includes freephone, special services, premium rate, directory enquiries and all other call types. Figures are not intended to include subscription revenues for internet access although some element may remain.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 5,,,,,,,,,
Summary of call volumes by call type and operator (millions of minutes),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other Direct Access,Other Indirect Access,BT share (exc. EE),,,
,,,,,,,,,
UK geographic calls,,,,,,,,,
2015,48405,19131,6651,13696,8927,39.50%,,,
2016,41927,16978,5574,11637,7738,40.50%,,,
,,,,,,,,,
2016 Q3,10033,4082,1341,2786,1824,40.70%,,,
2016 Q4,"9,946","4,075","1,155","2,837","1,879",41.00%,,,
2017 Q1,"9,576","4,017",994,"2,770","1,795",41.90%,,,
2017 Q2,8591,3630,801,2533,1627,42.30%,,,
2017 Q3,"8,267","3,513",800,"2,427","1,527",42.50%,,,
,,,,,,,,,
International calls,,,,,,,,,
2015,"4,044",789,206,"2,304",745,19.50%,,,
2016,"3,301",675,173,"1,813",640,20.40%,,,
,,,,,,,,,
2016 Q3,799,162,41,444,153,20.30%,,,
2016 Q4,735,157,36,390,152,21.40%,,,
2017 Q1,677,153,31,351,141,22.60%,,,
2017 Q2,622,140,26,336,121,22.50%,,,
2017 Q3,612,130,26,345,111,21.20%,,,
,,,,,,,,,
Calls to mobiles,,,,,,,,,
2015,7092,2703,720,1739,1930,38.10%,,,
2016,6881,2525,633,1892,1830,36.70%,,,
,,,,,,,,,
2016 Q3,1689,632,154,460,443,37.40%,,,
2016 Q4,"1,717",603,142,524,448,35.10%,,,
2017 Q1,"1,684",601,134,499,451,35.70%,,,
2017 Q2,1581,571,119,478,413,36.10%,,,
2017 Q3,"1,510",559,131,423,397,37.00%,,,
,,,,,,,,,
Other calls1,,,,,,,,,
2015,"14,343",5766,1160,5615,1801,40.20%,,,
2016,"12,735",5016,842,4809,2068,39.40%,,,
,,,,,,,,,
2016 Q3,3215,1243,206,1183,583,38.70%,,,
2016 Q4,"2,935","1,208",171,"1,074",483,41.20%,,,
2017 Q1,"2,915","1,183",151,971,610,40.60%,,,
2017 Q2,2474,965,124,950,435,39.00%,,,
2017 Q3,"2,454",991,134,845,484,40.40%,,,
,,,,,,,,,
"1 Includes freephone, special services, premium rate, directory enquiries and all other call types.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 6,,,,,,,,,
Summary of residential network access & call revenues by operator (£millions),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share (exc. EE),,,
,,,,,,,,,
Access & Calls1,,,,,,,,,
2015,6064,2514,807,2743,,41.50%,,,
2016,6179,2541,761,2878,,41.10%,,,
,,,,,,,,,
2016 Q3,1546,649,190,707,,42.00%,,,
2016 Q4,1553,643,188,722,,41.40%,,,
2017 Q1,"1,540",625,185,730,,40.60%,,,
2017 Q2,"1,561",632,179,750,,40.50%,,,
2017 Q3,1555,626,179,750,,40.20%,,,
,,,,,,,,,
Access,,,,,,,,,
2015,"4,470",1608,624,2238,,36.00%,,,
2016,"4,776",1669,612,2495,,34.90%,,,
,,,,,,,,,
2016 Q3,1193,426,153,614,,35.70%,,,
2016 Q4,1212,425,155,632,,35.00%,,,
2017 Q1,"1,225",421,157,648,,34.40%,,,
2017 Q2,"1,251",427,154,670,,34.10%,,,
2017 Q3,1251,425,153,673,,34.00%,,,
,,,,,,,,,
Calls1,,,,,,,,,
2015,"1,594",906,183,505,,56.80%,,,
2016,"1,404",872,149,382,,62.10%,,,
,,,,,,,,,
2016 Q3,354,223,37,93,,63.10%,,,
2016 Q4,341,218,33,90,,64.00%,,,
2017 Q1,315,204,29,82,,64.80%,,,
2017 Q2,310,205,26,79,,66.10%,,,
2017 Q3,304,200,26,77,,66.00%,,,
,,,,,,,,,
Excludes VAT; 1 Revenue figures are not intended to include subscription revenues for internet access although some element may remain.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 7,,,,,,,,,
Summary of residential exchange line numbers at end of quarter by operator (000's),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share (exc. EE),,,
,,,,,,,,,
2015,26097,9528,4277,12292,,36.50%,,,
2016,26482,9404,4379,12698,,35.50%,,,
,,,,,,,,,
2016 Q3,26380,9422,4429,12529,,35.70%,,,
2016 Q4,26482,9404,4379,12698,,35.50%,,,
2017 Q1,26401,9327,4390,12684,,35.30%,,,
2017 Q2,"26,297","9,259","4,414","12,624",,35.20%,,,
2017 Q3,"26,217","9,199","4,422","12,596",,35.10%,,,
,,,,,,,,,
Table 8,,,,,,,,,
Summary of residential call volumes by operator (millions of minutes),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE)1,Virgin Media,Other,,BT share (exc. EE),,,
,,,,,,,,,
2015,49925,19847,7382,22696,,39.80%,,,
2016,43277,17508,6063,19706,,40.50%,,,
,,,,,,,,,
2016 Q3,10388,4224,1461,4703,,40.70%,,,
2016 Q4,10229,4234,1238,4757,,41.40%,,,
2017 Q1,9748,4118,1030,4600,,42.20%,,,
2017 Q2,"8,642","3,632",836,"4,174",,42.00%,,,
2017 Q3,"8,299","3,557",814,"3,928",,42.90%,,,
,,,,,,,,,
,,,,,,,,,
Table 9,,,,,,,,,
Summary of residential call revenues by call type (£millions),,,,,,,,,
,,,,,,,,,
,All calls,UK geographic calls,International calls,Calls to mobiles,Other calls1,,,,
,,,,,,,,,
2015,1594,498,123,369,604,,,,
2016,1404,428,111,270,596,,,,
,,,,,,,,,
2016 Q3,354,105,27,67,155,,,,
2016 Q4,341,102,26,62,151,,,,
2017 Q1,315,98,24,58,135,,,,
2017 Q2,310,91,22,59,138,,,,
2017 Q3,304,87,21,56,139,,,,
,,,,,,,,,
"Excludes VAT; 1 Includes freephone, special services, premium rate, directory enquiries and all other call types. Figures are not intended to include subscription revenues for internet access although some element may remain.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 10,,,,,,,,,
Summary of residential call volumes by call type and operator (millions of minutes),,,,,,,,,
,,,,,,,,,
,All Operators,BT (exc. EE),Virgin Media,Other,,BT share (exc. EE),,,
,,,,,,,,,
UK geographic calls,,,,,,,,,
2015,35586,14696,5851,15039,,41.30%,,,
2016,30471,12967,4900,12604,,42.60%,,,
,,,,,,,,,
2016 Q3,7201,3091,1178,2932,,42.90%,,,
2016 Q4,7232,3129,1003,3100,,43.30%,,,
2017 Q1,6842,3046,834,2962,,44.50%,,,
2017 Q2,6109,2745,672,2692,,44.90%,,,
2017 Q3,"5,832","2,654",649,"2,529",,45.50%,,,
,,,,,,,,,
International calls,,,,,,,,,
