Dept Family,Entity,Date,Expense type,Expense Area,Supplier,Transaction Number,Amount,DESCR
DWP,HEALTH AND SAFETY EXECUTIVE,02/09/2011,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"""=0010172266""",42166.28,CARLSON300811
DWP,HEALTH AND SAFETY EXECUTIVE,02/09/2011,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"""=0010172283""",44387.41,BOOTLE - REORGANSIATION COSTS & SMALL BUILDING WORKS - APRIL 2011 TO JULY 11
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,LAW TRIBUNAL & LEGAL COSTS,HAZARDOUS INSTALLATIONS DIRECTORATE,ADDLESHAW GODDARD,"""=0010172291""",177151.29,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,LAW TRIBUNAL & LEGAL COSTS,HAZARDOUS INSTALLATIONS DIRECTORATE,ADDLESHAW GODDARD,"""=0010172292""",243467.66,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,INFOLINE,BUSINESS SERVICES DIRECTORATE,SANTIA CONSULTING LTD,"""=0010172299""",83167,INFOLINE SERVICE AUGUST 2011
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,LAW TRIBUNAL & LEGAL COSTS,HAZARDOUS INSTALLATIONS DIRECTORATE,HILL DICKINSON LLP,"""=0010172310""",44373.6,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,RATES,BUSINESS SERVICES DIRECTORATE,CROWN PROSECUTION SERVICE,"""=0010172314""",55224.1,RATES ROSE COURT 01/10/2011 - 31/12/2011
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,CROWN PROSECUTION SERVICE,"""=0010172314""",59107.69,S/C ROSE COURT 01/10/2011 - 31/12/2011
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,RENTS,BUSINESS SERVICES DIRECTORATE,CROWN PROSECUTION SERVICE,"""=0010172314""",164783.19,RENT ROSE COURT 01/10/2011 - 31/12/2011
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,EDDISONS COMMERCIAL LIMITED,"""=0010172315""",963.68,S/C CHELMSFORD 29/9/11-24/12/11
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,RENTS,BUSINESS SERVICES DIRECTORATE,EDDISONS COMMERCIAL LIMITED,"""=0010172315""",75000,RENT CHELMSFORD 29/9/11-24/12/11
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,GVA GRIMLEY,"""=0010172316""",6409,ASHFORD SERVICE CHARGE 29/9-24/12/11
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,RENTS,BUSINESS SERVICES DIRECTORATE,GVA GRIMLEY,"""=0010172316""",20475,ASHFORD RENT 29/9-24/12/11
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,RENTS,BUSINESS SERVICES DIRECTORATE,WORKMAN LLP,"""=0010172317""",36141,NORTHAMPTON RENT 29/9-24/12/11
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,OYSTER JERSEY PROPERTY FUND,"""=0010172319""",14382,BIRMINGHAM SERVICE CHARGE 29/9-24/12 - FLOOR 1
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,RENTS,BUSINESS SERVICES DIRECTORATE,OYSTER JERSEY PROPERTY FUND,"""=0010172319""",36240,BIRMINGHAM RENT 29/9/11-24/12/11 - FLOOR 1
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,OYSTER JERSEY PROPERTY FUND,"""=0010172320""",14382,BIRMINGHAM SERVICE CHARGE 29/9-24/12 - FLOOR 2
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,RENTS,BUSINESS SERVICES DIRECTORATE,OYSTER JERSEY PROPERTY FUND,"""=0010172320""",35490,BIRMINGHAM RENT 29/9/11-24/12/11 - FLOOR 2
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,OYSTER JERSEY PROPERTY FUND,"""=0010172321""",14382,BIRMINGHAM SERVICE CHARGE 29/9-24/12 - FLOOR 3
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,RENTS,BUSINESS SERVICES DIRECTORATE,OYSTER JERSEY PROPERTY FUND,"""=0010172321""",36540,BIRMINGHAM RENT 29/9/11-24/12/11 - FLOOR 3
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,OYSTER JERSEY PROPERTY FUND,"""=0010172322""",14382,BIRMINGHAM SERVICE CHARGE 29/9-24/12 - FLOOR 4
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,RENTS,BUSINESS SERVICES DIRECTORATE,OYSTER JERSEY PROPERTY FUND,"""=0010172322""",36540,BIRMINGHAM RENT 29/9/11-24/12/11 - FLOOR 4
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,SECURITY VETTING,NUCLEAR SAFETY DIRECTORATE,MINISTRY OF DEFENCE,"""=0010172328""",53088.01,SECURITY CLEARANCES JULY 2011
DWP,HEALTH AND SAFETY EXECUTIVE,06/09/2011,LICENSING CHARGES,FIELD OPERATIONS DIRECTORATE,ADVENTURE ACTIVITIES LICENCING SERVICE,"""=0010172331""",50477.82,AALA AUG 11 INV
DWP,HEALTH AND SAFETY EXECUTIVE,08/09/2011,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"""=0010172343""",50956.74,CARLSON050911
DWP,HEALTH AND SAFETY EXECUTIVE,08/09/2011,LAW TRIBUNAL & LEGAL COSTS,FIELD OPERATIONS DIRECTORATE,LESTER ALDRIDGE LLP,"""=0010172355""",17791.47,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,08/09/2011,SOLICITOR'S AGENT COSTS,FIELD OPERATIONS DIRECTORATE,LESTER ALDRIDGE LLP,"""=0010172355""",93985.2,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,08/09/2011,COUNSEL FEES,FIELD OPERATIONS DIRECTORATE,LESTER ALDRIDGE LLP,"""=0010172355""",143825.38,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,08/09/2011,IT,BUSINESS SERVICES DIRECTORATE,CABLE & WIRELESS COMMUNICATIONS,"""=0010172359""",127378.66,ICC AUGUST 2011
DWP,HEALTH AND SAFETY EXECUTIVE,13/09/2011,RATES,BUSINESS SERVICES DIRECTORATE,PLYMOUTH CITY COUNCIL,"""=0010172384""",28145,PLYMOUTH RATES 1/4/11-31/3/11
DWP,HEALTH AND SAFETY EXECUTIVE,13/09/2011,ELECTRICITY,BUSINESS SERVICES DIRECTORATE,EDF ENERGY,"""=0010172395""",36513.11,BOOTLE ELEC 1/8 - 31/8/11
