Title:,Water put into public water supply by water service companies and water supply companies:  1995/6 to 2010/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year:,1995/6 to 2010/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography:,England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units:,Ml/day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,Office of Water Services (Ofwat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/inland-water/iwfg14-drq/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Statistic:,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date:,Jun-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,"Since 2003 de-regulation of small abstractions set a threshold of 20 cubic metres per day as the value above which an abstraction licence will be required and now includes previously exempt activities such as dewatering, trickle irrigation and navigation within the licensing system. For further details see text.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a. ,Water measured at point of delivery to premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b.,"Unmetered water includes leakage from the distribution system and water used for miscellaneous purposes, such as firefighting, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"sewer cleaning, water mains flushing and temporary supplies for construction sites.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ml/day,,
,,,Metered a.,,,,,,,,,,,,,,,,Unmetered b.,,,,,,,,,,,,,,,
,,,1995/6,1996/7,1997/8,1998/9,1999/2000,2000/1,2001/2,2002/3,2003/4,2004/5,2005/6,2006/7,2007/8,2008/9,2009/10,2010-11,1995/6,1996/7,1997/8,1998/9,1999/2000,2000/1,2001/2,2002/3,2003/4,2004/5,2005/6,2006/7,2007/8,2008/9,2009/10,2010/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Service Companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglian ,,,446,505,511,536,570,586,611,602,623,639,650,684,678,683,694,717,801,752,732,651,608,585,592,588,590,573,561,519,535,524,501,520
Dwr Cymru,,,374,384,376,360,348,350,326,321,320,322,332,333,321,313,310,325,851,789,750,720,702,672,661,639,629,616,599,587,575,566,556,559
Northumbrian:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  North,,,232,227,228,223,209,212,429,417,418,426,428,418,427,400,374,367,571,572,561,553,549,538,541,523,516,503,504,492,472,465,483,484
  South,,,143,160,164,162,171,168,178,179,187,189,189,185,190,192,199,209,362,338,328,318,306,297,298,286,295,275,279,269,268,259,256,247
Severn Trent,,,588,593,598,615,629,636,642,664,674,682,670,661,659,647,655,677,"1,614","1,429","1,320","1,254","1,249","1,232","1,228","1,265","1,293","1,243","1,277","1,292","1,225","1,198",1172,1177
South West,,,130,131,133,135,142,149,159,168,191,196,203,209,212,209,217,225,375,347,312,299,289,280,286,279,268,259,247,238,223,213,204,199
Southern,,,195,192,189,193,194,200,209,206,208,209,216,220,231,237,234,239,453,439,426,408,402,389,399,394,396,381,371,336,337,322,330,341
Thames,,,599,606,645,678,776,784,789,801,833,826,821,796,828,839,834,842,"2,273","2,252","2,019","1,803","1,777","1,817","1,976","2,042","2,041","1,984","1,979","1,847","1,744","1,735",1740,1747
United Utilities,,,685,677,661,659,660,657,661,668,691,687,708,688,679,664,665,680,"1,756","1,582","1,507","1,404","1,370","1,359","1,350","1,360","1,372","1,344","1,302","1,287","1,241","1,217",1185,1164
Wessex,,,130,133,133,135,141,140,145,145,149,153,148,150,149,149,148,153,303,294,269,252,235,233,229,222,230,218,223,213,203,197,196,187
Yorkshire ,,,405,384,396,399,409,420,440,445,453,470,469,478,477,459,468,476,"1,093","1,013",942,886,874,854,868,854,843,817,826,807,803,807,817,836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Water Service Companies,,,"3,927","3,992","4,034","4,094","4,250","4,303","4,587","4,617","4,747","4,800","4,834","4,822","4,851","4,793",4799,4909,"10,452","9,807","9,167","8,548","8,363","8,257","8,426","8,452","8,473","8,213","8,168","7,888","7,624","7,502","7,441",7461
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Supply Companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bournemouth & W Hampshire,,,81,78,79,73,79,77,83,82,98,97,100,96,98,97,104,106,97,94,88,85,85,81,79,77,76,72,66,63,57,56,53,53
Bristol,,,103,98,95,99,104,105,110,111,112,108,108,108,106,101,104,106,246,239,224,214,200,195,198,192,193,190,190,186,182,183,175,173
Cambridge,,,24,26,27,28,33,35,36,37,39,40,41,41,41,42,43,45,53,50,46,42,37,36,36,36,36,35,34,32,32,32,32,32
Dee Valley,,,25,25,26,28,28,29,29,30,31,32,33,33,33,32,33,35,53,49,45,43,44,42,41,41,39,37,37,36,33,32,33,31
Folkstone & Dover,,,16,17,19,19,21,21,23,23,24,21,23,24,25,27,27,30,37,34,32,30,29,28,28,27,26,25,24,21,20,17,16,13
Portsmouth,,,49,48,46,44,45,45,48,45,47,47,46,47,49,48,52,53,139,135,131,130,135,131,132,132,139,134,133,131,130,130,129,126
South East ( inc. Mid-Kent),,,147,151,150,156,164,167,176,181,194,194,198,195,201,208,216,228,430,410,407,384,384,368,358,352,365,360,349,327,332,338,337,331
