Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,25/11/2011,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION MANAGEMENT & TECHNOLOGY,ACCENTURE PACS,3003166657,"42,542.99"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/11/2011,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1234482,"33,176.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/11/2011,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1234482,"6,635.32"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/11/2011,RENT,RESERVES AND PROVISIONS TECHNICAL,BRADFORD AND AIREDALE TEACHING PCT,19807239,"53,875.25"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/11/2011,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,13390/10,"24,237.50"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,25/11/2011,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,OP/2714865,"42,185.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/11/2011,SPECIALIST REGISTRAR,THEATRES,LEEDS TEACHING HOSPITALS NHS TRUST,365718,"32,249.05"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/11/2011,SERVICES FROM NHS TRUSTS,PROVIDER PROVIDER,LEEDS TEACHING HOSPITALS NHS TRUST,366286,"35,760.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/11/2011,SERVICES FROM NHS TRUSTS,PROVIDER PROVIDER,LEEDS TEACHING HOSPITALS NHS TRUST,366289,"44,111.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,25/11/2011,ADVERTISING AND STAFF RECRUITMENT,AGENCY STAFF,MEDACS HEALTHCARE PLC,"888100 (886267/68/69/70,886688/89,886860,885929/30","25,385.56"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,25/11/2011,ADVERTISING AND STAFF RECRUITMENT,AGENCY STAFF,MEDACS HEALTHCARE PLC,894157,"33,612.53"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,25/11/2011,ADVERTISING AND STAFF RECRUITMENT,AGENCY STAFF,MEDACS HEALTHCARE PLC,895771,"46,843.77"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,18/11/2011,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050683033,"108,000.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,18/11/2011,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050683033,"21,600.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,25/11/2011,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050684425,"10,800.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,25/11/2011,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050684425,"10,800.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,25/11/2011,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050684425,"3,500.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,25/11/2011,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050684425,"2,700.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,25/11/2011,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050684425,"2,160.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,25/11/2011,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050684425,"2,160.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,25/11/2011,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050684425,700.00
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,25/11/2011,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050684425,540.00
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,18/11/2011,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050684428,"-21,600.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,18/11/2011,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,1050684428,"-108,000.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/11/2011,BLOOD PRODUCTS,PATHOLOGY,NHS BLOOD AND TRANSPLANT,807913,"64,038.73"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/11/2011,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012106368,"71,014.40"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,04/11/2011,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012110060,"72,323.64"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,11/11/2011,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012114575,"57,659.44"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,18/11/2011,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012119307,"68,482.46"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,25/11/2011,N.H.S. CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1012123756,"56,210.57"
