Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,7219880,-4379.58,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,7222864,-1545.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,7222866,-1545.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,7222867,-1545.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,700179,87.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/12/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,701719,139.66,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,700868,208.27,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,699978,211.87,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,700857,233.69,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/12/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,701717,294.84,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,699119,295.54,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,699980,303.85,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Brook Street (UK) Ltd,30210927,305.89,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,700866,313.70,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/12/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,701715,314.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/12/2013,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003848071,350.38,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/12/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,701721,370.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/12/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,701708,377.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,700869,392.62,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,699977,395.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/12/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,699118,396.95,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/12/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,699976,403.34,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/12/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,699979,406.27,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/12/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,701720,407.81,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/12/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,700862,425.76,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,699967,430.73,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/12/2013,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,701707,441.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,700872,441.29,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,701709,446.45,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/12/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,701722,449.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,699970,450.66,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,699982,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,700856,471.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,700870,471.82,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/12/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,699113,473.77,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,699968,473.77,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,699973,473.77,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/12/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,699966,477.89,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/12/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,700855,477.89,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,699975,477.97,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/12/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,701710,479.52,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,700865,480.16,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/12/2013,Agency Staff,Copyright and IP Enforcement Directorate,Brook Street (UK) Ltd,30180476,485.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/12/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,701716,486.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/12/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,700863,491.98,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/12/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,699123,506.33,Not applicable,
