Y (Latitude),X (Longitude),Stone type,Name,Commissioned by,Location,Inscription/Notes,Interpretation/Description,Link to Image
50.5615715,-3.9769976,Leat Stones and Waterworks,PPP-LSDWC 1 †Devonport Water Company,Devonport Water Company,Bearsdown Farm area. Set in downstream parapet of acquaduct taking Devonport leat over Cowsic River near Bearsdown Farm.,DWC †Incised.Interpretation, Plymouth Dock Water Company changed its name to Devonport Water Company in 1889.,https://lh3.googleusercontent.com/proxy/KNrhck__v05e756N_FFUlxoLLgyzyNJ-yzZi_hGjDA3ZqTjDWUFZdLuVQkxjVSMxMUPXOH33UfszBjA66iw_T_dta4awPSD_xEt6A-vi4qN14lJhBSiRhf293AYpay0En3ZGv9JOMfsgpVK88GPsWstgrErBFrgRg-K5F28
50.395643,-4.137224,Leat Stones and Waterworks,PPP-LSES 1 Leat Stone†,Commissioners (E.S. Waterworks Act 1851) ,"The Drive, Hartley On private land.In garden of 33 Torr House, on patio against wall on south east side.",STONEHOUSE/LEAT/AND/BANKS/8 FEET WIDE/1593 † Incised.,,https://lh4.googleusercontent.com/proxy/sA3fikTcKv0ZGMnaA1YTDz4ODbggZyLktm9SJE4vn79fiaU8oWwK_RFX0MwQb3VEzSwq3qkQTiA7LH7USgkOb8jUKAbeSAKXC9j-PYx14LoKkMBmtShz4heJyPCJZo8XY1OzFMM3i9T-cBssJQAoGQTHM81BJ2nMNuqCGliEpPA https://lh6.googleusercontent.com/proxy/p4abiZfT94p5BIR5AiaS4k2gyo0nrpPYTOX_YIo2Bg4IyLHPeyAxWjoUVkP71KL5BmhOmRpm3JabHO83PWRzpk8gTmDIBwZ-CWEiYk61qkRhuBX9CExgFz2msBgRis9XkI1hqPz43HA81BeiqK0jYPckSXdYNXYI7o8b2lwKtBs https://lh3.googleusercontent.com/proxy/3yHWThKG5kky47CGsNpMMYHdwb1JDyuJzLKUUvP8IBj8FHHNKYK5l3K4GQfVQDIIV5Llc2Tuwxx-BeOghuXdr17_CA6N86_dejTP7Y0UeaIL9b911ss4ciblrVqUFj0xuQFOegD-uz-vkSk0aMbwvYtG9Jrq-Cwp5ictPshJcjQ
50.393485,-4.143137,Leat Stones and Waterworks,PPP-LSES 4 Leat Stone†,East Stonehouse Local Board ,"Bickham Park Road On private land.On north side of road. Set in ground and being used as a step outside 33, Bickham Park Road.",EAST/STONEHOUSE/1883 † Incised.,,https://lh6.googleusercontent.com/proxy/CtVZpF-kimkOE3q_gYUHXavnro-ANErO8nErIabXeoQbAY5C7o_QONUxs1rMuSjAbyV2LnJyEGByeX7j2ikOD48i97mLrskoH2S32-Z_aNxlYAAvbydeNYM-iCKPkn3z0tXCzW51R-q-pWVvO9MEbuqSipUklJEGcdm2j6p2-Ao https://lh6.googleusercontent.com/proxy/a8LpEgX9AFmwAydhNMBgVHuAqCNKpS8ZblbKGC3bJuOmNGLakjQTeaHZmhsAUM31lCt9zvgTtvk6cS2GRW9XiSqMVc8vP3E-yA3WEbXRl3U1xuqCMP9OeCg0wIQRlySHk1u1aX3s-iR4a2ZGYh6XeUAbrZ7cY5BSALUboIfk4iw
50.392135,-4.14566,Leat Stones and Waterworks,PPP-LSES 5 Leat Stone†,Commissioners (E.S. Waterworks Act 1851) ,"Venn Lane Approx 50 metres west of BSPCX 2, on north side against wall above drain cover.",STONEHOUSE/LEAT AND/BANKS/1593 † Incised.Interpretation, Date is not date of stone but date of leat.,https://lh4.googleusercontent.com/proxy/C07I_wmZ7EGIptc-4CdBqCUIt3d1ThUBJI7qkP80PmbcMvj3zGp6rKhzSafmyklUrMx4R2ZzTsKPkXgwkPUAV5ANU0P_AeGBkVwtJX3vTrZGJGp89cHpB3wNhtJVS39w_5UYVPE81mDrtz5Y7CpyvVF8HPFJxbj2HtxlQR1-858 https://lh6.googleusercontent.com/proxy/pAvKlUsUO9uU2S3eWuJMWXOCpDZEPwck_QMzjTm5hQTjsEChv6TJPv0okliiSQrGBIWuLrBeDbcG1zcIpCF7wFGAI4dOWuuVbsOOAjtBtrZOu7uyUXY-FpJM4a3FSsRCQm_mZGJoXuCqKSdk4hYubomaNW3iw0cKbENpzbT2VbU
50.38999,-4.14218,Leat Stones and Waterworks,PPP-LSES 6 East Stonehouse Waterworks Act Commissioners,East Stonehouse Waterworks Act Commissioners,On bank by path.at north end of Barn Park. Set back from Peverell Park Road opposite Edgecumbe Park Road.††STONEHO???/LEAT/TRIBUTAR?/STREAMS AND/BANKS/1593 † Incised., Date is date of leat not of stone .,,https://lh6.googleusercontent.com/proxy/hbv_8qAkCwsZbg74NxHpO7NtxozpKEySDkTiiscAALLdoTPApTV5bwkihkNoxVlk7lyZ8Szza1Jli6S9PVkFy62Hn3OiwATz04Bh24T14p8LWYkhSHbDDB0ufE9BoJMD2VZNIpiTI_zy_gaB5VbyX9I5NhJ44GpKfd2Nezm1uWE https://lh4.googleusercontent.com/proxy/bSay3iLmFCH9BuzbKAlrrYtF3htdg0RVkq6GJZg9cxw5yLifaK9XRy6otbYLz872LFHndDLF0mB26Vb3ZUVg1F_Xtg8n71wQAG19VmA95v_N6qe4WgsEqUawJa8bjQjuMUnuQfEZmdhcgqYrXNLfdITpj8DBIBWBZjKtl6CNLkw https://lh5.googleusercontent.com/proxy/mmxCqeW09zFYMaSMOwRG80u6xGD6h-0fmKyuVErEXInTAZRA2D39ehyNJ3fXbUALDpA-rdN5ROprYbigrkdcqAcRofn6WljV3QdC98CKRNRbMagcUUwS3Sywo23ja4FXQqBTb9OAQZ-EEQ_cRWF0bAou951O3m-UKlQzr6ztSNw
50.385137,-4.146601,Leat Stones and Waterworks,PPP-LSES 8 Leat Stone†,East Stonehouse Local Board,Ford Park Cemetery Against outside wall of Cemetery.,EAST/STONEHOUSE/1883 † Incised.,,https://lh3.googleusercontent.com/proxy/brbnnezjsOIbEvOWklQqHCnraeFIqFP-5AdVellwMAU3Neofd2Wo4HcMl33WCPxSo-QMvumOWbNaWPwOmmdGLjz02YnPnaUZKBIpYaLAsl_UAASRFlDF_bKvr1otS74AeO2dwgx2mTgEU-8c3vLKBKEuucU4mxuM0o4nUhcPaR8 https://lh5.googleusercontent.com/proxy/F4gB1ElyOKOMdoJNriWWE5HFplIePKATkHo4PqlnU_UaXt4xs5ZutQ2e5p4w2CYm4a6Xg52mrfHG3BNjCNgE12HUYLqEFce1cizwF4YHE1CB4fGwC7B65OcrQQSWGYyqkt5Emz5ZmukGUB6XXqdJVjci8vXNzp1ag4Izm6pAQA0
50.383092,-4.145523,Leat Stones and Waterworks,PPP-LSES 9 Leat Stone†,Commissioners (E.S. Waterworks Act 1851) ,Ford Park cemetery Against wall of Cemetery,STONEHOUSE/LEAT AND/BANKS/???? † Incised.Similar stones have date of leat incscribed," 1593. At survey this stone is missing its top and inscription. However, it is photographed in an earlier repaired state in David Hawkins' book - See Documentation Field.",https://lh5.googleusercontent.com/proxy/HrdcA7I79q3xBbT8YM_ytR1bZUl5e5Q3RtgV4s8F_e4byRNDvHzneWi4D45D-eAXq-J-YhNACakaKadnw6mZ54DzcycpP-SRm1kIKzbUsEh1zw4OoBRqfl5GYBLd71y1wi_vzQ5eyJi1SEP6v2xXiQoutSlv-OekowiUlIhocSA https://lh3.googleusercontent.com/proxy/meLA6q9Oxg4yzQgkJ579m8zE12RURfIyVZsV7c5OwgboEX67kDLk0z6_3LAqf7iIxuW7wzQvhlZCbhJCTACV08EfhKlA8MwAXk01VafPO6RcgJs0GAMEV9hetwpdFgSui7tHATUAMNdr5na8mhbo4psSdM67tPdAaD39QSxb5Mg https://lh6.googleusercontent.com/proxy/zlP1DPjg92HpziPKzpM8WMqycEJzPtufhHnUfEFoB4mm12fk1guUnn7t7hRdiS4kynkotH-Cz-gHmJg_ZXmk1jopMrDzAjCJMw6eV5DF6RhZWDb7_is2uQ2VHgGyDrlBsjWVFD7OFcHN4fHBwO7Yzw6aBC3nvyiprBes9V1ur2w
50.380713,-4.137399,Leat Stones and Waterworks,PPP-LSES 11 Leat Stone†,East Stonehouse Local Board ,On private land (Railtrack). Set in wall above railway embankments on north side of track where Apsley Road joins Ermington Terrace. To be seen it needs to be viewed from the other side of the track (Gordon Terrace).,EAST/STONEHOUSE/1883 † Incised.,,https://lh6.googleusercontent.com/proxy/lsqTkDy0dRkZZurFfqpCR_U3cyDxq1HMzNu8QaKHatciigPsxhaAP2rodi6Ms00MGoq_KgyjTu1Zd0KpbN-4dnkOXrdvlF0y2g5AYUSdM0HH_dTaRe1GCJsTMkjrG1-J-Tznar3TJYQ_bwwSUwF8bPQ5fVi_P1P-5t2wOPcBEnCH https://lh6.googleusercontent.com/proxy/LOAmZkQwW_89gnlGvGb8DDHZvAOBbAEHhzS81oHJEq8T292Acouaa4rthdUS6QqDGyB1GcyNUhvsMA2RCq-f6C9Tvz0Vr5tlP3Ue5heloE3JwujpW3LlKFqo-XjWMm-xMAYucRQZ3w9jnu7b4axvwUGS2pUSrTD-vw8xa1sID_90
50.375031,-4.151935,Leat Stones and Waterworks,PPP-LSES 14 Leat Stone†,Commissioners (E.S. Waterworks Act 1851) ,"In pavement against wall of ""Cornerstone"" on west side of Cecil Street",STONEHOUSE/LEAT/AND BANKS/1593 (Incised),,https://lh4.googleusercontent.com/proxy/NsqGT4yzWAs1pcqLydNHrOlWlEmgtqJ7n7NOAcDQx3Abr4AKBlnOP4XDJP8i7JzTgnAS27k8fuqgastWyXIQwvp1TAWqZnIK6Fn5ZAcFQgevy90ViWlDr0tLKfFL4M-8EVhnAxtAEfREN2jLQPmuLkt7XVgmytRzSw3WjY4HYWxv https://lh5.googleusercontent.com/proxy/h0RtVK-AazHemfhArN3MCf4t7OoskasYfsAhkT3RwN7jbMJOJcsxD5oM2XgHe6maHEFNL19Q5sMF6IIEv7uZ33-M-W8JNpU1MBpOK-ozFT2NBx2ObIDZlyUxmtrtmRyT4MyQQEGS1s_x0tKHVCNxn-akEY9hGPedXKCDoiaEI7y-
50.374085,-4.154833,Leat Stones and Waterworks,PPP-LSES 15 Leat Stone†,East Stonehouse Local Board ,"North Road West, PlymouthBy wall of 315 Clarendon Terrace (south side.",1883/EAST/STONEHOUSE/LOCAL BOARD/LEAT †Incised.,,https://lh4.googleusercontent.com/proxy/KbPYN7RKJbGB5EvI54C7iUn-JVquk2H3VgyIikd6HrIPT-2GrDz5_RmG9GFfwiko1K1e_ftMU4wEmqqba5vJOTIRe5jjo9hIVt7ZzclzrWISQtLlCFVRsVePzFb6eKBRqbFKYygmIYDm-jXIIhsclp3G8hvy0XNSto0-ba3AXEbx
