OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate,Amount,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Fire Protection,14041435,178482,A & E Fire Equipment Limited,C1107-CAH015,Building Works,12/02/2016,619.01,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Town Hall Repairs & Maintenance,14042703,180659,A & E Fire Equipment Limited,R2083-CUL112,R&M of Build - Routine,19/02/2016,943.28,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Art Gallery & Museum Repairs & Maintenance,14042709,180845,A & E Fire Equipment Limited,R2083-CUL117,R&M of Build - Routine,19/02/2016,645.64,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14042778,181104,A & E Fire Equipment Limited,R2004-FIE040,R & M of Build Programmed,26/02/2016,1784.40,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Fire Protection,14042921,181672,A & E Fire Equipment Limited,C1107-CAH015,Building Works,26/02/2016,2144.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Fire Protection,14042924,181673,A & E Fire Equipment Limited,C1107-CAH015,Building Works,26/02/2016,1206.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Fire Protection,14042925,181679,A & E Fire Equipment Limited,C1107-CAH015,Building Works,26/02/2016,536.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Fire Protection,14043032,181969,A & E Fire Equipment Limited,C1107-CAH015,Building Works,26/02/2016,4442.47,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Housing Benefit Administration,14042612,64688,Alpha Colour Printers Limited,R4300-HBA001,Printing - Services,12/02/2016,2031.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Flood Risk Management,14042831,887,Anderson Civil Engineering UK Limited,R5001-FRM101,TPP - Major External Contractors,19/02/2016,3508.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14042492,11860,Artful Limited,R4300-DEV001,Printing - Services,12/02/2016,1869.92,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14042589,11877,Artful Limited,R4317-DEV001,Non Staff Advertising,19/02/2016,1773.20,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14042818,INV303984,Attwaters Jameson Hill Solicitors,R4400-PLP101,Services - Professional Fees,19/02/2016,2723.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14042814,INV304378,Attwaters Jameson Hill Solicitors,R4400-PLP101,Services - Professional Fees,19/02/2016,14534.64,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Treasury Management,14042892,1459279,Bevan Brittan LLP,R4400-COR006,Services - Professional Fees,26/02/2016,535.71,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Business Partnership,14042764,163001-046,Blackadder Media Limited,R4411-HLD130,Consultancy Fees,26/02/2016,4290.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Debtors,14043000,INV471586,Bottomline Technologies Europe Limited (Security Print),R4300-SUP012,Printing - Services,26/02/2016,520.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Council Tax Collection,14042895,161913,Bristow & Sutor,R4406-LTC001,Bailiffs Fees,26/02/2016,1395.93,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Council Tax Collection,14042895,161913,Bristow & Sutor,R4406-LTC001,Bailiffs Fees,26/02/2016,-1395.93,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,NNDR Collection,14042894,162077,Bristow & Sutor,R4406-LTC011,Bailiffs Fees,26/02/2016,727.16,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,NNDR Collection,14042894,162077,Bristow & Sutor,R4406-LTC011,Bailiffs Fees,26/02/2016,-727.16,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Window & Door Renewals,14042936,FA 2015 007 C,Britdoors Group Limited,C1107-CAH017,Building Works,26/02/2016,6814.66,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14042715,600,C P W Daniell Limited,R4400-FIE040,Services - Professional Fees,19/02/2016,722.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Flood Risk Management,14042593,6846,CC Ground Investigations Limited,R5001-FRM101,TPP - Major External Contractors,19/02/2016,7023.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14042517,555861,Comensura Limited,R1100-CCM001,Agency Staff,12/02/2016,5746.34,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14043035,556501,Comensura Limited,R1100-CCM001,Agency Staff,26/02/2016,548.90,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14042958,556825,Comensura Limited,R1100-CCM001,Agency Staff,26/02/2016,1896.42,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14042942,566501,Comensura Limited,R1100-CCM001,Agency Staff,03/02/2016,548.90,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14042950,C26516,Cotswold Drain Service Limited,R2008-REC111,R & M of Build - Reactive Repairs,26/02/2016,630.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Flood Risk Management,14042592,C26575,Cotswold Drain Service Limited,R5001-FRM101,TPP - Major External Contractors,19/02/2016,530.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Operations,14043049,1184,D W Brookes (Resurfacing Limited),R2075-OPS002,Grounds Maintenance - Contract,26/02/2016,2940.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sheltered Housing,14042610,SI+274303D,David Phillips Furniture,C1107-CAH014,Building Works,26/02/2016,1719.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Development,14042655,311215,Deborah Jeremiah,R4401-COM001,Services - Fees and Charges,12/02/2016,750.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Built Environment,14043067,7402267920,Dell Corporation Limited,R4530-SUP040,IT - Purchase of Hardware,26/02/2016,520.00,
