CPS outcomes by principal offence category dorset,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,100.0%,0,0.0%
B Offences Against The Person,95,74.8%,32,25.2%
C Sexual Offences,7,70.0%,3,30.0%
D Burglary,11,73.3%,4,26.7%
E Robbery,1,100.0%,0,0.0%
F Theft And Handling,131,92.3%,11,7.7%
G Fraud And Forgery,9,69.2%,4,30.8%
H Criminal Damage,38,86.4%,6,13.6%
I Drugs Offences,47,100.0%,0,0.0%
J Public Order Offences,91,85.8%,15,14.2%
K All Other Offences (excluding Motoring),29,82.9%,6,17.1%
L Motoring Offences,130,81.8%,29,18.2%
Admin Finalisations,0,0.0%,15,100.0%
TOTAL,590,82.5%,125,17.5%
