CPS outcomes by principal offence category south_wales,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,302,74.6%,103,25.4%
C Sexual Offences,17,58.6%,12,41.4%
D Burglary,53,86.9%,8,13.1%
E Robbery,11,78.6%,3,21.4%
F Theft And Handling,326,94.5%,19,5.5%
G Fraud And Forgery,21,91.3%,2,8.7%
H Criminal Damage,109,90.1%,12,9.9%
I Drugs Offences,180,93.3%,13,6.7%
J Public Order Offences,245,89.4%,29,10.6%
K All Other Offences (excluding Motoring),61,85.9%,10,14.1%
L Motoring Offences,590,90.8%,60,9.2%
Admin Finalisations,0,0.0%,8,100.0%
TOTAL,"1,915",87.3%,279,12.7%
