Department family,Entity,Date Paid,Expense type,Expense area,Supplier,Transaction number,Amount
Department of Health,North Middlesex University Hospital NHS Trust,20-Oct-10,Security Services,Environmental Services,Mitie Cleaning & Support Service Ltd,365636,45897.10
Department of Health,North Middlesex University Hospital NHS Trust,20-Oct-10,Security Services,Environmental Services,Mitie Cleaning & Support Service Ltd,365642,43179.70
Department of Health,North Middlesex University Hospital NHS Trust,06-Oct-10,TSSU Contract,TSSU,Synergy Healthcare Plc,368822,43758.81
Department of Health,North Middlesex University Hospital NHS Trust,06-Oct-10,Bank Nurses,Hospital Wide,Nhs Professionals,372574,105964.62
Department of Health,North Middlesex University Hospital NHS Trust,06-Oct-10,Miscellaneous Supplies,Hospital Wide,Nhs Supply Chain,372846,53264.48
Department of Health,North Middlesex University Hospital NHS Trust,13-Oct-10,Printing and Copying,Hospital Wide,The Danwood Group Ltd,372908,55921.31
Department of Health,North Middlesex University Hospital NHS Trust,13-Oct-10,Bank Nurses,Hospital Wide,Nhs Professionals,373609,104637.04
Department of Health,North Middlesex University Hospital NHS Trust,13-Oct-10,Med Equip Maint Contracts,Equipment Maintenance,Nhs Supply Chain,373687,48034.58
Department of Health,North Middlesex University Hospital NHS Trust,06-Oct-10,Cleaning,New Hospital,City & Kent Cleaning Ltd,373880,42807.60
Department of Health,North Middlesex University Hospital NHS Trust,13-Oct-10,Miscellaneous Supplies,Hospital Wide,Nhs Supply Chain,374145,46650.34
Department of Health,North Middlesex University Hospital NHS Trust,06-Oct-10,Car Parking,Environmental Services,Mitie Cleaning & Support Service Ltd,374168,5329.12
Department of Health,North Middlesex University Hospital NHS Trust,06-Oct-10,Domestic Services,Environmental Services,Mitie Cleaning & Support Service Ltd,374168,262698.65
Department of Health,North Middlesex University Hospital NHS Trust,06-Oct-10,Help Desk,Environmental Services,Mitie Cleaning & Support Service Ltd,374168,3242.53
Department of Health,North Middlesex University Hospital NHS Trust,06-Oct-10,Portering Services,Environmental Services,Mitie Cleaning & Support Service Ltd,374168,120206.93
Department of Health,North Middlesex University Hospital NHS Trust,06-Oct-10,Security Services,Environmental Services,Mitie Cleaning & Support Service Ltd,374168,65315.96
Department of Health,North Middlesex University Hospital NHS Trust,20-Oct-10,Bank Nurses,Hospital Wide,Nhs Professionals,374335,99734.84
Department of Health,North Middlesex University Hospital NHS Trust,13-Oct-10,Strategic Planning,Trust Headquarters,Islington Commissioning,374487,31576.27
Department of Health,North Middlesex University Hospital NHS Trust,06-Oct-10,Marketing,Trust Headquarters,Cbs Outdoor Ltd,374608,28602.94
Department of Health,North Middlesex University Hospital NHS Trust,27-Oct-10,Bank Nurses,Hospital Wide,Nhs Professionals,374994,105303.70
Department of Health,North Middlesex University Hospital NHS Trust,06-Oct-10,Blood & Blood Products,Pathology,Nhs Blood & Transplant,375236,84800.36
