Department Family,Entity,Posted date,Supplier,Transaction Number,(�)
NHS England,Isle of Wight Clinical Commissioning Group,04/10/2013,SOUTH WIGHT MEDICAL PRACTICE,Payables A 485643 11449991,"27,482.55"
NHS England,Isle of Wight Clinical Commissioning Group,04/10/2013,ISLE OF WIGHT NHS TRUST,Payables A 485643 11449991,"81,077.25"
NHS England,Isle of Wight Clinical Commissioning Group,04/10/2013,PORTSMOUTH HOSPITALS NHS TRUST,Payables A 485643 11449991,"225,336.16"
NHS England,Isle of Wight Clinical Commissioning Group,04/10/2013,SALISBURY NHS FOUNDATION TRUST,Payables A 485643 11449991,"36,327.00"
NHS England,Isle of Wight Clinical Commissioning Group,04/10/2013,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Payables A 485643 11449991,"413,479.00"
NHS England,Isle of Wight Clinical Commissioning Group,05/10/2013,ONE-OFF SUPPLIER,Payables A 486685 11481960,"35,783.29"
NHS England,Isle of Wight Clinical Commissioning Group,05/10/2013,ISLE OF WIGHT NHS TRUST,Payables A 486685 11481960,"11,868,734.10"
NHS England,Isle of Wight Clinical Commissioning Group,05/10/2013,ISLE OF WIGHT NHS TRUST,Payables A 486685 11481960,"67,610.00"
NHS England,Isle of Wight Clinical Commissioning Group,08/10/2013,ISLE OF WIGHT COUNCIL,Payables A 493425 11611889,"78,102.03"
NHS England,Isle of Wight Clinical Commissioning Group,10/10/2013,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,Payables A 496319 11703874,"49,139.00"
NHS England,Isle of Wight Clinical Commissioning Group,11/10/2013,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,Payables A 497280 11745272,"28,389.00"
NHS England,Isle of Wight Clinical Commissioning Group,18/10/2013,NHS SOUTH CSU,Payables A 505162 12016320,"196,825.47"
NHS England,Isle of Wight Clinical Commissioning Group,18/10/2013,NHS SOUTH CSU,Payables A 505162 12016320,"86,660.35"
NHS England,Isle of Wight Clinical Commissioning Group,25/10/2013,ISLE OF WIGHT COUNCIL,Payables A 515168 12273685,"30,834.00"
NHS England,Isle of Wight Clinical Commissioning Group,29/10/2013,SOUTH WIGHT MEDICAL PRACTICE,Payables A 520267 12416118,"72,147.88"
NHS England,Isle of Wight Clinical Commissioning Group,29/10/2013,SOUTH WIGHT MEDICAL PRACTICE,Payables A 520267 12416118,"133,888.65"
