NHSRG16CD,NHSRG16NM,NHSCR16CD,NHSCR16NM,OBJECTID
E39000018,NHS England London,E40000003,London,0
E39000025,NHS England South (Wessex),E40000004,South of England,1
E39000026,NHS England North (Cheshire and Merseyside),E40000001,North Of England,2
E39000027,NHS England North (Cumbria and North East),E40000001,North Of England,3
E39000029,NHS England North (Yorkshire and Humber),E40000001,North Of England,4
E39000030,NHS England Midlands and East (Central Midlands),E40000002,Midlands and East of England,5
E39000031,NHS England Midlands and East (East),E40000002,Midlands and East of England,6
E39000032,NHS England Midlands and East (North Midlands),E40000002,Midlands and East of England,7
E39000033,NHS England Midlands and East (West Midlands),E40000002,Midlands and East of England,8
E39000034,NHS England South (South Central),E40000004,South of England,9
E39000035,NHS England South (South East),E40000004,South of England,10
E39000036,NHS England South (South West),E40000004,South of England,11
E39000037,NHS England North (Greater Manchester),E40000001,North Of England,12
E39000038,NHS England North (Lancashire),E40000001,North Of England,13
