Department,Entity, Transaction Date, Expense Type, Expense Area, Supplier Name,Transaction number, Amount, Invoice Description
DFID,DFID,02/10/2016,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-107 ,£604.70,
DFID,DFID,02/10/2016,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-107 ,"£2,646.32",
DFID,DFID,02/10/2016,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-107 ,"£1,618.45",
DFID,DFID,02/10/2016,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-107 ,"£2,540.12",
DFID,DFID,02/10/2016,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,100025-101 ,£752.11,
DFID,DFID,12/10/2016,Air fares ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,100025-101 ,£647.00,
DFID,DFID,12/10/2016,Consultancy Services ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,100025-101 ,"£4,125.00",
DFID,DFID,02/10/2016,Hotels - Accommodation only ,Research and Evidence Division ,Corporate Travel Provider ,100039-110 ,"£1,866.95",
DFID,DFID,02/10/2016,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,100039-110 ,£508.05,
DFID,DFID,02/10/2016,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,100039-111 ,"£1,317.35",
DFID,DFID,02/10/2016,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,100039-111 ,£760.25,
DFID,DFID,02/10/2016,Air fares ,Policy Division ,Corporate Travel Provider ,100045-101 ,£700.33,
DFID,DFID,02/10/2016,Hotels - Accommodation only ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate Travel Provider ,100049-102 ,£755.56,
DFID,DFID,02/10/2016,Air fares ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate Travel Provider ,100049-102 ,£961.15,
DFID,DFID,02/10/2016,Air fares ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate Travel Provider ,100049-133 ,£514.65,
DFID,DFID,02/10/2016,Air fares ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate Travel Provider ,100049-134 ,£518.05,
DFID,DFID,02/10/2016,Air fares ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate Travel Provider ,100049-134 ,£606.50,
DFID,DFID,24/10/2016,Air fares ,East and Central Africa ,Foreign & Commonwealth Office ,100082-101 ,£903.20,
DFID,DFID,02/10/2016,Hotels - Accommodation only ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,100084-101 ,"£1,288.56",
DFID,DFID,02/10/2016,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,100084-101 ,£961.75,
DFID,DFID,02/10/2016,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£678.55,
DFID,DFID,02/10/2016,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£653.15,
DFID,DFID,02/10/2016,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£678.15,
DFID,DFID,02/10/2016,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,£629.95,
DFID,DFID,02/10/2016,Hotels - Accommodation only ,Internal Audit ,Corporate Travel Provider ,100121-101 ,£503.40,
DFID,DFID,02/10/2016,Hotels - Accommodation only ,Internal Audit ,Corporate Travel Provider ,100121-101 ,£503.40,
DFID,DFID,02/10/2016,Air fares ,Economic Development Division ,Corporate Travel Provider ,100111-101 ,£845.55,
DFID,DFID,02/10/2016,Air fares ,Middle East and North Africa Division ,Corporate Travel Provider ,100146-101 ,£665.40,
