Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
BIS,SLC,01/09/2016,SERVICE DELIVERY RESOURCE,Infrastructure Services,MRLINUX LIMITED,0180,5250,Supplier Partner - Base
BIS,SLC,01/09/2016,TRAINING EDUCATION,Security Information Assurance,METACOMPLIANCE LIMITED,1260,26,Info Assurance Train & Awareness Activities
BIS,SLC,01/09/2016,TRAINING EDUCATION,Security Information Assurance,METACOMPLIANCE LIMITED,1260,3900,Info Assurance Train & Awareness Activities
BIS,SLC,01/09/2016,TRAINING EDUCATION,Security Information Assurance,METACOMPLIANCE LIMITED,1286,2400,Info Assurance Train & Awareness Activities
BIS,SLC,01/09/2016,HEALTH SAFETY,Facilities,HETLEYS (UK) LTD,3249,569,Health and Safety
BIS,SLC,01/09/2016,COLLECT CHG DFES,Agency Relationship,COMMERCIAL COLLECTION SERVICES LTD,73258,881.23,Agency Fees
BIS,SLC,01/09/2016,COLLECT CHG DFES,Agency Relationship,COMMERCIAL COLLECTION SERVICES LTD,73480,1878.39,Agency Fees
BIS,SLC,01/09/2016,PUBLIC RELATIONS,Event Management,AUA ENTERPRISES,250167,1650,PS External Events Attendance
BIS,SLC,01/09/2016,COLLECT CHG DFES,Agency Relationship,ROSSENDALES LIMITED,455877,2823.19,Agency Fees
BIS,SLC,01/09/2016,COLLECT CHG DFES,Agency Relationship,ROSSENDALES LIMITED,457210,2165.17,Agency Fees
BIS,SLC,01/09/2016,TRAINING EDUCATION,Learning and Development,BPP PROFESSIONAL EDUCATION,620370,2695,Training & Development - Finance
BIS,SLC,01/09/2016,CONTRACTOR ,Programme Management,BE-IT RESOURCING LIMITED (CONTRACTORS INV),1001193,9030,Contractors
BIS,SLC,01/09/2016,CONTRACTOR ,Programme Management,BE-IT RESOURCING LIMITED (CONTRACTORS INV),1001296,8385,Contractors
BIS,SLC,01/09/2016,STORAGE COSTS,Facilities,BIZSPACE LIMITED,35124570,1140,Storage
BIS,SLC,01/09/2016,PROFESSIONAL SERVICES,Human Resources,OPTIMA t/a WORKING ON WELLBEING LTD,0071011071,5680.57,Medical Referrals and Fees
