Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Sum of Amount,GL Code,
,,,,,,,,,
Department of Health,Black Country Partnership NHS Foundation Trust,27-03-2015,ADD-07-IT-TECH FUND,Information Technology-Additio,STONE COMPUTERS LTD,0030053936,33480.00,9ABSDPA91795,
Department of Health,Black Country Partnership NHS Foundation Trust,27-03-2015,OASIS SUPPORT AND MAINTENANCE,Miscellaneous,OASIS MEDICAL SOLUTIONS LTD,0030051010,36000.00,6D3070N92899,
Department of Health,Black Country Partnership NHS Foundation Trust,05-03-2015,Stourbridge LIFT,,COMMUNITY HEALTH PARTNERSHIP NHS,0010001401,38817.77,D80301N13399,
Department of Health,Black Country Partnership NHS Foundation Trust,05-03-2015,Stourbridge LIFT,,COMMUNITY HEALTH PARTNERSHIP NHS,0010001403,39875.56,D80301N13399,
Department of Health,Black Country Partnership NHS Foundation Trust,12-03-2015,FACILITIES MANAGEMENT SERVICES,Premises & fixed plant,NORLAND MANAGED SERVICES LIMTED,0030056131,41465.09,7A0581N40799,
Department of Health,Black Country Partnership NHS Foundation Trust,09-03-2015,AP DRUGS,Supplies & Services-Clinical:,THE DUDLEY GROUP OF HOSPITALS,0010001482,46240.25,2T8005N58099,
Department of Health,Black Country Partnership NHS Foundation Trust,19-03-2015,ADD-02-BDG-HEATH LANE PENROSE,Buildings Excluding Dwellings-,SWIFT BUILDING SERVICES LTD,0030056684,52021.21,9ABSHLA20895,
Department of Health,Black Country Partnership NHS Foundation Trust,12-03-2015,BUILDINGS OPENING BAL,Buildings Excluding Dwellings-,SWIFT BUILDING SERVICES LTD,0030054523,53010.92,9ABSESA11095,
Department of Health,Black Country Partnership NHS Foundation Trust,12-03-2015,ADD-03-BDG-HALLAM STREET,Buildings Excluding Dwellings-,BLACK COUNTRY PPP HEALTH SERVICE,0030055324,60990.78,9ABSHAA21495,
Department of Health,Black Country Partnership NHS Foundation Trust,19-03-2015,ADD-02-BDG-HEATH LANE GERRY,Buildings Excluding Dwellings-,INTERGRATED HEALTH PROJECTS,0030058179,68616.53,9ABSHLA21095,
Department of Health,Black Country Partnership NHS Foundation Trust,27-03-2015,ADD-03-BDG-HALLAM STREET,Buildings Excluding Dwellings-,INTERGRATED HEALTH PROJECTS,0030058232,68925.68,9ABSHAA21495,
Department of Health,Black Country Partnership NHS Foundation Trust,27-03-2015,ADD-03-BDG-HALLAM STREET,Buildings Excluding Dwellings-,BLACK COUNTRY PPP HEALTH SERVICE,0030055323,140855.67,9ABSHAA21495,
Department of Health,Black Country Partnership NHS Foundation Trust,03-03-2015,ADD-03-BDG-HALLAM STREET,Buildings Excluding Dwellings-,BLACK COUNTRY PPP HEALTH SERVICE,0030057022,191780.23,9ABSHAA21495,
Department of Health,Black Country Partnership NHS Foundation Trust,05-03-2015,Rent GEM Childrens Centre,,COMMUNITY HEALTH PARTNERSHIP NHS,0010001336,222000.00,W60109N11099,
Department of Health,Black Country Partnership NHS Foundation Trust,30-03-2015,RESIDENTIAL HOME FEES,Purchase of Healthcare from No,SANDWELL M B C (DEDUCTIONS),0050000476,245152.03,8E0353N40099,
Department of Health,Black Country Partnership NHS Foundation Trust,30-03-2015,RESIDENTIAL HOME FEES,Purchase of Healthcare from No,SANDWELL M B C (DEDUCTIONS),0050000475,274022.75,8E0353N40099,
Department of Health,Black Country Partnership NHS Foundation Trust,30-03-2015,RESIDENTIAL HOME FEES,Purchase of Healthcare from No,SANDWELL M B C (DEDUCTIONS),0050000474,404722.65,8E0353N40099,
Department of Health,Black Country Partnership NHS Foundation Trust,05-03-2015,Ridge Hill LIFT,,COMMUNITY HEALTH PARTNERSHIP NHS,0010001335,904225.80,D80301N13899,
,,,,,,,2922202.92,,
