Prompt Payment Report - 2014/15,,
,,
10 Day Prompt Payment Reporting,,
Name of organisation,UK Atomic Energy Authority (NDPB),
Reporting Month:,25 January - 21 February (P11),
,,
No. of invoices received,1463,
No. of invoices paid within 8 working days or less,1314,
No. of Invoices paid over 8 working days,109,
No. of disputed invoices*,40,
% of invoices paid within 8 days,92%,
,,
,,
Note:,,
,,
Disputed invoices are not included in statistics,,
The following payment types are excluded from the return:,,
Payments to Staff (e.g. salary or T&S costs),,
Foreign Currency Payments,,
Any Grant Payments,,
,,
,,
