Trust code,Trust Name,N of carotid endarterectomy cases from HES,N of carotid endarterectomy cases on the NVR,% Carotid endarterectomy case ascertainment,N of Symptomatic cases,N of patients referred within 7 days of symptom,% of patients referred within 7 days of symptom,N of patients receiving surgery within 7 days of referral,% of patients receiving surgery within 7 days of referral,N of patients having surgery within 14 days of symptom,% of patients having surgery within 14 days of symptom,Median delay and IQR from index symptom to surgery,% Stroke and/or death Adjusted
N/A,UK TOTAL,5511,4862,89%,4464,2948,67%,2574,53%,2554,58%,N/A,N/A
N/A,ENGLAND TOTAL,4683,4144,88%,3793,2565,69%,2228,54%,2226,59%,N/A,N/A
R1H,Barts Health NHS Trust,42,35,83%,28,24,86%,20,57%,22,79%,8 (5-12),3.80%
R1K,London North West Healthcare NHS Trust,28,18,64%,17,15,88%,10,56%,12,71%,5 (3-36),1.80%
RA9,South Devon Healthcare NHS Foundation Trust,28,28,100%,28,22,79%,23,82%,24,86%,7 (4-10),3.10%
RAE,Bradford Teaching Hospitals NHS Foundation Trust,42,45,107%,41,29,73%,28,64%,29,73%,9 (6-16),0.00%
RAJ,Southend University Hospital NHS Foundation Trust,29,30,103%,30,25,86%,27,90%,29,97%,8 (6-10),0.70%
RAL,Royal Free London NHS Foundation Trust,19,17,89%,15,11,79%,7,41%,8,53%,14 (7-55),2.10%
RBA,Taunton and Somerset NHS Foundation Trust,62,60,97%,60,44,75%,39,65%,38,64%,12 (8-21),1.80%
RBD,Dorset County Hospital NHS Foundation Trust,16,16,100%,16,13,81%,11,69%,13,81%,9 (7-13),0.00%
RBZ,Northern Devon Healthcare NHS Trust,13,13,100%,13,6,55%,5,42%,7,58%,14 (10-30),8.10%
RC1,Bedford Hospital NHS Trust,30,30,100%,24,14,58%,6,20%,11,46%,17 (11-41),0.80%
RCB,York Teaching Hospital NHS Foundation Trust,124,121,98%,112,79,71%,102,86%,89,81%,5 (3-13),2.80%
RDD,Basildon and Thurrock University Hospitals NHS Foundation Trust,33,22,67%,21,16,76%,20,91%,18,86%,8 (6-11),1.10%
RDE,Colchester Hospital University NHS Foundation Trust,72,67,93%,57,39,68%,21,31%,24,42%,18 (10-41),1.80%
RDU,Frimley Health NHS Foundation Trust,38,40,105%,40,30,75%,23,58%,23,58%,13 (5-20),2.20%
RDZ,Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,41,39,95%,37,29,78%,26,67%,23,62%,9 (4-42),1.40%
REF,Royal Cornwall Hospitals NHS Trust,39,20,51%,19,14,74%,7,35%,11,58%,13 (8-50),1.80%
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",50,51,102%,49,31,66%,23,45%,25,51%,14 (9-24),3.10%
RGT,Cambridge University Hospitals NHS Foundation Trust,103,81,79%,72,31,44%,21,26%,20,28%,28 (14-50),1.80%
RH8,Royal Devon and Exeter NHS Foundation Trust,29,29,100%,28,23,85%,24,83%,22,79%,8 (5-11),3.30%
RHM,University Hospital Southampton NHS Foundation Trust,85,82,96%,70,60,86%,47,58%,58,83%,11 (8-13),1.70%
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,89,47,53%,45,24,53%,22,48%,16,36%,17 (10-31),1.70%
RHU,Portsmouth Hospitals NHS Trust,74,51,69%,51,35,69%,29,58%,35,69%,12 (7-26),0.50%
RJ1,Guy's and St Thomas' NHS Foundation Trust,47,53,113%,49,21,43%,44,83%,28,57%,13 (7-25),3.50%
RJ7,St George’s Healthcare NHS Foundation Trust,50,41,82%,39,30,77%,36,88%,32,82%,8 (6-13),0.90%
RJE,University Hospital of North Midlands NHS Trust,81,79,98%,76,49,66%,57,72%,51,67%,11 (6-21),1.00%
RJR,Countess of Chester Hospital NHS Foundation Trust,101,80,79%,79,60,76%,15,19%,32,41%,22 (10-37),3.30%
RJZ,King's College Hospital NHS Foundation Trust,90,89,99%,72,49,69%,43,48%,42,58%,10 (4-32),1.10%
RK9,Plymouth Hospitals NHS Trust,53,52,98%,49,35,71%,28,54%,24,49%,15 (8-25),0.00%
RKB,University Hospitals Coventry and Warwickshire NHS Trust,64,58,91%,56,26,49%,19,33%,17,30%,30 (11-61),2.10%
RLN,City Hospitals Sunderland NHS Foundation Trust,37,38,103%,34,22,65%,21,55%,24,71%,11 (10-15),0.90%
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,92,92,100%,83,59,72%,55,61%,60,72%,10 (6-16),1.70%
RM2,University Hospital of South Manchester NHS Foundation Trust,118,54,46%,50,33,66%,36,67%,29,58%,12 (4-22),2.10%
RMC,Bolton NHS Foundation Trust,27,27,100%,27,16,59%,7,26%,9,33%,22 (12-75),1.00%
RNA,The Dudley Group NHS Foundation Trust,113,111,98%,104,65,64%,65,59%,62,60%,12 (8-20.5),1.90%
RNL,North Cumbria University Hospitals NHS Trust,41,15,37%,14,9,69%,3,20%,5,38%,19 (12-127),1.90%
RNS,Northampton General Hospital NHS Trust,52,52,100%,46,30,65%,28,54%,25,54%,14 (7-41),2.80%
RNZ,Salisbury NHS Foundation Trust,24,24,100%,22,16,73%,15,63%,14,64%,11 (4-33),1.50%
