Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Community,2551,Operational Equipment,11/06/2015,0000189180,648.33,Revenue,Facultatieve Technologies Ltd,05289
Rushmoor Borough Council,Community,2551,Operational Equipment,11/06/2015,0000189504,281.54,Revenue,Facultatieve Technologies Ltd,05289
Rushmoor Borough Council,Community,2551,Memorial Vaults,11/06/2015,0000192084,5940.00,Revenue,The Columbaria Company,00993
Rushmoor Borough Council,Information Technology,3302,Application Software,04/06/2015,0000192112,1000.00,Revenue,Idox Software Ltd,00661
Rushmoor Borough Council,Environmental Health and Housing,2213,Equipment Maintenance,04/06/2015,0000192407,940.00,Revenue,Campbell Associates Ltd,06610
Rushmoor Borough Council,Customer Services,3811,Conferences and Seminars,04/06/2015,0000192516,-350.00,Revenue,Capita Conferences,11309
Rushmoor Borough Council,Strategy and Communiations,1413,Grants to Enterprise First,25/06/2015,0000192813,2625.00,Revenue,Enterprise First,00155
Rushmoor Borough Council,Community,2537,Computer Equipment and Software,04/06/2015,0000192838,356.25,Revenue,Imperial Civil Enforcement Solutions,13348
Rushmoor Borough Council,Community,2538,Computer Equipment and Software,04/06/2015,0000192838,1068.75,Revenue,Imperial Civil Enforcement Solutions,13348
Rushmoor Borough Council,Information Technology,7500,Flexible Working Review,04/06/2015,0000192840,1434.10,Capital,Phoenix Software,00724
Rushmoor Borough Council,Community,6540,Contract Costs,04/06/2015,0000192862,14733.65,Capital,Stage Electrics,07262
Rushmoor Borough Council,Community,2553,Wheeled Bin Delivery/Assembly,25/06/2015,0000192881,1060.14,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Payment to Contractor,25/06/2015,0000192881,256.46,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Bulky Waste Collection,25/06/2015,0000192881,2268.38,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Clinical Waste,25/06/2015,0000192881,1717.70,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Wheeled Bin Delivery/Assembly,25/06/2015,0000192881,2333.29,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Payment to Contractor,25/06/2015,0000192881,412.32,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2558,Payment to Contractor,11/06/2015,0000192910,5000.00,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Community,2558,Payment to Contractor,11/06/2015,0000192910,43847.00,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Community,2558,Additional Contract Payment,11/06/2015,0000192910,50809.00,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Community,2559,Payment to Contractor,11/06/2015,0000192910,5000.00,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Community,2559,Payment to Contractor,11/06/2015,0000192910,38823.00,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Community,2559,Additional Contract Payment,11/06/2015,0000192910,22675.00,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Community,2560,Booking Service Contract,11/06/2015,0000192910,7695.00,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Community,2560,Payment to Contractor,11/06/2015,0000192910,5000.00,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Community,2560,Payment to Contractor,11/06/2015,0000192910,10889.00,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Community,2560,Payment to Contractor,11/06/2015,0000192910,17394.00,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Community,2560,Additional Contract Payment,11/06/2015,0000192910,22675.00,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Strategy and Communiations,1411,Citizen Consultancy,11/06/2015,0000192917,668.40,Revenue,Drumainn Ltd,13522
Rushmoor Borough Council,Community,2554,Glass Skip,25/06/2015,0000192934,781.40,Revenue,Fcc Recycling (Uk) Limited,11978
Rushmoor Borough Council,Community,2518,Snap Discos,18/06/2015,0000192955,550.00,Revenue,Piper Music Management Ltd,08419
Rushmoor Borough Council,Community,2508,Cherrywood Brochure,04/06/2015,0000193034,616.00,Revenue,Lithoxpress Limited,09331
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,04/06/2015,0000193147,720.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,04/06/2015,0000193149,1020.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,04/06/2015,0000193154,2250.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,04/06/2015,0000193162,562.50,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Community,6597,Contract Costs,04/06/2015,0000193162,562.50,Capital,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,7500,Flexible Working Review,04/06/2015,0000193162,281.25,Capital,Austin Fraser,09925
Rushmoor Borough Council,Legal,1200,Legal Costs (Litigation),04/06/2015,0000193188,2010.36,Revenue,Local Government Association,00573
Rushmoor Borough Council,Democratic Services,1325,Operational Equipment,11/06/2015,0000193193,990.00,Revenue,Morgana Systems Ltd,09704
Rushmoor Borough Council,Environmental Health and Housing,2203,Training Expenses,04/06/2015,0000193196,700.00,Revenue,Capita Conferences,11309
Rushmoor Borough Council,Strategy and Communiations,1402,Admin Equipment,25/06/2015,0000193218,538.90,Revenue,Misco Computer Products,00628
Rushmoor Borough Council,Community,2549,Materials,25/06/2015,0000193218,549.66,Revenue,Misco Computer Products,00628
