Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Item Text,Amount
Communities & Local Government,PINS,03/10/2016,Training,Communications,CAPITA BUSINESS SERVS,1000001350,Transforming Cont Cen ,478.80
Communities & Local Government,PINS,04/10/2016,"IT - PC, Network & Hardware",ICT Business Partner,AMAZON UK MARKETPLACE,1000001352,Optoma W310 WXGA Projector x 2,520.80
Communities & Local Government,PINS,04/10/2016,Office Supplies,"Finance, Commercial & Statistics",WWW.CIPFA.ORG.UK/PFMCO,1000001353,Risk Wheel,594.00
Communities & Local Government,PINS,04/10/2016,Training,Inspector Costs,WWW.WESTMINSTER-BRIEFI,1000001351,Inspector Training - Public Rights of Way:,282.00
Communities & Local Government,PINS,11/10/2016,Training,Communications,WWW.QA.COM,1000001357,Cert Hac ,"2,747.52"
Communities & Local Government,PINS,18/10/2016,"Furniture, Fittings and carpets",National Infrastructure Casework,CIVIL SERVICE LEARNING,1000001360,Com Ac For Leaders ,-324.00
Communities & Local Government,PINS,18/10/2016,Training,Environmental Services,SSU 1,1000001360,Dip Ac and Noise ,"4,860.00"
Communities & Local Government,PINS,19/10/2016,Recruitment/Procurement Advertising,Inspector Costs,REDACTIVE PUBLISH,1000001363,Planning Inspector Band 1 Recruitment,855.01
Communities & Local Government,PINS,25/10/2016,Conferences and Meeting Facilities,Inspector Costs,TOWN & COUNTRY,1000001365,Meeting Room Hire,417.60
Communities & Local Government,PINS,25/10/2016,Restaurant and Supplies,Inspector Costs,PHILPOTTS,1000001365,Lunch for Topic Based Updates,330.00
