CPS outcomes by principal offence category reas,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,77,85.1%,20,14.9%
B Offences Against The Person,"9,218",75.2%,"2,937",24.8%
C Sexual Offences,701,66.4%,279,33.6%
D Burglary,"2,134",84.4%,313,15.6%
E Robbery,930,78.9%,213,21.1%
F Theft And Handling,"11,461",92.0%,976,8.0%
G Fraud And Forgery,912,87.2%,159,12.8%
H Criminal Damage,"3,157",85.7%,469,14.3%
I Drugs Offences,"5,596",94.2%,374,5.8%
J Public Order Offences,"5,588",84.5%,"1,117",15.5%
K All Other Offences (excluding Motoring),"3,607",83.2%,719,16.8%
L Motoring Offences,"19,527",90.3%,"1,961",9.7%
Admin Finalisations,0,0.0%,689,100.0%
TOTAL,"62,908",86.0%,"10,226",14.0%
