Body,Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Expense Code,Extended Description,Service Code,Service Label,Service Division Label,Service Division Code
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,153013,691,WICKSTEED LEISURE LTD,WIC001,Technical Services Manager,GM External Contractors,1080,HORSE SPRING MOBILE,PARKOS,Parks and Open Spaces,02143,Play Areas
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,153019,1153.85,IT PROFESSIONAL SERVICES LTD,ITP001,Information Technology Manager,Software – maintenance,2067,CITRIX SUB RENEWAL,INFTEC,Information Technology,00102,Information Technology
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,153028,1204.96,PLAYDALE PLAYGROUNDS LTD,PLA007,Technical Services Manager,Replacement Works (Play Areas),2195,SPARES/DELIVERY & INSTALLATION,PARKOS,Parks and Open Spaces,02143,Play Areas
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,153057,8350,IAN CANNON LTD,CAN004,Director of Finance,Balance Sheet entry BS,6003,RIVERBANK REINSTATEMENT,FLOOD,Appleby Pool Flood 2015,09319,Appleby Pool Flood 2015
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,153112,624,ELECTRICITY NORTH WEST LTD,ELE005,Technical Services Manager,FL Schedule of Rates,3302,LAMP DISC BANKSODE PENRUDDOCK,FOOLIG,Footway Lighting,02258,Footway lighting
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152517,1316.7,CALE BRIPARC,CAL008,Technical Services Manager,Maintenance of parking meters,1020,CALL OUT/LABOUR RETUNE MONEY SYSTEMS,OFFSTR,Vehicle Parking Off Street,02167,Vehicle parking
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152889,550,CHRIS WAKEFIELD TREE SVCS,CHR001,Technical Services Manager,Ground Maintenance SOR & Dayworks,1088,PRUNING KING GEORGE PLAYING FIELD APPLEB,PARKOS,Parks and Open Spaces,02129,Open spaces
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152890,700,CHRIS WAKEFIELD TREE SVCS,CHR001,Technical Services Manager,GM External Contractors,1080,TREE PRUNING GILWILLY RD,PARKOS,Parks and Open Spaces,02127,Dangerous trees
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152937,625,PENRITH GYMNASTICS CLUB,PEN079,Commercial Services Manager,Balance Sheet entry BS,6003,ECF134 COMMUNITY FUND GRANT,COMMFND,Community Fund,10400,Community Fund
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152940,2307.01,CUMBRIA WASTE RECYCLING LTD,CUM022,Technical Services Manager,material price fluctuations,3604,BS-F-25-16/17,RECYCL,Recycling,03047,Recycling
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152942,9710.62,NORTH COUNTRY LEISURE,NCL001,Financial Services Manager,Balance Sheet entry BS,6003,VALUATION AUGUST 2016,GFCAP,GF Capital Receipts,10181,GF Capital Receipts
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152962,1950,TREVOR ROBERTS ASSOCIATES LTD,TRE003,Human Resources Manager,Training Expenses,0060,IN HOUSE TRAINING,STADEV,Staff Development,00225,Staff Training Communities
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,153012,1000,BARTON PARISH COUNCIL,BAR001,Technical Services Manager,Other charges for services,2047,POOLEY BRIDGE PCS,PUBCON,Public Conveniences,02273,Pooley Bridge Public Convenience
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,153027,1087.54,PRINT IMAGE NETWORK LTD,PRI011,Legal Services Manager,Printing and stationary,2037,EDEN 2016 CANVAS HEFS,REGELE,Register of Electors,01001,Register of Electors
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,153036,3617.96,AMEY PLC,TFE001,Technical Services Manager,ADHOC WORKS FOR BURIALS,1079,GM93,CEMETE,Cemeteries,02229,Alston Moor Cemetery
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,153038,507.17,PRINT IMAGE NETWORK LTD,PRI011,Legal Services Manager,Printing and stationary,2037,EDEN IER 2016 CALLING CARDS,REGELE,Register of Electors,01001,Register of Electors
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,153043,1706.77,OYSTER PARTNERSHIP,OYS001,Planning Services,Agency Staff,0003, W/C 19.09.16,PLASER,Planning Services,00304,Planning Services
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,153047,5000,Redacted Information,COR015,Director of Finance,Grants and contributions,2079,PLFR GRANT EDC16021D,FLOOD,Flood Dec 2015,09318,Flood Dec 2015
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,153049,1857.5,CAPITA PROPERTY & INFRASTRUCTURE LTD,CAP002,Planning Services,Professional fees,2045,ARBORICULTURAL SERVICES SEPTEMBER 2016,CONSER,Environmental Enhancement & Conservation,03012,Arboricutural Advice
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,153117,2000,NEOPOST LIMITED,NEO001,Corporate Services Manager,Postages,2054,FRANKING REFILL 265848,CENTRA,Central Expenses,00205,Postages Town Hall
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,153119,111353.57,HANSON QUARRY PRODUCTS EUROPE LTD,HAN010,Technical Services Manager,Building works,5502,EDEN BUSINESS PARK ADOP HIGHWAYS CERT 1,EBP,Eden Business Park Additional Road,06126,Eden Business Park Additional Road
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152159,17461.5,WATER MANAGEMENT SOLUTIONS,WAT041,Technical Services Manager,Commission,2034,CHALLENGE UU SANDGATE CAR PARK,OFFSTR,Vehicle Parking Off Street,02167,Vehicle parking
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152701,2931.6,WALTON GOODLAND LTD,WAL008,Commercial Services Manager,Professional fees,2045,RATE FOR SURVEYOR AUG 2016,EDEVPR,Economic Development and Promotion,02001,Economic Promotion
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152727,14796.45,AMEY PLC,TFE001,Technical Services Manager,Window cleaning,1040,2016_BC_09,PUBCON,Public Conveniences,02630,Disabled Toilet Moot Hall Appleby
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152796,10486,GRANT THORNTON UK LLP,THO026,Financial Services Manager,Audit fee,2043,2016/17 EXTERNAL AUDIT 1 OF 4,CORPOR,Corporate Costs,01065,Audit Fee
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152798,5000,Redacted Information,WAR024,Director of Finance,Grants and contributions,2079,PLFR GRANT EDC16226,FLOOD,Flood Dec 2015,09318,Flood Dec 2015
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152874,5372,WYG ENVIRONMENT PLANNING TRANSPORT,WYG001,Technical Services Manager,Balance Sheet entry BS,6003,REPLACEMENT HEATING SYSTEM,LEICEN,Eden Leisure Centre & Appleby Swimming P,10388,Leisure Contract Provision
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152897,5000,Redacted Information,BAR025,Director of Finance,Grants and contributions,2079,PLFR GRANT EDC 16214,FLOOD,Flood Dec 2015,09318,Flood Dec 2015
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152898,5000,Redacted Information,HIL007,Director of Finance,Grants and contributions,2079,PLFR GRANT EDC 16126,FLOOD,Flood Dec 2015,09318,Flood Dec 2015
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152899,4538.4,Redacted Information,HYS001,Director of Finance,Grants and contributions,2079,PLFR GRANT EDC 16017,FLOOD,Flood Dec 2015,09318,Flood Dec 2015
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152905,790,ASSOCIATION OF ELECTORAL ADMINISTRATION,ASS003,Legal Services Manager,Training Expenses,0060,FEE/ACCOMODATION FEB 17 ,REGELE,Register of Electors,01001,Register of Electors
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152909,5000,Redacted Information,CLA024,Director of Finance,Grants and contributions,2079,PLFRG EDC16146,FLOOD,Flood Dec 2015,09318,Flood Dec 2015
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152911,5000,Redacted Information,BOW011,Director of Finance,Grants and contributions,2079,PLFRG EDC16287,FLOOD,Flood Dec 2015,09318,Flood Dec 2015
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152912,5000,Redacted Information,COU024,Director of Finance,Grants and contributions,2079,PLFRG EDC16016,FLOOD,Flood Dec 2015,09318,Flood Dec 2015
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152925,1745.63,OYSTER PARTNERSHIP,OYS001,Planning Services,Agency Staff,0003, W/C 12/09/16,PLASER,Planning Services,00304,Planning Services
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/10/2016,152932,1464,ASSOCIATION OF ELECTORAL ADMINISTRATION,ASS003,Legal Services Manager,Training Expenses,0060,2 DAY COURSE ,REGELE,Register of Electors,01001,Register of Electors
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,153154,2133,GEO ENVIRONMENTAL ENGINEERING LTD,GEO010,Technical Services Manager,Building works,5502,ground investigation old london road,OLR,Old London Rd Depot Redevelopment,06147,Old London Rd Depot Redevelopment
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,153160,765.3,ARK GIVENDALE LIMITED,ARK002,Environmental Services,Professional fees,2045,LAKELAND BIRD OF PREY INSPECTION,ANMLIC,Animal Licencing,03042,Animal / Health Licensing
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,153162,22500,ASTUN TECHNOLOGY LIMITED,AST004,Information Technology Manager,GIS Platform,2350,ANNUAL OEA PAYMENT NOV 16 - OCT 17,INFTEC,Information Technology,00102,Information Technology
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,153165,18250,IAN CANNON LTD,CAN004,Technical Services Manager,Flood Damage,2305,JENKINS FIELD GLENRIDDING,PARKOS,Parks and Open Spaces,02402,Jenkins Field
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,152589,1373.92,G C A GARDENING SERVICES,GCA001,Legal Services Manager,Planned Maintenance,1016,FENCE REPAIR THE FIRS/INSTALL CHURCH RD,LANDMA,Land Management,01007,Land Management
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,152919,2153.58,CALE BRIPARC,CAL008,Technical Services Manager,Maintenance of parking meters,1020,REPAIRS TO VARIOUS P&D MACHINES,OFFSTR,Vehicle Parking Off Street,02167,Vehicle parking
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,153054,675,STENHOUSE FLOORING LTD,STE029,Technical Services Manager,Building Maintenance - Leisure,1101,FLOORING LEISURE CENTRE,LEICEN,Eden Leisure Centre & Appleby Swimming P,02097,Penrith Leisure Centre
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,152319,1565,H&H REEDS PRINTERS LTD,REE001,Commercial Services Manager,Advertising,2086,PENRITH CYCLING LEAFLET,TOUPRO,Tourism Promotion,02056,Eden Tourism
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,152818,771.2,UNITED UTILITIES WATER PLC,UNI024,Environmental Services,Professional fees,2045,ANALYSIS COSTS JULY 2016,OENHEA,Other Environmental Health,03040,Sampling Swimming Pools
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,11/10/2016,152875,850.25,AMEY PLC,TFE001,Environmental Services,Dog Contract O.O.H retainer,3200,KENNELLING/STRAYS AUGUST 16,CODOGS,Community Wardens,03045,Dog Control
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,153056,-1565,H&H REEDS PRINTERS LTD,REE001,Commercial Services Manager,Advertising,2086,CREDIT FOR PENRITH CYCLING LEAFLETS,TOUPRO,Tourism Promotion,02056,Eden Tourism
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,153091,792,H&H REEDS PRINTERS LTD,REE001,Commercial Services Manager,Advertising,2086,PENRITH CYCLING LEAFLET,TOUPRO,Tourism Promotion,02056,Eden Tourism
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,153116,1050,M TAYLOR ASSOCIATES LTD,TAY017,Human Resources Manager,Professional fees,2045,HR SUPPORT SEPT 16,HUMRES,Human Resources,00207,Human Resources
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,153149,10000,PENRITH B I D,PEN063,Revenue/Benefits Manager,Contribution by EDC,2080,AUGUST/SEPT MONIES,BID,Penrith BID Cash,08108,Penrith BID Cash
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,152800,1749,CUMBRIA COUNTY COUNCIL,CCC002,Technical Services Manager,Professional fees,2045,LOCAL AUTHORITY SEARCHES MAY 16,LANDCH,Land Charges,01002,Land Charges
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,152801,1626,CUMBRIA COUNTY COUNCIL,CCC002,Technical Services Manager,Professional fees,2045,LOCAL AUTHORITY SEARCHES APRIL 16,LANDCH,Land Charges,01002,Land Charges
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,153030,1406.25,CIVICA UK LTD,CIV002,Revenue/Benefits Manager,Agency Staff,0003,REVENUES PROCESSING AUGUST 16,REVBEN,Revenue & Benefits,00106,Revenues
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,153040,3936,NORTH LAKES GLASS GLAZING LTD,NOR036,Environmental Services,Decent Homes Grants,5524,FINAL PAYMENT  GR MUSGRAVE,DIREGR,1996 Discretionary Renovation Grants,06034,1996 Discretionary Renovation Grants
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,153041,4450,HANDICARE ACCESSIBILITY LTD,FRE002,Environmental Services,Capital grants,5505,FINAL PAYMENT RAVENSTONEDALE,MEREGR,1996 Mandatory Renovation Grants,06035,Disabled Facility Grants
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,153142,5640,NORTHGATE PUBLIC SERVICES (UK) LTD,NOR042,Revenue/Benefits Manager,Software – maintenance,2067,PARIS TRANSACTIONS/3D SECURE,REVBEN,Revenue & Benefits,00106,Revenues
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,153177,-3760,NORTHGATE PUBLIC SERVICES (UK) LTD,NOR042,Revenue/Benefits Manager,Software – maintenance,2067,PART CREDIT INV 91377499 PARIS TRANSACT CHGS,REVBEN,Revenue & Benefits,00106,Revenues
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,11/10/2016,153264,-850.25,AMEY PLC,TFE001,Environmental Services,Dog Contract O.O.H retainer,3200,Stray Dogs 1/8/16-31/8/16,CODOGS,Community Wardens,03045,Dog Control
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,14/10/2016,152876,850.25,AMEY PLC,TFE001,Environmental Services,Dog Contract O.O.H retainer,3200,KENNELLING/STRAY AUG 16,CODOGS,Community Wardens,03045,Dog Control
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153341,500,G C A GARDENING SERVICES,GCA001,Legal Services Manager,Planned Maintenance,1016,CLEARING SHRUBS/WEEDS THE MEADOWS LANGWA,LANDMA,Land Management,01007,Land Management
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153029,1043.22,CALE BRIPARC,CAL008,Technical Services Manager,Maintenance of parking meters,1020,CALL OUT/KEYS LOCK TO CODE,OFFSTR,Vehicle Parking Off Street,02167,Vehicle parking
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153113,624,ELECTRICITY NORTH WEST LTD,ELE005,Technical Services Manager,FL Day Works,3301,LAMP DISC HIGH ST POOLEY BRIDGE,FOOLIG,Footway Lighting,02258,Footway lighting
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153123,8936,IAN CANNON LTD,CAN004,Director of Finance,Balance Sheet entry BS,6003,KING GEORGE PLAYING FIELD APPLEBY,FLOOD,Flood Dec 2015,09318,Flood Dec 2015
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153137,40450,IAN CANNON LTD,CAN004,Technical Services Manager,Flood Damage,2305,RIVER WALL REINSTATEMENT GLENRIDDING,PARKOS,Parks and Open Spaces,02402,Jenkins Field
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,152784,715.47,AMEY PLC,TFE001,Legal Services Manager,Caretaking/security (contract),1003,ADDITIONAL SERVICES  VARIOUS,COMMEM,Committee and Member Costs,01078,Servicing Committees
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,152821,1170.49,NPOWER LTD,NPO001,Technical Services Manager,Electricity,1022,TOWN HALL 27.07.16-01.09.16,ADMBLD,Administrative Buildings,00500,Town Hall
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,152827,645.41,NPOWER LTD,NPO001,Technical Services Manager,Electricity,1022,MANSION HOUSE 01.08.16-31.08.16,ADMBLD,Administrative Buildings,00502,Mansion House
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,152891,4164.42,Konica Minolta Business Solutions UK Limited,KON003,Information Technology Manager,Printers Contract,2059,01.10.16 - 31.12.16,INFTEC,Information Technology,00102,Information Technology
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,152895,1267.8,UNITED UTILITIES WATER LTD,UNI008,Technical Services Manager,Water charges – metered,1032,PCS BLUEBELL LANE,PUBCON,Public Conveniences,02267,Penrith Bluebell Lane Public Convenience
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,152935,6910,ENTERPRISE PROSPECTS LTD,ENT004,Chief Executive's,Agency Staff,0003,ROBIN HOOPER SEPTEMBER 2016,CHIEXE,Chief Executive,00050,Chief Executive
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153164,3811.4,WALTON GOODLAND LTD,WAL008,Commercial Services Manager,Professional fees,2045,RATE FOR SURVEYOR SEPTEMBER 16,EDEVPR,Economic Development and Promotion,02001,Economic Promotion
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153166,69431,SOUTH LAKELAND DISTRICT COUNCIL,SOU006,Information Technology Manager,Shared IT Services,2500,IT SHARED SERVICES QTR 2 2016/17,INFTEC,Information Technology,00102,Information Technology
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153167,14000,SOUTH LAKELAND DISTRICT COUNCIL,SOU006,None,Professional fees,2045,DIGITAL SERVICE CHARGES 40%,CORPOR,Corporate Costs,01192,Delivering Digital Innovation
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153174,5000,EDEN HOUSING ASSOCIATION LTD,EDE001,Environmental Services,CLG Grant Expenditure,2157,GRANT - HANDYPERSON SERVICE 2016/17,HOMLES,Homelessness,02296,Homelessness Grant Fund
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153179,2255.89,PPM LTD,PPM001,Environmental Services,Capital grants,5505,150048/FINAL PAYMENT ,MEREGR,1996 Mandatory Renovation Grants,06035,Disabled Facility Grants
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153180,6976,PPM LTD,PPM001,Environmental Services,Capital grants,5505,150048/INTERIM P'MENT ,MEREGR,1996 Mandatory Renovation Grants,06035,Disabled Facility Grants
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153183,10341.95,EDEN HOUSING ASSOCIATION LTD,EDE001,Environmental Services,Grants and contributions,2079,HOMELESSNESS ACCOMODATION,HOMLES,Homelessness,02296,Homelessness Grant Fund
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153247,1320,T & S AIR CONDITIONING LTD,TSA001,Technical Services Manager,Maint/Rental Air Con,1055,MAINTENANCE OF A/C EQUIPMENT,ADMBLD,Administrative Buildings,00502,Mansion House
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153248,3520,APEX ACOUSTICS LTD,APE004,Planning Services,Printing and stationary,2037,NOISE ASSEMENT,LOPLPO,Local Plans & Policy,03004,Eden Local Plan
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153252,1950,TREVOR ROBERTS ASSOCIATES LTD,TRE003,Human Resources Manager,Workforce Development Plan Activity,2229,IN HOUISE TRAINING,STADEV,Staff Development,00222,Central Training Budget
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153257,2227.7,EDEN HOUSING ASSOCIATION LTD,EDE001,Environmental Services,Hire of premises,1029,HOMELESSNESS RECHARGE 4/4/16-3/7/16,HOMLES,Homelessness,02296,Homelessness Grant Fund
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153262,521.1,ROCKSURE SYSTEMS LTD,ROC005,Technical Services Manager,Other charges for services,2047,PEOPLESAFE X 3 MONTHS,CENTRA,Central Expenses,00212,Health & Safety
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153266,15723.14,AMEY PLC,TFE001,Technical Services Manager,GM INSPECTIONS & MAINTENANCE,1089,M-GM55,CLCHYD,Closed Church Yards,02246,War Memorials
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,21/10/2016,153297,9258,C W COX & SONS (KENDAL)  LTD,COX001,Environmental Services,Capital grants,5505,INTERIM ,MEREGR,1996 Mandatory Renovation Grants,06035,Disabled Facility Grants
