Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
HMRC,HMRC,05/11/2010,Mail and Fulfilment,Business Customer Unit,BSS Scotland Ltd,5100066520,48484.73
HMRC,HMRC,23/11/2010,Website Development,Business Customer Unit,Serco Assurance,5100071003,135170.32
HMRC,HMRC,23/11/2010,Website Development,Business Customer Unit,Serco Assurance,5100071004,2656808.23
HMRC,HMRC,23/11/2010,Website Development,Business Customer Unit,Serco Assurance,5100071005,187199.6
HMRC,HMRC,23/11/2010,Website Development,Business Customer Unit,Serco Assurance,5100071006,77610.03
HMRC,HMRC,23/11/2010,Website Development,Business Customer Unit,Serco Assurance,5100071007,200938.49
HMRC,HMRC,23/11/2010,Research (VAT rec),Business Customer Unit,Quadrangle Group LLP,5100071244,94000
HMRC,HMRC,08/11/2010,Temp clerical/admin,Central Compliance,MacLellan International Limited,5100067181,2861.14
HMRC,HMRC,15/11/2010,Reference books,Central Policy,Wolters Kluwer (UK) Ltd,5100068734,44040.07
HMRC,HMRC,08/11/2010,Temp clerical/admin,Charities Assets & Residence,MacLellan International Limited,5100067181,5150.05
HMRC,HMRC,08/11/2010,Temp clerical/admin,Charities Assets & Residence,MacLellan International Limited,5100067181,4529.61
HMRC,HMRC,01/11/2010,Specialty envelopes,Commercial Directorate,Banner Business Services Ltd,5100064705,38333.95
HMRC,HMRC,01/11/2010,TNT Documented Servi,Commercial Directorate,TNT UK Limited,5100065280,771623.27
HMRC,HMRC,04/11/2010,Depart Booklet Stk,Commercial Directorate,Adare Halcyon Limited,5100066220,40867.74
HMRC,HMRC,04/11/2010,Specialty envelopes,Commercial Directorate,Banner Business Services Ltd,5100066250,106314
HMRC,HMRC,04/11/2010,Postal delivery serv,Commercial Directorate,Royal Mail,5100066435,767177.51
HMRC,HMRC,05/11/2010,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100066804,29176.21
HMRC,HMRC,05/11/2010,Franking machine (L),Commercial Directorate,Pitney Bowes Finance Ltd (Lease),5100066812,27082.52
