RFI ,Summary,Status,Outcome,Refusal Reason(s)
7761,Copy of Lead Ammunition Group Report,Closed,No Information Provided,12 (4)(d) - Unfinished documents/incomplete data
7757,Copy of the final report and minutes of the last meeting,Closed,No Information Provided,12 (4)(d) - Unfinished documents/incomplete data
7753,Correspondence relating to LAG since 1 January 2015 and final report,Closed,No Information Provided,12 (4)(d) - Unfinished documents/incomplete data
7638, Whether the target numbers of badgers to be culled in Somerset and Gloucestershire during 2015 has been or is still to be determined; • How the target numbers are being calculated; and  If/when the target numbers will be made public?,Closed,No Information Provided,"12 (4)(a) - Information not held, 12 (4)(d) - Unfinished documents/incomplete data"
7635,"The plans, previous planning applications, contacts of interest in the land, previous offers, survey reports and any other information that you can provide regarding the sale of this land.",Closed,All Information Provided,
7630,"Hello, Can you please tell me, under the Freedom of Information Act, whether your department has a style guide for staff when writing? I.e. It emerged this weekend that the Ministry of Justice has a ""Ministerial Correspondence Preferences"" ",Closed,Closed - Advice and assistance case,S12(1) - cost of compliance exceeds appropriate limit
7629,"List of projects funded by Defra under the Overseas Development Assistance banner in the past 3 years. This should include the project name, country it was funded in, purpose of the project and amount of funding.",Closed,All Information Provided,
7620,Please can you tell me how much your organisation spent on stationery between 1st April 2013 - 31st March 2014,Closed,All Information Provided,
7619,Recruitment and retention allowances paid to staff working in Whitehall in each of the last five years. The total amount and number paid each year and the highest and lowest payments each year,Closed,No Information Provided,S1(3) - Public authority reasonably requires further information to identify request
7618,"Defra staff salary grades,including the lower and upper limits for each grade",Closed,All Information Provided,
7617,"Number of laptops, mobile phones and tablets/iPads",Closed,All Information Provided,
7616,"How many laptops, fire extinguishers, toasters, mobile phones & headphones been reported lost or stolen in 2013,2014,2015",Closed,Information Partially Provided,S31 - Law enforcement
7615,1. How many prosecutions on a yearly basis there have been for non-compliant / missing equine passports / microchips since 2009. 2. Also how many multiple offences per defendant.,Closed,Information Not Held,
7614,Provide the total cost of catering provided for internal meetings between 1 April 2013 and 31 March 2014,Closed,No Information Provided,S12(1) - cost of compliance exceeds appropriate limit
7613,Correspondence relating to LAG since 1 January 2015 and final report,Closed,No Information Provided,"S35 - Formulation of Government policy, S40 - Personal information"
