VALUATION TRIBUNAL SERVICE,,,,,,,,,
Transparency data above £500 for period ending July 2011,,,,,,,,,
,,,,,,,,,
Dept Family,Entity,Posting Date,Expense Type,Expense Area,Vendor Name,Document ref,Amount,Cost Centre,Cost Element
CLG,VTS,01/07/2011,Outsourced services,Central Services,*LOGICA CMG UK LTD,2100082280,1323.92,8015,40116
CLG,VTS,01/07/2011,Post,Operational,ROYAL MAIL,2100082325,646.93,8007,40093
CLG,VTS,01/07/2011,Meeting expenses,Operational,CHESTER QUAKER MEETING,2100082326,16.00,8001,40020
CLG,VTS,01/07/2011,Tribunal Hearing Venues,Operational,CHESTER QUAKER MEETING,2100082326,776.00,8001,40224
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,210.4,8001,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,23.22,8001,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,43.86,8001,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,47.37,8001,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,70.42,8001,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,24.1,8001,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,29.06,8001,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,68.2,8001,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,24.1,8001,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,137.38,8001,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,-73.73,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,134.89,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,86.70,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,213.74,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,90.08,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,89.11,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,89.11,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,156.40,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,39.29,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,41.7,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,73.32,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,33.45,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,41.43,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,41.43,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,67.23,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,67.23,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,208.87,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,89.11,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,135.38,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,67.23,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,33.45,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,244.62,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,134.89,8007,40032
CLG,VTS,05/07/2011,Rail and Hotel booking services,Operational,REDFERN TRAVEL LIMITED,2100082383,134.89,8007,40032
